method,repeat,n_samples,hip_ms,knee_ms,covariance_term,coord_ms_direct,coord_ms_reconstructed,coord_rmse_direct,coord_rmse_reconstructed,reconstruction_error
PD,r01,682,0.004037630305662418,0.002053303673943391,0.00545713193503445,0.011548065914640259,0.011548065914640259,0.10746192774485418,0.10746192774485418,0.0
EID,r01,683,0.002692439850071347,0.0024001287944895584,0.0048979268927690075,0.009990495537329913,0.009990495537329912,0.0999524663894289,0.0999524663894289,-1.734723475976807e-18
PD,r02,682,0.0039898221865210005,0.0020543711428701347,0.005408089338747947,0.011452282668139083,0.011452282668139083,0.10701533847135691,0.10701533847135691,0.0
EID,r02,685,0.0026966889120125853,0.0025549434061975704,0.005043489237648347,0.010295121555858502,0.010295121555858502,0.10146487843514376,0.10146487843514376,0.0
PD,r03,683,0.003977044805742491,0.002035704749725922,0.005378014999692325,0.01139076455516074,0.011390764555160738,0.10672752482448349,0.10672752482448349,-1.734723475976807e-18
EID,r03,684,0.002686014923083049,0.002494750162204428,0.00496403907349166,0.010144804158779136,0.010144804158779136,0.10072141857012905,0.10072141857012905,0.0
PD,r04,683,0.003976945635629929,0.002049062721251066,0.005395637035365966,0.011421645392246962,0.011421645392246962,0.10687209828691005,0.10687209828691005,0.0
EID,r04,682,0.0026527971780219797,0.002428084479514829,0.004843092409356114,0.009923974066892922,0.009923974066892924,0.09961914508212225,0.09961914508212226,1.734723475976807e-18
PD,r05,683,0.003943342265860361,0.00204153859045234,0.0053685410968841475,0.01135342195319685,0.011353421953196849,0.10655243757510595,0.10655243757510593,-1.734723475976807e-18
EID,r05,686,0.0026026668392590967,0.0025047460560225963,0.004923411332055213,0.010030824227336905,0.010030824227336907,0.10015400255275325,0.10015400255275327,1.734723475976807e-18
