family,scan,group,joint,n,eta_to_dist_rms_ratio_mean,corr_comp_zero_lag_mean,best_corr_comp_mean,best_lag_ms_mean,label
P2D,,,Hip,5,0.003942542406230258,-0.31190629952664267,-0.31913880660644284,20.729630600112614,P2D
P2D,,,Knee,5,0.012962900324545454,-0.6101338871545114,-0.6231910624488328,-14.223741599835193,P2D
P4D,ko,o1,Hip,3,0.0037449957387945677,-0.34448305990119615,-0.4815954653184893,-34.53799566583863,O1
P4D,ko,o1,Knee,3,0.014585870159281153,-0.5823869652765378,-0.5976621207756273,-14.896981333095027,O1
P4D,ko,o2,Hip,3,0.0033389935257224466,-0.4749557272562237,-0.484003183892267,-7.443678333402204,O2
P4D,ko,o2,Knee,3,0.013564466004679287,-0.6278303488918994,-0.6427793176282764,-18.947187333499944,O2
P4D,ko,o3,Hip,3,0.0034765188015204143,-0.3887618854155883,-0.39143831742762325,7.453811166442392,O3
P4D,ko,o3,Knee,3,0.013290119867971484,-0.6276492608320755,-0.6390790517433537,-14.229451666475748,O3
P4D,ko,o4,Hip,3,0.003570706849173338,-0.3408883615789197,-0.35616703505546266,20.318189999443348,O4
P4D,ko,o4,Knee,3,0.012967133667099924,-0.6490568399289142,-0.6574810900423519,-10.836499999716883,O4
P4D,ko,o5,Hip,3,0.005397181909601816,-0.18202776560374015,-0.19608089769176,20.997812500354485,O5
P4D,ko,o5,Knee,3,0.012983006180183665,-0.6234179019345903,-0.6350416245443743,-10.160689500253284,O5
P4D,ku,u1,Hip,3,0.001962053852731271,-0.29583944878972984,-0.30824071181597973,16.25798849935715,U1
P4D,ku,u1,Knee,3,0.006560441031084611,-0.6313598329065095,-0.642848360255128,-12.871960665999419,U1
P4D,ku,u2,Hip,3,0.0032334506452990717,-0.26101073069467756,-0.27381064228769136,16.254020334561876,U2
P4D,ku,u2,Knee,3,0.009767601797675341,-0.6348525293037977,-0.6432184131490514,-10.830483500512855,U2
P4D,ku,u3,Hip,3,0.0044183931938780565,-0.25593685864380417,-0.2697091975659685,19.647615332890684,U3
P4D,ku,u3,Knee,3,0.01303460897629681,-0.6211265693430156,-0.6341483946038128,-13.550886666128767,U3
P4D,ku,u4,Hip,3,0.0053868092837853696,-0.24811643382682402,-0.2627774657376195,22.338231833979687,U4
P4D,ku,u4,Knee,3,0.016237014061041777,-0.630369691710894,-0.6412438582802736,-14.217060666889362,U4
