family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,u_star_rms,u_feedback_rms,u_eid_comp_rms,u_raw_rms,u_t_rms,tau_cmd_rms,tau_est_rms,tau_dist_rms
P2D,,,,,r01,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,2.580411934137794,5.996564195261281,0.019536535572600676,8.033871777975044,7.91938564836594,2.857623457753566,2.8656418603652436,5.43970084988701
P2D,,,,,r01,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,1.1235155235842402,5.128197920681637,0.04651018985134112,5.528912692128275,5.464813709187421,2.7103553399172857,2.642413742080112,3.6264672332580066
P2D,,,,,r02,data/20260623_191422/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,2.580992162300594,6.059371725873344,0.02171933270431867,8.08435987713114,7.874583903354227,2.8676621835718947,2.8239699325533727,5.441399320214506
P2D,,,,,r02,data/20260623_191422/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,1.1254970993402567,5.557154176590997,0.04752371599795696,5.933523930276327,5.640194262449051,3.0576599614701863,2.991714865308895,3.6275995468096704
P2D,,,,,r03,data/20260623_191453/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,2.5813657680346958,6.032105619904267,0.02181530192880711,8.05140385707743,7.866321475105589,2.8371144209679238,2.8051161181981104,5.435982424600484
P2D,,,,,r03,data/20260623_191453/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,1.123478556896842,5.409081369018592,0.04693331338577302,5.792106322887265,5.551582132374087,2.8875544333571583,2.816909919878612,3.623988283066989
P2D,,,,,r04,data/20260623_191520/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,2.580639945622163,5.981828719772571,0.022086983612279846,8.002434199142204,7.803459661183642,2.803448650801818,2.7794298210752353,5.439727148981969
P2D,,,,,r04,data/20260623_191520/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,1.1247910328831805,5.170655246120632,0.04695451700403992,5.566307607446691,5.495070974573309,2.7414010598146987,2.692184589307209,3.626484765987979
P2D,,,,,r05,data/20260623_191551/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,2.581093141861755,5.9342459250204485,0.022044984575677332,7.958201128158356,7.761589471791532,2.7688753350359327,2.743329176865067,5.434750109302978
P2D,,,,,r05,data/20260623_191551/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,1.1250758213903784,5.369808239278192,0.047066012503796884,5.760251068797516,5.5639450465119005,2.880810749550942,2.830819075241813,3.6231667395353186
