family,scan,group,joint,ko_scale,ku_scale,u_star_rms,u_feedback_rms,u_eid_comp_rms,u_raw_rms,u_t_rms,tau_cmd_rms,tau_est_rms,tau_dist_rms,label
P2D,,,Hip,,,2.5809005903914004,6.000823237166382,0.021440627678736727,8.026054167896834,7.845068031960186,2.826944809626227,2.8034973818114057,5.43831197059739,P2D
P2D,,,Knee,,,1.1244716068189795,5.32697939033801,0.04699754974858158,5.716220324307215,5.543121225019154,2.855556308822054,2.7948084383633285,3.625541313731593,P2D
P4D,ko,o1,Hip,0.25,1.0,2.5788385692473867,5.716082844831951,0.020361286916102537,7.75431530102338,7.645089428782161,2.65313324302316,2.636233703431827,5.43694623548113,O1
P4D,ko,o1,Knee,0.25,1.0,1.1237561143513828,4.948354582096904,0.05286816850880155,5.347766475712528,5.340699119830293,2.5886820378640487,2.5497652016813626,3.624630823654087,O1
P4D,ko,o2,Hip,0.5,1.0,2.57940271032467,5.781399487301691,0.018157654987724217,7.804079279086992,7.674654681621473,2.626331314026428,2.589455593669941,5.438059042468619,O2
P4D,ko,o2,Knee,0.5,1.0,1.1246268165746665,5.108946864072769,0.049176254236474454,5.540257506483286,5.49450165974248,2.7680022816245127,2.718291986660903,3.625372694979079,O2
P4D,ko,o3,Hip,0.75,1.0,2.5796291155425655,5.822338621776414,0.01890452415766844,7.833863263619571,7.671363637020029,2.662029316673226,2.6377940641888933,5.4378506988854935,O3
P4D,ko,o3,Knee,0.75,1.0,1.1241473788640655,5.330633492490269,0.04817975508808564,5.766847606179989,5.6145384795208715,2.9457661580966517,2.9039598367148423,3.625233799256996,O3
P4D,ko,o4,Hip,1.0,1.0,2.5803498328804846,5.773155800634768,0.01942051289451373,7.7953093141578265,7.670436180720892,2.629306965198341,2.600178058525366,5.438841175218715,O4
P4D,ko,o4,Knee,1.0,1.0,1.1238657739519609,5.200263005006119,0.047017454305275354,5.6522044726441685,5.581235000626265,2.8759345027823655,2.8163851598255385,3.6258941168124768,O4
P4D,ko,o5,Hip,1.25,1.0,2.578869344656852,5.830323006281032,0.02935604817923353,7.830416375621806,7.661672664527226,2.695741411724747,2.6647486479311557,5.439175018442032,O5
P4D,ko,o5,Knee,1.25,1.0,1.1243159578267505,5.3011138718367565,0.04707789867914628,5.740117391268218,5.626799354683723,2.941175989998412,2.881479533845434,3.626116678961355,O5
P4D,ku,u1,Hip,1.0,0.5,2.580194347996015,5.811341713398207,0.010672351775043784,7.825139182169278,7.665082668352917,2.6551763039107783,2.6423069530450416,5.439390949628874,U1
P4D,ku,u1,Knee,1.0,0.5,1.124177132275208,5.242091472323358,0.02378984804744606,5.664740626906926,5.601698310013027,2.8847153161263326,2.825814107871436,3.6262606330859164,U1
P4D,ku,u2,Hip,1.0,0.75,2.5808035305981227,5.867041208681393,0.017588521950747057,7.88112825191957,7.678602566319104,2.6808336000863116,2.6656987199989732,5.4394792362600555,U2
P4D,ku,u2,Knee,1.0,0.75,1.124215026851681,5.250949462155468,0.03542048630510782,5.678566437289501,5.575857717127472,2.847253697197002,2.796238222255734,3.626319490840037,U2
P4D,ku,u3,Hip,1.0,1.0,2.5811384211295714,5.886003546567326,0.024029340547078826,7.893641305045109,7.714287229489147,2.7114522434891977,2.6762249834648446,5.438505959885763,U3
P4D,ku,u3,Knee,1.0,1.0,1.1241533198086333,5.247560453488751,0.047259190997963975,5.677531439670159,5.585189684428781,2.899113992710742,2.843767607548294,3.625670639923842,U3
P4D,ku,u4,Hip,1.0,1.25,2.58023913824985,5.854709691606431,0.029293179014215572,7.869804150717318,7.703665194262089,2.687375583384208,2.6680326039719624,5.437983697108422,U4
P4D,ku,u4,Knee,1.0,1.25,1.1240766101554225,5.192591026012068,0.05886444505743426,5.632178603400001,5.563993457173054,2.8340993675937463,2.7950553316638787,3.6253224647389484,U4
