label,family,method,scan,group,ko_scale,ku_scale,J_conservative,rank_conservative,J_error_first,rank_error_first,J_coord_first,rank_coord_first
P2D-PD,P2D,pd,,,,,0.9000000000000001,1.0,0.9500000000000001,1.0,0.95,1.0
U1,P4D,eid,ku,u1,1.0,0.5,1.0361535385436282,2.0,0.9565042569877831,2.0,0.98293590940235,2.0
U2,P4D,eid,ku,u2,1.0,0.75,1.0612236226466554,3.0,0.9698810649324346,5.0,0.9971925934919871,4.0
O4,P4D,eid,ko,o4,1.0,1.0,1.0628188439453279,4.0,0.9690304957872506,4.0,0.9939919679209396,3.0
O5,P4D,eid,ko,o5,1.25,1.0,1.0905610679656883,5.0,0.9665805470510944,3.0,0.9990767883572197,5.0
P2D-EID,P2D,eid,,,,,1.0912096044666406,6.0,0.9889525175425968,8.0,1.0170188365088753,7.0
U3,P4D,eid,ku,u3,1.0,1.0,1.0966218994746362,7.0,0.9831318187347394,6.0,1.014222949959047,6.0
O3,P4D,eid,ko,o3,0.75,1.0,1.0969961927388496,8.0,1.0110227003027865,9.0,1.0334301961363928,9.0
U4,P4D,eid,ku,u4,1.0,1.25,1.1078362568346578,9.0,0.9883372923769813,7.0,1.0185770726471033,8.0
O2,P4D,eid,ko,o2,0.5,1.0,1.1162048165808804,10.0,1.0608444143506053,10.0,1.0761909712678408,10.0
O1,P4D,eid,ko,o1,0.25,1.0,1.1954024731920503,11.0,1.2438152289266915,11.0,1.2269206137436013,11.0
