method,repeat,joint,signal,freq_hz,amp
pd,r01,Hip,tau_est,0.5,1.3541827095775756
pd,r01,Hip,tau_est,0.9163179916317992,1.1220482915976748
pd,r01,Hip,tau_est,1.3326359832635983,0.6574475051086033
pd,r01,Hip,tau_est,1.7489539748953975,0.6442354048874801
pd,r01,Hip,tau_est,2.1652719665271967,0.7923369336387259
pd,r01,Hip,tau_est,2.581589958158996,0.5015632882813971
pd,r01,Hip,tau_est,2.997907949790795,0.2756326637499009
pd,r01,Hip,tau_est,3.414225941422594,0.22525448593656255
pd,r01,Hip,tau_est,3.8305439330543933,0.2233277566142498
pd,r01,Hip,tau_est,4.2468619246861925,0.26318964884231366
pd,r01,Hip,tau_est,4.663179916317992,0.17909788023834172
pd,r01,Hip,tau_est,5.079497907949791,0.07416802720851447
pd,r01,Hip,tau_est,5.49581589958159,0.09119216242259867
pd,r01,Hip,tau_est,5.912133891213389,0.09831947400427085
pd,r01,Hip,tau_est,6.328451882845188,0.0861032544417942
pd,r01,Hip,tau_est,6.7447698744769875,0.08440934854981207
pd,r01,Hip,tau_est,7.161087866108787,0.08956680335436218
pd,r01,Hip,tau_est,7.577405857740586,0.05830326483995342
pd,r01,Hip,tau_est,7.993723849372385,0.029368331354034972
pd,r01,Hip,tau_est,8.410041841004183,0.047330193416802384
pd,r01,Hip,tau_est,8.826359832635983,0.05039239486755431
pd,r01,Hip,tau_est,9.242677824267783,0.031763224225936845
pd,r01,Hip,tau_est,9.658995815899582,0.025617685663290916
pd,r01,Hip,tau_est,10.07531380753138,0.02549987667264875
pd,r01,Hip,tau_est,10.49163179916318,0.02568836808039674
pd,r01,Hip,tau_est,10.90794979079498,0.025009966905537636
pd,r01,Hip,tau_est,11.324267782426778,0.020973448035007888
pd,r01,Hip,tau_est,11.740585774058577,0.01780212556084166
pd,r01,Hip,tau_est,12.156903765690377,0.015583536121123825
pd,r01,Hip,tau_est,12.573221757322177,0.017651747519494432
pd,r01,Hip,tau_est,12.989539748953975,0.021262462430392894
pd,r01,Hip,tau_est,13.405857740585773,0.03069733408424344
pd,r01,Hip,tau_est,13.822175732217573,0.038332440473657435
pd,r01,Hip,tau_est,14.238493723849373,0.04128100316996243
pd,r01,Hip,tau_est,14.654811715481172,0.03134837385391992
pd,r01,Hip,tau_est,15.07112970711297,0.010646700555867514
pd,r01,Hip,tau_est,15.48744769874477,0.02147409896462217
pd,r01,Hip,tau_est,15.90376569037657,0.037922285724672884
pd,r01,Hip,tau_est,16.320083682008367,0.03470954774533447
pd,r01,Hip,tau_est,16.736401673640167,0.031241377017713467
pd,r01,Hip,tau_est,17.152719665271967,0.027290823079421708
pd,r01,Hip,tau_est,17.569037656903767,0.026187501928238995
pd,r01,Hip,tau_est,17.985355648535567,0.02687879484622721
pd,r01,Hip,tau_est,18.401673640167363,0.025652452516574473
pd,r01,Hip,tau_est,18.817991631799163,0.02603191837087799
pd,r01,Hip,tau_est,19.234309623430963,0.03717439565987901
pd,r01,Hip,tau_est,19.65062761506276,0.04011127773414474
pd,r01,Hip,tau_est,20.06694560669456,0.0314779452813474
pd,r01,Hip,tau_est,20.48326359832636,0.024704551755914888
pd,r01,Hip,tau_est,20.89958158995816,0.0187979491902667
pd,r01,Hip,tau_est,21.31589958158996,0.021634848891145825
pd,r01,Hip,tau_est,21.732217573221757,0.02426498905582568
pd,r01,Hip,tau_est,22.148535564853557,0.024456480981421395
pd,r01,Hip,tau_est,22.564853556485357,0.02526896757318404
pd,r01,Hip,tau_est,22.981171548117153,0.026744406422283297
pd,r01,Hip,tau_est,23.397489539748953,0.021774431607991022
pd,r01,Hip,tau_est,23.813807531380753,0.015057887199924075
pd,r01,Hip,tau_est,24.230125523012553,0.029709907324226043
pd,r01,Hip,tau_est,24.646443514644353,0.039060248339257156
pd,r01,Hip,tau_est,25.06276150627615,0.03512345363212081
pd,r01,Hip,tau_est,25.47907949790795,0.0241002529080968
pd,r01,Hip,tau_est,25.89539748953975,0.007334840600634308
pd,r01,Hip,tau_est,26.311715481171547,0.0038876675173372846
pd,r01,Hip,tau_est,26.728033472803347,0.004752480116852456
pd,r01,Hip,tau_est,27.144351464435147,0.020144155173995176
pd,r01,Hip,tau_est,27.560669456066947,0.030471022231645557
pd,r01,Hip,tau_est,27.976987447698747,0.03155281517079523
pd,r01,Hip,tau_est,28.393305439330543,0.02790858665563794
pd,r01,Hip,tau_est,28.809623430962343,0.02138151218762322
