method,joint,signal,peak_freq_hz,mean_peak_amp
eid,Hip,delta_tau_est,20.89958158995816,0.14584088829170055
eid,Hip,eta_u,5.079497907949791,0.00613999728034755
eid,Hip,tau_est,2.1652719665271967,1.4675993336594804
eid,Knee,delta_tau_est,5.49581589958159,0.08632005499967495
eid,Knee,eta_u,0.5,0.016765615604541234
eid,Knee,tau_est,0.5,2.2843624929543527
pd,Hip,delta_tau_est,91.67364016736401,0.03766353854741538
pd,Hip,eta_u,0.5,0.0
pd,Hip,tau_est,0.5,1.3505256565254289
pd,Knee,delta_tau_est,97.08577405857741,0.05659376034048531
pd,Knee,eta_u,0.5,0.0
pd,Knee,tau_est,0.5,2.3967905607557496
