family,method,scan,group,ko_scale,ku_scale,n_runs,n_complete_window,coord_rmse_rad_mean,mean_delta_tau_est_rms,mean_tau_est_rms,mean_eta_u_rms
P2D,eid,,,,,5,5,0.1003823822059154,0.6443941079462285,2.799152910087367,0.0342190887136591
P2D,pd,,,,,5,5,0.106925865380542,0.5034980007907754,2.2385906158873925,0.0
P4D,eid,ko,o0,0.0,1.0,3,0,0.7330703883484627,0.8016720587325387,3.4497821919362437,0.0
P4D,eid,ko,o1,0.25,1.0,3,3,0.1334358370537034,0.622643686705986,2.5929994525565947,0.036614727712452
P4D,eid,ko,o2,0.5,1.0,3,3,0.1100955544217725,0.6450359456298851,2.653873790165422,0.0336669546120993
P4D,eid,ko,o3,0.75,1.0,3,3,0.1030972669997782,0.6411157718067435,2.7708769504518678,0.033542139622877
P4D,eid,ko,o4,1.0,1.0,3,3,0.0984118794957586,0.6252654243422312,2.7082816091754522,0.0332189835998945
P4D,eid,ko,o5,1.25,1.0,3,3,0.0965260612677254,0.6548069559855474,2.773114090888295,0.03821697342918985
P4D,eid,ku,u1,1.0,0.5,3,3,0.0989053064928063,0.6345269302167096,2.7340605304582386,0.01723109991124485
P4D,eid,ku,u2,1.0,0.75,3,3,0.099290007747544,0.6396013746658419,2.7309684711273534,0.026504504127927403
P4D,eid,ku,u3,1.0,1.0,3,3,0.0991098460586711,0.6604066517773293,2.7599962955065696,0.03564426577252135
P4D,eid,ku,u4,1.0,1.25,3,3,0.0988657239908715,0.6532862643857462,2.7315439678179203,0.04407881203582485
