case,lambda,joint,max_pole_abs,num_poles_outside_unit_circle,disturbance_to_error_peak_mag,noise_to_control_peak_mag
O4+U1,0.0,Hip,0.9812598229064846,0,0.010887643910148207,640.4493795992347
O4+U1,0.0,Knee,0.9541965058993195,0,0.010510285712359901,655.1404525719643
O4+U1,0.5,Hip,0.9812598229064857,0,0.011061241482569303,203.39776203048882
O4+U1,0.5,Knee,0.9541965058993206,0,0.01086183782903477,208.0882082339476
O4+U1,1.0,Hip,0.9812598229064862,0,0.011238782531423784,143.8952407754274
O4+U1,1.0,Knee,0.9541965058993194,0,0.011222095603693359,126.18762178065455
O5+U1,0.0,Hip,1.0000000323262745,2,0.010593840120764326,11602.6174456958
O5+U1,0.0,Knee,0.9999992850859848,0,0.009918830456103042,11782.10824765465
O5+U1,0.5,Hip,0.9812598229064865,0,0.010763198199467664,280.54762673567063
O5+U1,0.5,Knee,0.95419650589932,0,0.010262110346008418,287.0813438039057
O5+U1,1.0,Hip,0.9812598229064862,0,0.010936941678420608,143.92910721422507
O5+U1,1.0,Knee,0.9541965058993198,0,0.010614394506607153,138.543392316161
