layer,case,label,signal,fs_hz,peak_freq_hz_0p5_100,peak_psd,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
candidate,A_O4U1,A: O4+U1,coord_error,500.0000000000551,0.9765625000001076,0.00016791805461086954,0.00011133431046393604,8.429373793625397e-07,6.767688915999318e-08
candidate,A_O4U1,A: O4+U1,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011490211298999858,0.00035421233457988633,5.493254608451572e-05,0.03234527793028983
candidate,A_O4U1,A: O4+U1,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00784346361992785,0.000159024511530288,2.3229774275551163e-05,0.022925659744759234
candidate,A_O4U1,A: O4+U1,hip_eta_u,500.0000000000551,20.50781250000226,1.0015343088823595e-06,5.537900439731424e-07,2.5387283033713488e-08,2.627256057571302e-06
candidate,A_O4U1,A: O4+U1,knee_eta_u,500.0000000000551,0.9765625000001076,2.0246142096126414e-06,1.4175662488508443e-06,5.992275922643099e-08,4.60755196089346e-06
candidate,B_HipUp,B: hip observer up,coord_error,500.0000000000551,0.9765625000001076,0.00016694013097431966,0.00011159316909664924,8.113686975356872e-07,6.750865788204737e-08
candidate,B_HipUp,B: hip observer up,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011506303693724395,0.0003598791481324831,5.5941014792906136e-05,0.032342629114557174
candidate,B_HipUp,B: hip observer up,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007838200772830307,0.00015983626943462409,2.1817072759193586e-05,0.022922486100819265
candidate,B_HipUp,B: hip observer up,hip_eta_u,500.0000000000551,20.50781250000226,1.2500902604839744e-06,5.280422748093201e-07,2.468014457841341e-08,3.2608772956214625e-06
candidate,B_HipUp,B: hip observer up,knee_eta_u,500.0000000000551,0.9765625000001076,2.0248436723408796e-06,1.422873147085129e-06,5.879010803423343e-08,4.607930754835227e-06
candidate,D_HipUpKneeDown,"D: hip up, knee down",coord_error,500.0000000000551,0.9765625000001076,0.00017166467450136533,0.00011273221792101994,8.97997838019931e-07,6.568750886807457e-08
candidate,D_HipUpKneeDown,"D: hip up, knee down",hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01152157573535897,0.0003415864615584389,5.6012883946429845e-05,0.032385378569804994
candidate,D_HipUpKneeDown,"D: hip up, knee down",knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007598870451476147,0.00015528459212037118,2.3648012160331727e-05,0.022245398036887826
candidate,D_HipUpKneeDown,"D: hip up, knee down",hip_eta_u,500.0000000000551,20.50781250000226,1.232988981255086e-06,5.172371574176291e-07,2.7674833958330215e-08,3.215436552239289e-06
candidate,D_HipUpKneeDown,"D: hip up, knee down",knee_eta_u,500.0000000000551,0.9765625000001076,2.210800433327928e-06,1.4909740653032698e-06,6.185929535306523e-08,3.2155605708687527e-06
candidate,O5U1,O5+U1,coord_error,500.0000000000551,0.9765625000001076,0.0001647558425394079,0.00011121664814035047,7.73550913564052e-07,6.823771769412805e-08
candidate,O5U1,O5+U1,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01149632397328277,0.00037061713181651837,5.688340784078991e-05,0.0323137043859242
candidate,O5U1,O5+U1,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00796516641301012,0.00016253210487289304,2.460524577613615e-05,0.023358994753740273
candidate,O5U1,O5+U1,hip_eta_u,500.0000000000551,20.50781250000226,1.2572370497625643e-06,5.345623683468742e-07,2.5426170802634825e-08,3.282186234394592e-06
candidate,O5U1,O5+U1,knee_eta_u,500.0000000000551,20.50781250000226,2.2080685412405275e-06,1.384295781611891e-06,6.064209209253544e-08,5.745430620268486e-06
candidate,KneeVelDown,knee velocity observer down,coord_error,500.0000000000551,0.9765625000001076,0.0001724749101986744,0.00011250266255207961,9.278126376675907e-07,6.591468649278076e-08
candidate,KneeVelDown,knee velocity observer down,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01150550336330249,0.00033679084518045823,5.693373450687452e-05,0.03239011196209571
candidate,KneeVelDown,knee velocity observer down,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00761928854452813,0.00015471739230893497,2.581461779276522e-05,0.02229642441520541
candidate,KneeVelDown,knee velocity observer down,hip_eta_u,500.0000000000551,20.50781250000226,9.883924841323233e-07,5.430897675759015e-07,2.917992742303773e-08,2.5921049343135814e-06
candidate,KneeVelDown,knee velocity observer down,knee_eta_u,500.0000000000551,0.9765625000001076,2.206931556537127e-06,1.4863476355023038e-06,6.424002606619197e-08,3.2471700972637286e-06
structure,O4U1_pd_inverse_only,O4+U1: PD inverse only,coord_error,500.0000000000551,0.9765625000001076,0.00015341205856501727,0.00011293001945129934,5.853017898856718e-07,5.178179513088829e-08
structure,O4U1_pd_inverse_only,O4+U1: PD inverse only,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01177516657810186,0.0004338362672779135,4.318547788573752e-05,0.03215759303974133
structure,O4U1_pd_inverse_only,O4+U1: PD inverse only,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007196195023673066,0.0001740076762356208,1.1742466773455549e-05,0.021520455942516392
structure,O4U1_pd_inverse_only,O4+U1: PD inverse only,hip_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O4U1_pd_inverse_only,O4+U1: PD inverse only,knee_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O4U1_center_feedback_only,O4+U1: center feedback only,coord_error,500.0000000000551,0.9765625000001076,0.0001680355832710235,0.00011118339721054948,8.506255037798553e-07,6.777762740668765e-08
structure,O4U1_center_feedback_only,O4+U1: center feedback only,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01148890840625828,0.0003515492016104583,5.4664303659689235e-05,0.03235449170892459
structure,O4U1_center_feedback_only,O4+U1: center feedback only,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007844174662684025,0.00015839131722515784,2.3139456510941635e-05,0.022906752279624562
structure,O4U1_center_feedback_only,O4+U1: center feedback only,hip_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O4U1_center_feedback_only,O4+U1: center feedback only,knee_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O4U1_input_compensation_only,O4+U1: input compensation only,coord_error,500.0000000000551,0.9765625000001076,0.00015297768843442903,0.00011280755161891627,5.788577831444661e-07,5.149436808360421e-08
structure,O4U1_input_compensation_only,O4+U1: input compensation only,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01177909172079748,0.0004352163240259533,4.3141059644578636e-05,0.03216288302195589
structure,O4U1_input_compensation_only,O4+U1: input compensation only,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.0071907318824974645,0.00017427405589715887,1.1656757604010307e-05,0.021506389852375025
structure,O4U1_input_compensation_only,O4+U1: input compensation only,hip_eta_u,500.0000000000551,20.50781250000226,9.501713583267793e-07,5.890792462797037e-07,1.5311583854352306e-08,2.462043091188954e-06
structure,O4U1_input_compensation_only,O4+U1: input compensation only,knee_eta_u,500.0000000000551,0.9765625000001076,1.99790074517844e-06,1.5369204533813542e-06,5.0228488901986594e-08,4.316812865706105e-06
structure,O4U1_full_eid,O4+U1: full EID,coord_error,500.0000000000551,0.9765625000001076,0.00016791805461086954,0.00011133431046393604,8.429373793625397e-07,6.767688915999318e-08
structure,O4U1_full_eid,O4+U1: full EID,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011490211298999858,0.00035421233457988633,5.493254608451572e-05,0.03234527793028983
structure,O4U1_full_eid,O4+U1: full EID,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00784346361992785,0.000159024511530288,2.3229774275551163e-05,0.022925659744759234
structure,O4U1_full_eid,O4+U1: full EID,hip_eta_u,500.0000000000551,20.50781250000226,1.0015343088823595e-06,5.537900439731424e-07,2.5387283033713488e-08,2.627256057571302e-06
structure,O4U1_full_eid,O4+U1: full EID,knee_eta_u,500.0000000000551,0.9765625000001076,2.0246142096126414e-06,1.4175662488508443e-06,5.992275922643099e-08,4.60755196089346e-06
structure,O5U1_pd_inverse_only,O5+U1: PD inverse only,coord_error,500.0000000000551,0.9765625000001076,0.00015341205856501727,0.00011293001945129934,5.853017898856718e-07,5.178179513088829e-08
structure,O5U1_pd_inverse_only,O5+U1: PD inverse only,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01177516657810186,0.0004338362672779135,4.318547788573752e-05,0.03215759303974133
structure,O5U1_pd_inverse_only,O5+U1: PD inverse only,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007196195023673066,0.0001740076762356208,1.1742466773455549e-05,0.021520455942516392
structure,O5U1_pd_inverse_only,O5+U1: PD inverse only,hip_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O5U1_pd_inverse_only,O5+U1: PD inverse only,knee_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O5U1_center_feedback_only,O5+U1: center feedback only,coord_error,500.0000000000551,0.9765625000001076,0.00016481778939736612,0.00011105688040990702,7.78770257829674e-07,6.839533417351023e-08
structure,O5U1_center_feedback_only,O5+U1: center feedback only,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011494553949500191,0.0003680239159043375,5.627648898275899e-05,0.03232318077002699
structure,O5U1_center_feedback_only,O5+U1: center feedback only,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007971370012734848,0.00016193608742175045,2.397115860306054e-05,0.023347958066478488
