layer,case,label,purpose,hip_observer_gain_q,hip_observer_gain_dq,knee_observer_gain_q,knee_observer_gain_dq,ku_q,ku_dq,eid_mode,residual_eta_lambda,run_success,samples,dt_log_s,disturbance_samples,recovery_samples,hip_rmse,knee_rmse,coord_rmse,hip_recovery_rmse,knee_recovery_rmse,coord_recovery_rmse,hip_peak_abs_error,knee_peak_abs_error,coord_peak_abs_error,hip_tau_total_rms,knee_tau_total_rms,hip_delta_tau_total_rms,knee_delta_tau_total_rms,hip_tau_rate_total_rms,knee_tau_rate_total_rms,hip_eta_u_rms,knee_eta_u_rms,combined_tau_total_rms,combined_delta_tau_total_rms,combined_flags,saturation_joint_rows,saturation_joint_row_fraction,hip_rmse_vs_A_pct,knee_rmse_vs_A_pct,coord_rmse_vs_A_pct,hip_delta_tau_total_rms_vs_A_pct,knee_delta_tau_total_rms_vs_A_pct,combined_delta_tau_total_rms_vs_A_pct,hip_eta_u_rms_vs_A_pct,knee_eta_u_rms_vs_A_pct
candidate,A_O4U1,A: O4+U1,baseline: nominal hip/knee observer gains with U1 input compensation,0.8,0.2,0.8,0.2,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.03339921192963818,0.034868480695469134,0.06756247533793237,0.01707140357163351,0.00260223195988398,0.01813299562299628,0.05142834962929999,0.044208878821999975,0.08849658341880001,1.962624232268022,1.2332281328311092,0.17872708186269393,0.13729532990834556,89.36354093135681,68.64766495418034,0.004732429174322598,0.015853704163394797,2.3179183559158734,0.22537386140765203,4,8000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate,B_HipUp,B: hip observer up,increase hip observer gains only,1.0,0.25,0.8,0.2,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.03304018868869214,0.03487415141690515,0.06719999325084679,0.016882250063401823,0.0026027593786153865,0.017951345082506454,0.0512174250067,0.044222174778,0.08834055302900001,1.9622025022198466,1.2328383210772356,0.17868570379833415,0.1372833763949248,89.34285189917692,68.64168819746996,0.004696800955122494,0.015855924414669504,2.3173538757890135,0.2253337661698677,4,8000,1.0,-1.0749452463201359,0.016263173281161336,-0.536513923257742,-0.023151535810095325,-0.008706423902937743,-0.017790544801388197,-0.7528526658870383,0.014004621581320542
candidate,D_HipUpKneeDown,"D: hip up, knee down",test Chen's asymmetric direction,1.0,0.25,0.6000000000000001,0.15000000000000002,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.032986061203634134,0.03696177500615991,0.06923300094254685,0.016870323993788953,0.0026472770132292297,0.018007086119361897,0.050778871370699995,0.04644005910499999,0.09001944032540002,1.9545274354784343,1.228536481932716,0.17876971201368017,0.13537651247522725,89.38485600684993,67.68825623762108,0.004691154883369777,0.01619483265565684,2.3085665213455555,0.22424408590509026,4,8000,1.0,-1.2370074086610838,6.003399829700018,2.472564239629893,0.02385209367374852,-1.397583905001909,-0.5012894998139394,-0.8721586617031374,2.151727373907275
candidate,O5U1,O5+U1,increase both hip and knee observer gains,1.0,0.25,1.0,0.25,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.033067189143660726,0.03363989623085607,0.06599541747895363,0.016888868951705452,0.0025978783988422727,0.017918434428245616,0.0514336358136,0.04293433961099996,0.08728629715190003,1.967010337655667,1.235598793048976,0.17864151480224258,0.13842039230532815,89.32075740113112,69.21019615267171,0.0046997083000674105,0.015655108077201555,2.322893464158085,0.22599335347925786,4,8000,1.0,-0.9941036533344549,-3.523481494198588,-2.3194204344063385,-0.047875822488441244,0.8194469525901971,0.2748730787752285,-0.6914181501695871,-1.2526794000091712
candidate,KneeVelDown,knee velocity observer down,keep knee position observer gain fixed and reduce only knee velocity observer gain,0.8,0.2,0.8,0.15000000000000002,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.03334993038013863,0.03678434770603965,0.06942949397044042,0.017058797412463276,0.002645525422172662,0.018182915111433252,0.051007571822099994,0.046251646393,0.09002477823660003,1.955358827217177,1.2292736359886285,0.17880697155521094,0.13551354427302775,89.40348577761533,67.75677213652133,0.004727727848004002,0.016193767007629402,2.3096627059622445,0.22435653268443928,4,8000,1.0,-0.14755303090195904,5.494552594083824,2.7633958394354785,0.04469926531804891,-1.2977758504293502,-0.4513960566938313,-0.09934277187082508,2.1450056133871076
structure,O4U1_pd_inverse_only,O4+U1: PD inverse only,structural ablation at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,pd_inverse_only,1.0,True,4000,0.0019999999999997797,700,1000,0.031809069122906916,0.02891476601269073,0.05998718738093449,0.016169826490686066,0.002648048965142581,0.017111104149823097,0.0514808335328,0.03763906558800001,0.0824248282507,1.9824397083931395,1.2270821957871278,0.1780290104765682,0.132225719882276,89.0145052382939,66.11285994114527,0.0,0.0,2.3314797688660382,0.221761064142586,4,8000,1.0,-4.761018942845718,-17.074775166650834,-11.21227118915935,-0.3905795242950538,-3.6924854104315785,-1.6030240785249172,-100.0,-100.0
structure,O4U1_center_feedback_only,O4+U1: center feedback only,structural ablation at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,center_feedback_only,1.0,True,4000,0.0019999999999997797,700,1000,0.03343276638406409,0.034996841130845426,0.06772617738267808,0.017091907074900735,0.0026009230129840845,0.018156885025940702,0.0514056565334,0.04433399067499999,0.08860417539860002,1.961554681683692,1.233192038648544,0.17875054227398107,0.13727710363171577,89.37527113700038,68.63855181586545,0.0,0.0,2.3169936066854744,0.22538136467941428,4,8000,1.0,0.10046480886016784,0.3681274113929822,0.2422972869583484,0.013126388593520666,-0.013275234228249388,0.0033292555380537436,-100.0,-100.0
structure,O4U1_input_compensation_only,O4+U1: input compensation only,structural ablation at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,input_compensation_only,1.0,True,4000,0.0019999999999997797,700,1000,0.031771283296588036,0.028785710911779273,0.05982065401404223,0.016152279789793625,0.002647615818209444,0.017091722743716595,0.051466232741000005,0.03749877034100002,0.08228028651040001,1.9826081426937392,1.2270566968830843,0.1780288070850657,0.1321796135958606,89.01440354254264,66.08980679793758,0.004701080947648013,0.015753266213580745,2.331609569555148,0.22173341291398221,4,8000,1.0,-4.8741528287544185,-17.44489482296332,-11.458759148724628,-0.39069332434168436,-3.7260672419812457,-1.6152931271320115,-0.6624130128492056,-0.6335298601443329
structure,O4U1_full_eid,O4+U1: full EID,structural ablation at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.03339921192963818,0.034868480695469134,0.06756247533793237,0.01707140357163351,0.00260223195988398,0.01813299562299628,0.05142834962929999,0.044208878821999975,0.08849658341880001,1.962624232268022,1.2332281328311092,0.17872708186269393,0.13729532990834556,89.36354093135681,68.64766495418034,0.004732429174322598,0.015853704163394797,2.3179183559158734,0.22537386140765203,4,8000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
structure,O5U1_pd_inverse_only,O5+U1: PD inverse only,structural ablation at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,pd_inverse_only,1.0,True,4000,0.0019999999999997797,700,1000,0.031809069122906916,0.02891476601269073,0.05998718738093449,0.016169826490686066,0.002648048965142581,0.017111104149823097,0.0514808335328,0.03763906558800001,0.0824248282507,1.9824397083931395,1.2270821957871278,0.1780290104765682,0.132225719882276,89.0145052382939,66.11285994114527,0.0,0.0,2.3314797688660382,0.221761064142586,4,8000,1.0,-4.761018942845718,-17.074775166650834,-11.21227118915935,-0.3905795242950538,-3.6924854104315785,-1.6030240785249172,-100.0,-100.0
structure,O5U1_center_feedback_only,O5+U1: center feedback only,structural ablation at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,center_feedback_only,1.0,True,4000,0.0019999999999997797,700,1000,0.033099400048099616,0.033765824327244016,0.06615472126354577,0.016909193515253322,0.002595333725632669,0.017941470165242487,0.0514230978231,0.04305737226599998,0.08740757983650002,1.9661628836196148,1.2355318670712316,0.17866961372030335,0.13841755960304708,89.3348068601615,69.20877980153116,0.0,0.0,2.322140279886623,0.22601383071269224,4,8000,1.0,-0.8976615441411373,-3.1623298355193286,-2.0836330630950584,-0.032154132318196194,0.8173837343562251,0.28395897423199035,-100.0,-100.0
structure,O5U1_input_compensation_only,O5+U1: input compensation only,structural ablation at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,input_compensation_only,1.0,True,4000,0.0019999999999997797,700,1000,0.03177118558421637,0.028787212776342046,0.05982213468597453,0.016152550674426693,0.0026472155142983895,0.017092189528143314,0.05146623937690001,0.037499951306000034,0.0822817097106,1.9825958126186047,1.2269530101796904,0.17802825813800244,0.13212773801618102,89.01412906901102,66.06386900809778,0.004667065083659011,0.015572340119085119,2.3315445192836934,0.22170205197274065,4,8000,1.0,-4.874445387668292,-17.440587596113122,-11.456567589097922,-0.39100046697363444,-3.763851178051192,-1.6292082018641407,-1.3811953281465228,-1.7747527102172755
structure,O5U1_full_eid,O5+U1: full EID,structural ablation at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.033067189143660726,0.03363989623085607,0.06599541747895363,0.016888868951705452,0.0025978783988422727,0.017918434428245616,0.0514336358136,0.04293433961099996,0.08728629715190003,1.967010337655667,1.235598793048976,0.17864151480224258,0.13842039230532815,89.32075740113112,69.21019615267171,0.0046997083000674105,0.015655108077201555,2.322893464158085,0.22599335347925786,4,8000,1.0,-0.9941036533344549,-3.523481494198588,-2.3194204344063385,-0.047875822488441244,0.8194469525901971,0.2748730787752285,-0.6914181501695871,-1.2526794000091712
residual,O4U1_lambda_0,O4+U1: lambda=0,residual-definition scan at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,full_eid,0.0,True,4000,0.0019999999999997797,700,1000,0.033010861467320685,0.03343326634589514,0.06573262743761144,0.016863519275257022,0.002594921393249261,0.017886459816200954,0.051407884913199996,0.04271296488799997,0.08706850866640002,1.966960838666439,1.2366631496228673,0.17867483396884226,0.1389518717894511,89.33741698443097,69.4759358947332,0.004724819109162561,0.01566803988044852,2.3234178889047343,0.22634557421691595,4,8000,1.0,-1.1627533701562442,-4.116079395912675,-2.708379009455242,-0.02923333907046688,1.2065536986665126,0.4311559482518268,-0.16080674173272191,-1.1711097989008934
residual,O4U1_lambda_0p5,O4+U1: lambda=0.5,residual-definition scan at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,full_eid,0.5,True,4000,0.0019999999999997797,700,1000,0.03320095221550203,0.034138562457632325,0.0666310505651303,0.016966988061923965,0.0025948965289517224,0.0180083604753647,0.0514269620207,0.04344074290899996,0.08778576526080001,1.9647473649709868,1.2349101446054185,0.17871350809853942,0.13813629418665269,89.35675404927956,69.06814709333395,0.004725620489417819,0.015759831513672544,2.3206109698546658,0.22587641255453872,4,8000,1.0,-0.593605964577304,-2.093346837253096,-1.3786125628809431,-0.007594687952738877,0.6125221293896477,0.22298555109621088,-0.14387293827284875,-0.5921180864406406
residual,O4U1_lambda_1,O4+U1: lambda=1,residual-definition scan at O4+U1,0.8,0.2,0.8,0.2,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.03339921192963818,0.034868480695469134,0.06756247533793237,0.01707140357163351,0.00260223195988398,0.01813299562299628,0.05142834962929999,0.044208878821999975,0.08849658341880001,1.962624232268022,1.2332281328311092,0.17872708186269393,0.13729532990834556,89.36354093135681,68.64766495418034,0.004732429174322598,0.015853704163394797,2.3179183559158734,0.22537386140765203,4,8000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
residual,O5U1_lambda_0,O5+U1: lambda=0,residual-definition scan at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,full_eid,0.0,True,4000,0.0019999999999997797,700,1000,0.0326907864642343,0.03226216819352453,0.06423846662214706,0.016694117469641362,0.0026246297332994466,0.017685504268665213,0.051438186319599996,0.04153726723700002,0.0858845831576,1.9730948694606538,1.2398640381869857,0.17864043084026118,0.1399005384618477,89.32021542014043,69.95026923093155,0.004722249717604559,0.015483013829446014,2.3303146133261263,0.2269021026626,4,8000,1.0,-2.121084374374782,-7.474694767194922,-4.919903687896809,-0.048482312545850004,1.8975216092501412,0.6780916142638649,-0.2151000330500752,-2.338193838665692
residual,O5U1_lambda_0p5,O5+U1: lambda=0.5,residual-definition scan at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,full_eid,0.5,True,4000,0.0019999999999997797,700,1000,0.0328793255072247,0.032940074500545424,0.0651042468287055,0.01678459341321321,0.0026040809299276444,0.017795837075715096,0.0514335296627,0.042222916778999975,0.0865892507933,1.969781252280969,1.2374146250890943,0.1786145346645198,0.13919173914919128,89.30726733226973,69.5958695746033,0.004702511179169506,0.01556455908325527,2.326205738154295,0.2264453405146581,4,8000,1.0,-1.5565829023412747,-5.530513966942896,-3.6384524056162326,-0.0629715413026255,1.3812627436867064,0.4754229706647184,-0.632191080965816,-1.8238329488142302
residual,O5U1_lambda_1,O5+U1: lambda=1,residual-definition scan at O5+U1,1.0,0.25,1.0,0.25,6.0,0.5,full_eid,1.0,True,4000,0.0019999999999997797,700,1000,0.033067189143660726,0.03363989623085607,0.06599541747895363,0.016888868951705452,0.0025978783988422727,0.017918434428245616,0.0514336358136,0.04293433961099996,0.08728629715190003,1.967010337655667,1.235598793048976,0.17864151480224258,0.13842039230532815,89.32075740113112,69.21019615267171,0.0046997083000674105,0.015655108077201555,2.322893464158085,0.22599335347925786,4,8000,1.0,-0.9941036533344549,-3.523481494198588,-2.3194204344063385,-0.047875822488441244,0.8194469525901971,0.2748730787752285,-0.6914181501695871,-1.2526794000091712
