cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.523079991341,0,-0.20000000298,0,0,-0.20000000298,0,-0.20000000298,0,-0.52308,0,-0.52308,0,0,-0.00421921584824,-5.42478037477,0,-0.2,0,0,-0.52308,0,-1.45471412694e-11,3.63679208488e-09,-0.52308,-0.523080000011,-1.6448834841e-08,0,-0.568208155631,-0.00188033981794,-0.0451281556307,-0.00188033981794,5.19833872031,-0.2,-5.42478037477,-0.52308,-0.00421921584824,0,-0.00421921584824,0,0,0,4,0
0,0,2,0.778850018978,0,0.20000000298,0,0,0.20000000298,-0,0.20000000298,0,0.77885,0,0.77885,0,0,0.00527401081489,1.41891908035,0,0.2,0,0,0.77885,0,1.81838988311e-11,-4.54597841752e-09,0.77885,0.778850000014,2.05610084822e-08,0,0.790653832904,0.000491826371007,0.0118038329042,0.000491826371007,-4.87277582942,0.2,1.41891908035,0.77885,0.00527401081489,0,0.00527401081489,0,0,0,4,0
1,0.002,1,-0.523083269596,0,-0.40000000596,0,0,-0.40000000596,0,-0.40000000596,0,-0.523080000011,-1.6448834841e-08,-0.523083274457,-0.00163722857486,-5.03693091969e-06,-0.00239534266574,-5.42479237927,0.00857899415888,-0.4,0,0,-0.523059206645,0.0103966774406,-3.24645865746e-11,8.11614846324e-09,-0.523083274457,-0.523080000085,-6.1231497558e-08,-0.00163722857486,-0.568208255506,-0.00188036042779,-0.0451249810488,-0.000243131852923,5.00102847354,-0.4,-5.41621338512,-0.523088311388,-0.0040325712406,-5.03693091969e-06,-0.00239534266574,3.27444607284e-06,0.00163721212603,0,4,0
1,0.002,2,0.778856277466,0,0.40000000596,0,0,0.40000000596,-0,0.40000000596,0,0.778850000014,2.05610084822e-08,0.778856258709,0.00312935455325,4.13050826031e-06,0.00191135090002,1.41892283044,-0.0163977133925,0.4,0,0,0.778830508897,-0.00974555165884,4.05807609738e-11,-1.01451883228e-08,0.778856258709,0.778850000106,7.65392414016e-08,0.00312935455325,0.790653864115,0.000491848231872,0.0117976054055,-0.00263750632138,-4.08587096001,0.4,1.40252511705,0.778860389217,0.00504070545327,4.13050826031e-06,0.00191135090002,-6.25869526039e-06,-0.00312933399224,0,4,0
2,0.004,1,-0.523093044758,0,-0.600000023842,0,0,-0.600000023842,0,-0.600000023842,0,-0.523080000085,-6.1231497558e-08,-0.523093059376,-0.00489245966379,-2.86283431128e-06,0.00135890351999,-5.42479958952,0.0260291071576,-0.6,0,0,-0.5230665448,0.00836482837223,-4.19734247359e-11,1.04933563737e-08,-0.523093059376,-0.523080000267,-1.226475871e-07,-0.00489245966379,-0.568208315561,-0.00188040770967,-0.0451152561845,0.00301205195412,4.80542524898,-0.6,-5.39877048236,-0.523095922211,-0.0035335561438,-2.86283431128e-06,0.00135890351999,1.30592916343e-05,0.00489239843229,0,4,0
2,0.004,2,0.77887493372,0,0.600000023842,0,0,0.600000023842,-0,0.600000023842,0,0.778850000106,7.65392414016e-08,0.778874946864,0.00934407737879,-5.04413432456e-06,-0.00492713973262,1.41892511569,-0.049713615135,0.6,0,0,0.778846173934,-0.00504238736676,5.24665866308e-11,-1.31166453122e-08,0.778874946864,0.778850000334,1.5330922239e-07,0.00934407737879,0.790653883217,0.000491905002217,0.0117789363536,-0.00885217237658,-3.31151976711,0.6,1.36921150055,0.77886990273,0.00441693764617,-5.04413432456e-06,-0.00492713973262,-2.49467578106e-05,-0.00934400083955,0,4,0
3,0.006,1,-0.523112535477,0,-0.800000011921,0,0,-0.800000011921,0,-0.800000011921,0,-0.523080000267,-1.226475871e-07,-0.523112552772,-0.00974669778685,1.02582032834e-05,0.00693898178386,-5.42480030484,0.0526391762811,-0.8,0,0,-0.523083622595,0.00471839083417,-4.07868183672e-11,1.01966985532e-08,-0.523112552772,-0.523080000576,-1.85062752546e-07,-0.00974669778685,-0.568208321694,-0.0018804693737,-0.0450957689218,0.00786622841315,4.61155789464,-0.8,-5.37216112855,-0.523102294569,-0.002807716003,1.02582032834e-05,0.00693898178386,3.2552504873e-05,0.00974657513927,0,4,0
3,0.006,2,0.778912127018,0,0.800000011921,0,0,0.800000011921,-0,0.800000011921,0,0.778850000334,1.5330922239e-07,0.778912148329,0.0186007325573,-3.42801655513e-05,-0.0150910935396,1.41892539603,-0.100460655641,0.8,0,0,0.77888038894,0.00272103784458,5.09834396922e-11,-1.27458711988e-08,0.778912148329,0.77885000072,2.31328046127e-07,0.0186007325573,0.790653885778,0.000491981869373,0.0117417374486,-0.0181087506879,-2.54965605619,0.8,1.31846474039,0.778877868163,0.00350963901767,-3.42801655513e-05,-0.0150910935396,-6.21479950066e-05,-0.0186005792481,0,4,0
4,0.008,1,-0.523144900799,0,-1,0,0,-1,0,-1,0,-0.523080000576,-1.85062752546e-07,-0.523144915086,-0.0161811571736,3.786120975e-05,0.0142483377689,-5.42479400029,0.0886946017872,-1,0,0,-0.523113599936,-0.000523581997565,-2.84383627758e-11,7.10958723709e-09,-0.523144915086,-0.523080000997,-2.31712083585e-07,-0.0161811571736,-0.568208269556,-0.00188052960358,-0.0450633544696,0.01430062757,4.41945490366,-1,-5.3360993985,-0.523107053877,-0.00193281940471,3.786120975e-05,0.0142483377689,6.49145102749e-05,0.0161809721108,0,4,0
4,0.008,2,0.77897387743,0,1,0,0,1,-0,1,0,0.77885000072,2.31328046127e-07,0.778973861097,0.0308563838328,-9.00438085132e-05,-0.0284403636977,1.41892349354,-0.169144007703,1,0,0,0.77893915117,0.0135014204449,3.55477869363e-11,-8.88695352831e-09,0.778973861097,0.778850001246,2.89639610469e-07,0.0308563838328,0.790653870337,0.000492059228754,0.0116800092405,-0.0303643246041,-1.8002141037,1,1.24977948584,0.778883817288,0.00241602013509,-9.00438085132e-05,-0.0284403636977,-0.000123860376491,-0.0308561525048,0,4,0
5,0.01,1,-0.523193240166,0,-1.20000004768,0,0,-1.20000004768,0,-1.20000004768,0,-0.523080000997,-2.31712083585e-07,-0.523193269573,-0.0241772431982,8.32962634089e-05,0.0231983851214,-5.42478114414,0.134477286539,-1.2,0,0,-0.523159599581,-0.00734224736628,-5.98521232575e-12,1.49630517091e-09,-0.523193269573,-0.523080001482,-2.47060544964e-07,-0.0241772431982,-0.568208163028,-0.00188057179671,-0.0450148934551,0.0222966714015,4.22914439957,-1.2,-5.2903038576,-0.523109973309,-0.000978858076791,8.32962634089e-05,0.0231983851214,0.000113268575905,0.0241770114861,0,4,0
5,0.01,2,0.779066026211,0,1.1626585722,0,0,1.1626585722,-0,1.1626585722,0,0.778850001246,2.89639610469e-07,0.779065998194,0.0460685486947,-0.000178531621205,-0.0448449781857,1.41891953811,-0.256260929026,1.16265860909,0,0,0.779028373008,0.0272559556254,7.48157091834e-12,-1.87038166921e-09,0.779065998194,0.778850001853,3.08825154469e-07,0.0460685486947,0.790653837958,0.000492116169286,0.0115878397643,-0.0455764325255,-1.21240543511,1.16265860909,1.16265860909,0.778887466573,0.00122357050905,-0.000178531621205,-0.0448449781857,-0.000215996947923,-0.0460682590551,0,4,0
