case,window,pair,input_signal,output_signal,samples,fs_hz,peak_coherence_freq_hz_0p5_80,peak_coherence,cross_spectrum_mag_at_peak,cross_spectrum_phase_rad_at_peak,coherence_at_0p8_hz,coherence_at_5_hz,coherence_at_20_hz
A,full,tau_dist_hip_to_e_hip,tau_dist_h,e_h,4000,500.0000000000551,1.9531250000002152,0.5923168322903348,0.0010393034775862877,2.620471023861834,0.10321055813001158,0.35006716121268583,0.031025383948047987
A,full,tau_dist_knee_to_e_knee,tau_dist_k,e_k,4000,500.0000000000551,1.9531250000002152,0.8921529871715814,0.0004954486237670166,2.9079122197987877,0.5242346998833705,0.6873100042060248,0.015871718747727873
A,full,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,4000,500.0000000000551,3.9062500000004303,0.8300053974678914,0.0006331508260498573,2.378386611364013,0.21852511812008452,0.6117785503569869,0.020275821781567314
A,full,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,4000,500.0000000000551,21.484375000002366,0.9784296182645558,0.00013343574656428367,0.9405911613578609,0.20790697656243784,0.6739213683625257,0.9756590336359967
A,full,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,4000,500.0000000000551,19.531250000002153,0.9822021248507568,0.00018945548089265571,1.491798060360688,0.04726049769821104,0.5160925485607383,0.9822021248507568
A,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,5.859375000000646,0.8146058427567137,1.5506818567820064e-05,1.5593950654056474,0.562385838702175,0.8146058427567137,0.015753087826148208
A,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,1.9531250000002152,0.8964682053457073,0.0007617543724160931,2.9196312344715367,0.8711256485396648,0.8646353307560237,0.004512819776882478
A,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,5.859375000000646,0.8911234169060528,5.711784794064493e-05,1.8331831522788071,0.7336290247395151,0.8911234169060528,0.0063259273500967115
A,post_startup,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,2500,500.0000000000551,19.531250000002153,0.9866537006869566,0.00022360952557416383,0.8591303135596817,0.12308708598764337,0.8374580760870645,0.9866537006869566
A,post_startup,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,2500,500.0000000000551,19.531250000002153,0.9852759519126498,0.0002409466416660712,1.4925089625686323,0.08040406587599251,0.6766385323885632,0.9852759519126498
