case,window,pair,input_signal,output_signal,samples,fs_hz,n_segments,coherence_95_threshold,peak_mag_freq_hz_0p5_80,peak_mag_db,phase_deg_at_peak,coherence_at_peak_mag,mag_db_at_0p8_hz,phase_deg_at_0p8_hz,coherence_at_0p8_hz,mag_db_at_5_hz,phase_deg_at_5_hz,coherence_at_5_hz,mag_db_at_20_hz,phase_deg_at_20_hz,coherence_at_20_hz
A,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-35.86379144232561,125.00386750884708,0.06488948929423739,-41.24557977104886,169.71254813385855,0.8594713441593551,-48.358499742462556,82.01639116370703,0.8780983188534551,-55.028408750627335,-147.39433951642224,0.0009407149965633646
A,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-30.045226865854588,166.12688258006753,0.028829049937132128,-40.40688225299705,172.00439723358372,0.9105330278862459,-40.626690406971086,109.34132313575023,0.9634075088205342,-54.186645656920604,27.486282868595023,0.00012391920241863744
A,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-33.617297401589504,148.38814499899607,0.03934607105340521,-40.90202008305258,170.68285217779032,0.8904771830046055,-44.65211612279029,98.98588141683442,0.9600309509025644,-70.63753986473098,-133.67278824851468,9.055984880120908e-06
B,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-35.85124972221819,125.28903396043027,0.06522987037196822,-41.35073677128223,169.84508969860372,0.8549566394687858,-48.56754674315971,82.80573965623509,0.8741265159015531,-54.932725924985604,-150.06479211114112,0.0009669514333409082
B,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-30.011104770779017,166.2311303835644,0.029028723332327904,-40.405083180850276,171.955929962422,0.9105608923582369,-40.74977732837537,109.01045481223798,0.9642916179401357,-54.225509384368834,29.829476506512478,0.00012283038208527245
B,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-33.58731510918686,148.59537347135765,0.03960662615493185,-40.96147823273518,170.74511501903552,0.888480686299579,-44.7883419866847,99.13688130997025,0.9594739250175223,-70.52682226481994,-149.78852395437795,9.303650352607417e-06
C,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-35.932755820556764,124.06588168015733,0.06359022600465332,-41.251214781863496,169.7966456023552,0.860201720111549,-48.112997380431096,83.61003210404097,0.8862486464081385,-55.08395448333011,-143.75773363425606,0.0009240456799854654
C,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-30.40197532106218,165.052925260075,0.02731359702332783,-39.92047326043817,171.58603639466034,0.9182940560692645,-40.09417296628436,109.57945422474228,0.9612209085790508,-53.889873359992166,20.044974123653326,0.00013690289613502027
C,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-33.846546971248685,147.02339207225072,0.03792303526764436,-40.695266707043025,170.57907968362477,0.8955601941022072,-44.20323739058749,99.93662551337597,0.9606477172148288,-68.87676290244008,-104.96503666619371,1.384009869073831e-05
D,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-35.91581634263703,124.23609188970806,0.06396565552310148,-41.35582191059909,169.92575857409713,0.8556378839410206,-48.32750292559868,84.51748239486187,0.8812662508874299,-55.094101781430496,-146.56582974705663,0.0009265745920813826
D,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-30.37450352671558,165.09591034193465,0.027463430962689092,-39.91861751347979,171.5387040443917,0.9183299682096216,-40.23009215438323,109.28330366458667,0.9615455922315235,-53.8649082988286,22.37027757215708,0.0001377095939942126
D,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,8,0.3481636551311609,18.554687500002043,-33.82010641333674,147.134405158244,0.03814418164096185,-40.75296625054876,170.6359098459106,0.8936646153839642,-44.34881150570334,100.13570416455175,0.959804570308885,-70.37354532311181,-115.66587239971297,9.819340064510069e-06
