case,window,signal,unit,samples,fs_hz,peak_freq_hz_0p5_100,peak_psd,psd_at_0p8_hz,psd_at_5_hz,psd_at_20_hz,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
A,full,e_hip,rad,4000,500.0000000000551,0.9765625000001076,5.369613751630484e-05,5.369613751630484e-05,5.239356014306264e-08,1.567825682675417e-09,4.71312860274536e-05,2.480408128047079e-07,6.20779159474674e-09
A,full,e_knee,rad,4000,500.0000000000551,0.9765625000001076,2.5716938610977975e-05,2.5716938610977975e-05,1.291049815517642e-07,6.272879059471463e-09,2.1349987996703024e-05,4.869122530442697e-07,2.035153171943722e-08
A,full,e_coord,rad,4000,500.0000000000551,0.9765625000001076,0.00015120635837128496,0.00015120635837128496,3.105588844974863e-07,1.2440504885520507e-08,0.00012143171938769123,1.1406202824591594e-06,4.3634246359783185e-08
A,full,tau_total_hip,N m,4000,500.0000000000551,0.9765625000001076,1.2105341245836303,1.2105341245836303,0.0038672142922652566,0.08975104610495846,0.9471305421646818,0.01441981937103468,0.36986459266643773
A,full,tau_total_knee,N m,4000,500.0000000000551,0.9765625000001076,0.4486517817531651,0.4486517817531651,0.0012264168382110196,0.06264575575247747,0.30928702860008794,0.0037480850285901667,0.213003953193719
A,full,delta_tau_total_hip,N m/sample,4000,500.0000000000551,20.50781250000226,0.007712603208900812,0.00013286343094653076,1.2099714426307427e-05,0.005281730997938765,0.00020231482153206881,9.893245130097995e-05,0.02612285591408017
A,full,delta_tau_total_knee,N m/sample,4000,500.0000000000551,20.50781250000226,0.004588109716446918,4.8989443334959585e-05,4.313475081666483e-06,0.0036790558951658864,4.339477452360652e-05,1.5981633142407533e-05,0.014781780758559498
A,full,eta_q_hip,rad,4000,500.0000000000551,0.9765625000001076,2.578399063659047e-08,2.578399063659047e-08,1.0268254501326858e-11,2.087846403587538e-10,1.272989800199577e-08,2.9007511416814e-11,7.305345431510588e-10
A,full,eta_q_knee,rad,4000,500.0000000000551,0.9765625000001076,5.866571381201677e-08,5.866571381201677e-08,2.7417478355299123e-11,3.4029348526845845e-10,2.9424876862731225e-08,8.279520627273537e-11,1.1897376339200894e-09
A,full,eta_dq_hip,rad/s,4000,500.0000000000551,0.9765625000001076,2.6269617582248893e-06,2.6269617582248893e-06,7.135175904515868e-08,1.4422603179039708e-06,2.2555177376579745e-06,2.0141061942168137e-07,5.0451639754320205e-06
A,full,eta_dq_knee,rad/s,4000,500.0000000000551,0.9765625000001076,1.5070724919573207e-05,1.5070724919573207e-05,1.9052451704398805e-07,2.3506227502144215e-06,1.2775593356414013e-05,5.749276395845027e-07,8.216326764567672e-06
A,full,eta_u_hip,N m,4000,500.0000000000551,0.9765625000001076,1.76447486442102e-06,1.76447486442102e-06,2.3342678810830275e-08,4.719561414132784e-07,1.1798425625957735e-06,6.589663001911697e-08,1.650907646318376e-06
A,full,eta_u_knee,N m,4000,500.0000000000551,0.9765625000001076,6.98504061893719e-06,6.98504061893719e-06,6.232968016369173e-08,7.692060918585749e-07,5.182814163165274e-06,1.8810212508005367e-07,2.6885984488591886e-06
A,post_startup,e_hip,rad,2500,500.0000000000551,0.9765625000001076,8.015610746917983e-05,8.015610746917983e-05,9.590648308745495e-08,1.7197739265644599e-09,6.794840445639925e-05,3.5631732103357535e-07,7.277572899382043e-09
A,post_startup,e_knee,rad,2500,500.0000000000551,0.9765625000001076,4.079054897731025e-05,4.079054897731025e-05,2.3045147907087005e-07,7.0434365950291664e-09,3.1930859831781134e-05,7.446753664722376e-07,2.4151690270852364e-08
A,post_startup,e_coord,rad,2500,500.0000000000551,0.9765625000001076,0.000232594099040239,0.000232594099040239,5.720602055189489e-07,1.3638861738728376e-08,0.00017879569534740272,1.7420456980708318e-06,5.131792206172775e-08
A,post_startup,tau_total_hip,N m,2500,500.0000000000551,0.9765625000001076,1.469502513958771,1.469502513958771,0.006561651669269662,0.09312714790526312,1.1186518597501753,0.021210286258900965,0.4175936427072396
A,post_startup,tau_total_knee,N m,2500,500.0000000000551,0.9765625000001076,0.5580951346437112,0.5580951346437112,0.0020542923243820296,0.0734111163939962,0.4053092763608992,0.0056639313824572365,0.2602862262880802
A,post_startup,delta_tau_total_hip,N m/sample,2500,500.0000000000551,20.50781250000226,0.008232483645610168,0.0001689049922964009,2.0440905273041717e-05,0.005453424818589828,0.00026320599979086097,0.0001337124877244926,0.029700801805845146
A,post_startup,delta_tau_total_knee,N m/sample,2500,500.0000000000551,20.50781250000226,0.005461154554878713,6.110101443809128e-05,6.701169820049224e-06,0.004290321550065313,6.252755106946574e-05,2.3667328672069337e-05,0.018064549810855514
A,post_startup,eta_q_hip,rad,2500,500.0000000000551,0.9765625000001076,5.81721257848466e-10,5.81721257848466e-10,1.6586468816997897e-11,2.4121577200213463e-10,4.873066690999194e-10,4.52172454386498e-11,8.849342610607398e-10
A,post_startup,eta_q_knee,rad,2500,500.0000000000551,0.9765625000001076,3.4967857579677442e-09,3.4967857579677442e-09,4.5353538693051774e-11,3.8937134210418395e-10,2.8264979625276147e-09,1.2991594659760279e-10,1.428683481638682e-09
A,post_startup,eta_dq_hip,rad/s,2500,500.0000000000551,0.9765625000001076,4.0394603809794825e-06,4.0394603809794825e-06,1.1516193427801962e-07,1.6652662863215386e-06,3.386310835879316e-06,3.140419802768391e-07,6.109596985154241e-06
A,post_startup,eta_dq_knee,rad/s,2500,500.0000000000551,0.9765625000001076,2.4289547556380605e-05,2.4289547556380605e-05,3.148557590818714e-07,2.687961422103328e-06,1.964568451395558e-05,9.025715100738406e-07,9.863242477576634e-06
A,post_startup,eta_u_hip,N m,2500,500.0000000000551,0.9765625000001076,1.321656884982459e-06,1.321656884982459e-06,3.767900756068988e-08,5.449750118625633e-07,1.107852210395892e-06,1.0274387966557221e-07,1.999292900991916e-06
A,post_startup,eta_u_knee,N m,2500,500.0000000000551,0.9765625000001076,7.946885022611547e-06,7.946885022611547e-06,1.0301709431960517e-07,8.796666554788315e-07,6.427031715376475e-06,2.9528167334497075e-07,3.227643213975102e-06
A,disturbance,e_hip,rad,700,500.0000000000551,0.9765625000001076,6.372015497845534e-05,6.372015497845534e-05,4.633140586982969e-08,2.7582366564949042e-09,7.127052469263943e-05,1.4831129531688524e-07,8.04917959420908e-09
A,disturbance,e_knee,rad,700,500.0000000000551,0.9765625000001076,2.7460243588875546e-05,2.7460243588875546e-05,1.653681577297092e-07,1.2969143676693931e-08,1.635755433373569e-05,6.461946962382842e-07,3.40125328584424e-08
A,disturbance,e_coord,rad,700,500.0000000000551,0.9765625000001076,0.0001679188749775231,0.0001679188749775231,3.4558372647698317e-07,2.4948477663732357e-08,0.00011133530469241906,8.429236019428984e-07,6.767663445432466e-08
A,disturbance,tau_total_hip,N m,700,500.0000000000551,0.9765625000001076,1.2963001105617433,1.2963001105617433,0.0017386165867491162,0.1420231991577382,0.9452525751136264,0.006864181039293885,0.4502735632697271
A,disturbance,tau_total_knee,N m,700,500.0000000000551,0.9765625000001076,0.6851925829303831,0.6851925829303831,0.0015872071419126845,0.11495552027428302,0.6218602436461906,0.005499354300282246,0.3302292672114004
A,disturbance,delta_tau_total_hip,N m/sample,700,500.0000000000551,20.50781250000226,0.011490207343798475,0.0001367945255113206,5.729541943787561e-06,0.008568036655335794,0.0003547645760979344,5.493245263976063e-05,0.03234525239064301
A,disturbance,delta_tau_total_knee,N m/sample,700,500.0000000000551,20.50781250000226,0.00784346006796898,0.00010795794781717393,5.573965159015575e-06,0.006909758054121186,0.00015931277346551965,2.3228183414379762e-05,0.022925661675551455
A,disturbance,eta_q_hip,rad,700,500.0000000000551,20.50781250000226,4.4390070130394384e-10,2.710152532882673e-10,2.236910628648211e-12,4.1773319180738086e-10,2.4446485563076473e-10,1.1246216824682808e-11,1.1634325136229206e-09
A,disturbance,eta_q_knee,rad,700,500.0000000000551,0.9765625000001076,8.969982581889363e-10,8.969982581889363e-10,4.619870353855788e-12,7.328194690407553e-10,6.265281792412767e-10,2.6600764810209806e-11,2.0404193842578005e-09
A,disturbance,eta_dq_hip,rad/s,700,500.0000000000551,20.50781250000226,3.0599902366966563e-06,1.8717926648103017e-06,1.5318646057171196e-08,2.880314277117249e-06,1.6918614087474835e-06,7.752372210916702e-08,8.027964312071519e-06
A,disturbance,eta_dq_knee,rad/s,700,500.0000000000551,0.9765625000001076,6.182074920993231e-06,6.182074920993231e-06,3.141216338907667e-08,5.052816918584897e-06,4.330048520619083e-06,1.8292736964697964e-07,1.407912104741344e-05
A,disturbance,eta_u_hip,N m,700,500.0000000000551,20.50781250000226,1.0015271346801853e-06,6.128425282914229e-07,5.020698156153934e-09,9.427446507085709e-07,5.537880121331089e-07,2.5386203262108494e-08,2.6272375099485063e-06
A,disturbance,eta_u_knee,N m,700,500.0000000000551,0.9765625000001076,2.024611700674969e-06,2.024611700674969e-06,1.0304790480823189e-08,1.653819383607129e-06,1.4175769065080574e-06,5.992133142354487e-08,4.607553130214274e-06
B,full,e_hip,rad,4000,500.0000000000551,0.9765625000001076,5.272154679172254e-05,5.272154679172254e-05,5.0299874052036007e-08,1.5600421988558508e-09,4.646183802641367e-05,2.4052764684632724e-07,6.201869384025483e-09
B,full,e_knee,rad,4000,500.0000000000551,0.9765625000001076,2.57438989250664e-05,2.57438989250664e-05,1.2556611197117895e-07,6.272949437217786e-09,2.1408644093191328e-05,4.787040073584045e-07,2.036968326816487e-08
B,full,e_coord,rad,4000,500.0000000000551,0.9765625000001076,0.00014954734557299718,0.00014954734557299718,3.017619628305578e-07,1.2425206630988715e-08,0.00012024125533299765,1.1158613085103552e-06,4.366448881043503e-08
B,full,tau_total_hip,N m,4000,500.0000000000551,0.9765625000001076,1.211134270910231,1.211134270910231,0.0036298552596655586,0.08959958011807044,0.9474341369167747,0.01388824314312231,0.37014589073260434
B,full,tau_total_knee,N m,4000,500.0000000000551,0.9765625000001076,0.4485901062699134,0.4485901062699134,0.0011901155787328512,0.06266176406826628,0.3095003840617866,0.0036817663944327494,0.2130225635746968
B,full,delta_tau_total_hip,N m/sample,4000,500.0000000000551,20.50781250000226,0.007721369986884238,0.00013293381238591468,1.1332794247899638e-05,0.0052730874247581315,0.0002025040126145619,9.839018706428228e-05,0.026149915709557204
B,full,delta_tau_total_knee,N m/sample,4000,500.0000000000551,20.50781250000226,0.004587575956308559,4.8980251738795556e-05,4.198123320412764e-06,0.003679970895282817,4.3532677329894594e-05,1.5841897587332364e-05,0.014782903054892388
B,full,eta_q_hip,rad,4000,500.0000000000551,0.9765625000001076,2.5691303305130492e-08,2.5691303305130492e-08,7.1371511322062674e-12,1.8754393798386684e-10,1.2643262884751708e-08,2.0603745666657554e-11,6.644303492676955e-10
B,full,eta_q_knee,rad,4000,500.0000000000551,0.9765625000001076,5.86711389121838e-08,5.86711389121838e-08,2.6780522355036095e-11,3.4036404181547363e-10,2.943137210222181e-08,8.156163228039896e-11,1.191052986905817e-09
B,full,eta_dq_hip,rad/s,4000,500.0000000000551,0.9765625000001076,2.643508802156788e-06,2.643508802156788e-06,7.131588414635157e-08,1.8439153538488496e-06,2.2774734877408225e-06,2.0570359841610623e-07,6.522517487513451e-06
B,full,eta_dq_knee,rad/s,4000,500.0000000000551,0.9765625000001076,1.509409493120457e-05,1.509409493120457e-05,1.8610107945494262e-07,2.3511091163165903e-06,1.2813752987505675e-05,5.66358278924421e-07,8.225404502688045e-06
B,full,eta_u_hip,N m,4000,500.0000000000551,0.9765625000001076,1.7383637925009888e-06,1.7383637925009888e-06,2.2366503667449384e-08,5.792914616092084e-07,1.158242634067683e-06,6.451972037735495e-08,2.0494703592307743e-06
B,full,eta_u_knee,N m,4000,500.0000000000551,0.9765625000001076,6.993278745265189e-06,6.993278745265189e-06,6.088244671551387e-08,7.693652837251426e-07,5.195586760760878e-06,1.8529852838663299e-07,2.691569034311376e-06
B,post_startup,e_hip,rad,2500,500.0000000000551,0.9765625000001076,7.865172116240578e-05,7.865172116240578e-05,9.181467828820791e-08,1.7103817300883072e-09,6.697684937927705e-05,3.4525183777645074e-07,7.265788871468519e-09
B,post_startup,e_knee,rad,2500,500.0000000000551,0.9765625000001076,4.080620126415297e-05,4.080620126415297e-05,2.2380636978907977e-07,7.042567908666433e-09,3.199184884139334e-05,7.314069392506852e-07,2.4169954718987783e-08
B,post_startup,e_coord,rad,2500,500.0000000000551,0.9765625000001076,0.00022994696493116668,0.00022994696493116668,5.547166600081235e-07,1.3618591562736637e-08,0.00017696106068085767,1.7026654921162315e-06,5.133681856875265e-08
B,post_startup,tau_total_hip,N m,2500,500.0000000000551,0.9765625000001076,1.4700102430613609,1.4700102430613609,0.006115567645325018,0.09292894102908789,1.1184153570634285,0.020315032523716678,0.4178477796933917
B,post_startup,tau_total_knee,N m,2500,500.0000000000551,0.9765625000001076,0.5581124734891408,0.5581124734891408,0.001986168747811734,0.07344152788307153,0.4060158302948278,0.005557273679214817,0.2603154576483134
B,post_startup,delta_tau_total_hip,N m/sample,2500,500.0000000000551,20.50781250000226,0.008240481208816746,0.00016868194267096254,1.9007636385095563e-05,0.005442127514287328,0.0002633632190269943,0.0001325593765590577,0.029727941610638124
B,post_startup,delta_tau_total_knee,N m/sample,2500,500.0000000000551,20.50781250000226,0.00546003008430296,6.114926764267775e-05,6.489389328621088e-06,0.004292075745509315,6.289837158627117e-05,2.3433487256475996e-05,0.018065935244316718
B,post_startup,eta_q_hip,rad,2500,500.0000000000551,0.9765625000001076,4.057502237694451e-10,4.057502237694451e-10,1.1455919536394637e-11,2.1641177924650763e-10,3.4219456529159916e-10,3.200475391038185e-11,8.049594723613497e-10
B,post_startup,eta_q_knee,rad,2500,500.0000000000551,0.9765625000001076,3.5002323292959567e-09,3.5002323292959567e-09,4.423834959966524e-11,3.894122150383862e-10,2.833086120485547e-09,1.278607945089649e-10,1.4301980608975265e-09
B,post_startup,eta_dq_hip,rad/s,2500,500.0000000000551,0.9765625000001076,4.057349690389987e-06,4.057349690389987e-06,1.1444878048761775e-07,2.1275051849034806e-06,3.4221752914668014e-06,3.195870134957064e-07,7.901087731976588e-06
B,post_startup,eta_dq_knee,rad/s,2500,500.0000000000551,0.9765625000001076,2.4313589796012135e-05,2.4313589796012135e-05,3.071171352597706e-07,2.688238221680677e-06,1.9691588717917994e-05,8.882944446040565e-07,9.873697224259595e-06
B,post_startup,eta_u_hip,N m,2500,500.0000000000551,0.9765625000001076,1.272389942613346e-06,1.272389942613346e-06,3.589480485944026e-08,6.683934027196319e-07,1.0731863558143749e-06,1.0023775476976174e-07,2.4826703377010136e-06
B,post_startup,eta_u_knee,N m,2500,500.0000000000551,0.9765625000001076,7.954746806824377e-06,7.954746806824377e-06,1.0048497207640282e-07,8.797574499323796e-07,6.442044478531525e-06,2.9061072866973357e-07,3.2310642908855464e-06
B,disturbance,e_hip,rad,700,500.0000000000551,0.9765625000001076,6.340500649711062e-05,6.340500649711062e-05,4.417786515255376e-08,2.734387443100464e-09,7.207750774151068e-05,1.391563677400286e-07,8.002752365479966e-09
B,disturbance,e_knee,rad,700,500.0000000000551,0.9765625000001076,2.7449314988117455e-05,2.7449314988117455e-05,1.579795440690511e-07,1.295464610102194e-08,1.636415793962898e-05,6.366983362657882e-07,3.397719409165182e-08
