case,joint,joint_id,delay_steps,response,magnitude_type,peak_freq_hz_0p5_80,peak_mag,peak_mag_db,phase_deg_at_peak,mag_at_0p8_hz,mag_db_at_0p8_hz,phase_deg_at_0p8_hz,mag_at_5_hz,mag_db_at_5_hz,phase_deg_at_5_hz,mag_at_20_hz,mag_db_at_20_hz,phase_deg_at_20_hz
A,Hip,1,0,disturbance_to_q_error,siso_abs,2.1794447537529855,0.011238782531423784,-38.98561464459543,124.13313553151347,0.009975456611536027,-40.02134432017893,164.23619280619775,0.00411895931742694,-47.70424995016149,41.743917690868976,0.00021261260460217544,-73.44821984358242,4.0516549726119
A,Hip,1,0,measurement_noise_to_u,largest_singular_value,4.207849036297403,143.8952407754274,43.16092860435403,,10.726876994576175,20.609466011659315,,141.58253187590378,43.02019348827901,,124.10608882665943,41.875861782907826,
A,Hip,1,1,disturbance_to_q_error,siso_abs,2.2956319242369094,0.011470701569211999,-38.80820038073728,121.65728835270606,0.009983189230892532,-40.01461393553916,164.8502780323991,0.004331125024337489,-47.26798559071749,41.28707128268571,0.00021444830984353769,-73.3735474453429,2.586196792599625
A,Hip,1,1,measurement_noise_to_u,largest_singular_value,4.135626917817708,152.04646811893545,43.639526727778346,,10.735192088302032,20.6161963962991,,148.87538321205184,43.456457847723016,,125.17762547506392,41.95053418114731,
A,Hip,1,2,disturbance_to_q_error,siso_abs,2.4180130845257204,0.011748381476957797,-38.600439202385566,118.94747082570429,0.009990860044575386,-40.00794249466704,165.46486763661648,0.004562809562795811,-46.81535313847554,40.58676050833992,0.0002147201995915732,-73.36254195631382,1.0342150738661553
A,Hip,1,2,measurement_noise_to_u,largest_singular_value,4.135626917817708,161.23890246423497,44.14939666591043,,10.743440720723438,20.622867837171206,,156.83916265814756,43.90909029996497,,125.33633277881955,41.96153967017643,
A,Hip,1,5,disturbance_to_q_error,siso_abs,2.729544792402006,0.013014014801688815,-37.71177407300819,112.94329503664764,0.01001348908567183,-39.988291424178556,167.31162521463,0.005380168596617895,-45.38408229546938,36.642002505266994,0.00020676628911325533,-73.69040533143693,-2.8909228266667926
A,Hip,1,5,measurement_noise_to_u,largest_singular_value,3.9948801939541703,197.2690964907637,45.901181109530434,,10.767774337699537,20.642518907659696,,184.93455096911143,45.34036114297112,,120.69348141923774,41.633676295053306,
A,Knee,2,0,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011222095603693359,-38.998520715182664,170.70054170910407,0.011189228672074685,-39.02399700939271,165.10884700523198,0.007174970969193957,-42.88359703597522,84.53052467011004,0.0005830666421470376,-64.68563608620349,11.366414846018445
A,Knee,2,0,measurement_noise_to_u,largest_singular_value,44.32171342476086,126.18762178065455,42.0203351083026,,5.069373897361489,14.099086485633663,,84.67215802076937,38.554812573623366,,124.03701996525714,41.87102647213913,
A,Knee,2,1,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011224447195579803,-38.99670077633,171.05783318786987,0.011195706609517159,-39.01896982029696,165.68691818733188,0.00760977142823921,-42.372567755377624,87.07322179474724,0.0006037805470561642,-64.38241766866516,8.093733314841913
A,Knee,2,1,measurement_noise_to_u,largest_singular_value,13.656466567946095,130.06050775316112,42.2829089030125,,5.072308781252237,14.104113674729401,,89.80325797000276,39.06584185422096,,128.44353347683557,42.17424488967744,
A,Knee,2,2,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011226803320254157,-38.994877711823584,171.4151989930263,0.011202185448033782,-39.013944840467325,166.2653259057378,0.008107564159274673,-41.82219211696978,89.71231030779956,0.0006135291248275378,-64.24329632127721,4.267474010959864
A,Knee,2,2,measurement_noise_to_u,largest_singular_value,10.904204429677527,139.7695211919234,42.90824954817963,,5.075244073382193,14.109138654559043,,95.67773257969732,39.616217492628806,,130.5173693786947,42.31336623706542,
A,Knee,2,5,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011233898030359055,-38.98939045031088,172.48774392772725,0.011221620598988328,-38.998888376082384,168.0025703430993,0.01013705904593776,-39.88176047673748,98.46180973593042,0.0005692423398737851,-64.89405609692409,-6.112656901764428
A,Knee,2,5,measurement_noise_to_u,largest_singular_value,8.265958738801809,186.76999295301403,45.426142047973514,,5.084049331530698,14.124195118943987,,119.62789383939992,41.556649132861104,,121.09614643018564,41.66260646141852,
B,Hip,1,0,disturbance_to_q_error,siso_abs,2.1794447537529855,0.010936941678420608,-39.222082075360696,124.47139974338204,0.009700251041113933,-40.26434052218085,164.36213393225276,0.00402213330716438,-47.91087079011887,42.46228520904007,0.00021296670188391322,-73.43376589540787,4.993866385218067
B,Hip,1,0,measurement_noise_to_u,largest_singular_value,4.207849036297403,143.92910721422507,43.16297262983862,,10.725856921697327,20.60863998729434,,141.6358338229082,43.02346287254721,,125.03868709178802,41.94088809872146,
B,Hip,1,1,disturbance_to_q_error,siso_abs,2.2956319242369094,0.011156542336264175,-39.04940764372759,122.00974906656369,0.009707548570529547,-40.25780855674529,164.9752319489478,0.004228279402982003,-47.47672644827581,42.140266314448915,0.00021577500714486836,-73.31997720674721,3.475943004597021
B,Hip,1,1,measurement_noise_to_u,largest_singular_value,4.135626917817708,151.9507322848327,43.634055947680295,,10.733926017647741,20.61517195272991,,148.89508455894375,43.45760721439027,,126.68752139159486,42.054676787382164,
B,Hip,1,2,disturbance_to_q_error,siso_abs,2.376511113811074,0.011418015072190618,-38.84818776089239,120.96461998032939,0.009714787250402443,-40.25133411639041,165.58881797146282,0.00445419668127901,-47.02461219997642,41.59005131613459,0.00021693120221639498,-73.2735595382492,1.7945180759374524
B,Hip,1,2,measurement_noise_to_u,largest_singular_value,4.135626917817708,160.99850314150063,44.136436765306755,,10.741930041903364,20.62164639308478,,156.8505598361065,43.909721462689674,,127.36635574685549,42.101094455880066,
B,Hip,1,5,disturbance_to_q_error,siso_abs,2.729544792402006,0.012595400011227994,-37.99576070796143,113.41207657359901,0.009736138451152777,-40.23226517841904,167.43246733567324,0.005261180468617912,-45.578336016211665,38.19569166899706,0.0002101287868386188,-73.55028893676777,-2.8117860875028615
B,Hip,1,5,measurement_noise_to_u,largest_singular_value,3.9948801939541703,196.32360626115604,45.85945045991365,,10.765538701450803,20.64071533105615,,185.26777350670312,45.355997646454426,,123.372468062228,41.82436505736156,
B,Knee,2,0,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011222095603693359,-38.998520715182664,170.70054170910407,0.011189228672074685,-39.02399700939271,165.10884700523198,0.007174970969193957,-42.88359703597522,84.53052467011004,0.0005830666421470376,-64.68563608620349,11.366414846018445
B,Knee,2,0,measurement_noise_to_u,largest_singular_value,44.32171342476086,126.18762178065455,42.0203351083026,,5.069373897361489,14.099086485633663,,84.67215802076937,38.554812573623366,,124.03701996525714,41.87102647213913,
B,Knee,2,1,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011224447195579803,-38.99670077633,171.05783318786987,0.011195706609517159,-39.01896982029696,165.68691818733188,0.00760977142823921,-42.372567755377624,87.07322179474724,0.0006037805470561642,-64.38241766866516,8.093733314841913
B,Knee,2,1,measurement_noise_to_u,largest_singular_value,13.656466567946095,130.06050775316112,42.2829089030125,,5.072308781252237,14.104113674729401,,89.80325797000276,39.06584185422096,,128.44353347683557,42.17424488967744,
B,Knee,2,2,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011226803320254157,-38.994877711823584,171.4151989930263,0.011202185448033782,-39.013944840467325,166.2653259057378,0.008107564159274673,-41.82219211696978,89.71231030779956,0.0006135291248275378,-64.24329632127721,4.267474010959864
B,Knee,2,2,measurement_noise_to_u,largest_singular_value,10.904204429677527,139.7695211919234,42.90824954817963,,5.075244073382193,14.109138654559043,,95.67773257969732,39.616217492628806,,130.5173693786947,42.31336623706542,
B,Knee,2,5,disturbance_to_q_error,siso_abs,0.5003202953826005,0.011233898030359055,-38.98939045031088,172.48774392772725,0.011221620598988328,-38.998888376082384,168.0025703430993,0.01013705904593776,-39.88176047673748,98.46180973593042,0.0005692423398737851,-64.89405609692409,-6.112656901764428
B,Knee,2,5,measurement_noise_to_u,largest_singular_value,8.265958738801809,186.76999295301403,45.426142047973514,,5.084049331530698,14.124195118943987,,119.62789383939992,41.556649132861104,,121.09614643018564,41.66260646141852,
C,Hip,1,0,disturbance_to_q_error,siso_abs,2.1794447537529855,0.011238782531423784,-38.98561464459543,124.13313553151347,0.009975456611536027,-40.02134432017893,164.23619280619775,0.00411895931742694,-47.70424995016149,41.743917690868976,0.00021261260460217544,-73.44821984358242,4.0516549726119
C,Hip,1,0,measurement_noise_to_u,largest_singular_value,4.207849036297403,143.8952407754274,43.16092860435403,,10.726876994576175,20.609466011659315,,141.58253187590378,43.02019348827901,,124.10608882665943,41.875861782907826,
C,Hip,1,1,disturbance_to_q_error,siso_abs,2.2956319242369094,0.011470701569211999,-38.80820038073728,121.65728835270606,0.009983189230892532,-40.01461393553916,164.8502780323991,0.004331125024337489,-47.26798559071749,41.28707128268571,0.00021444830984353769,-73.3735474453429,2.586196792599625
C,Hip,1,1,measurement_noise_to_u,largest_singular_value,4.135626917817708,152.04646811893545,43.639526727778346,,10.735192088302032,20.6161963962991,,148.87538321205184,43.456457847723016,,125.17762547506392,41.95053418114731,
C,Hip,1,2,disturbance_to_q_error,siso_abs,2.4180130845257204,0.011748381476957797,-38.600439202385566,118.94747082570429,0.009990860044575386,-40.00794249466704,165.46486763661648,0.004562809562795811,-46.81535313847554,40.58676050833992,0.0002147201995915732,-73.36254195631382,1.0342150738661553
C,Hip,1,2,measurement_noise_to_u,largest_singular_value,4.135626917817708,161.23890246423497,44.14939666591043,,10.743440720723438,20.622867837171206,,156.83916265814756,43.90909029996497,,125.33633277881955,41.96153967017643,
C,Hip,1,5,disturbance_to_q_error,siso_abs,2.729544792402006,0.013014014801688815,-37.71177407300819,112.94329503664764,0.01001348908567183,-39.988291424178556,167.31162521463,0.005380168596617895,-45.38408229546938,36.642002505266994,0.00020676628911325533,-73.69040533143693,-2.8909228266667926
C,Hip,1,5,measurement_noise_to_u,largest_singular_value,3.9948801939541703,197.2690964907637,45.901181109530434,,10.767774337699537,20.642518907659696,,184.93455096911143,45.34036114297112,,120.69348141923774,41.633676295053306,
C,Knee,2,0,disturbance_to_q_error,siso_abs,0.5003202953826005,0.012227657919479626,-38.253134391657696,170.43063776537534,0.012188435846833266,-38.281040484310125,164.6789766311997,0.007692596170972151,-42.27854131204506,82.14930344606725,0.0005777862150479993,-64.76465647725087,8.82236116738053
C,Knee,2,0,measurement_noise_to_u,largest_singular_value,18.975598765218503,121.54120702998776,41.69447090052877,,5.061139658180185,14.084966429796248,,84.4595859044143,38.53297895596941,,121.52121487537694,41.69304205235383,
C,Knee,2,1,disturbance_to_q_error,siso_abs,0.5003202953826005,0.01223044662293871,-38.25115366820941,170.78760422994947,0.012196128122621375,-38.27556043874842,165.2570604711798,0.008186769487715212,-41.73774875461915,84.4569608856809,0.0005902299294445621,-64.57957544050102,5.760910631164081
C,Knee,2,1,measurement_noise_to_u,largest_singular_value,12.309079138896019,127.37207462178004,42.101484452131395,,5.064333807334526,14.090446475357952,,89.88528000943255,39.07377151339532,,124.13840312190955,41.87812308910364,
C,Knee,2,2,disturbance_to_q_error,siso_abs,0.5003202953826005,0.012233240888514336,-38.249169447105906,171.14465144242192,0.012203822858836075,-38.27008209726968,165.83551122184232,0.008757208275702992,-41.1526864238826,86.83471790883813,0.0005927245128266453,-64.5429422325029,2.431291861883399
C,Knee,2,2,measurement_noise_to_u,largest_singular_value,10.174634027476063,136.21653139604868,42.68459634513424,,5.067528978159141,14.095924816836703,,96.14831822779982,39.65883384413188,,124.6630691580727,41.914756297101775,
C,Knee,2,5,disturbance_to_q_error,siso_abs,0.5003202953826005,0.012241656047150525,-38.24319654006787,172.21627933232125,0.012226913809514475,-38.25366298460216,167.57306804532396,0.01113948676750373,-39.06269636129914,94.58939908090244,0.0005453375886229035,-65.2666913311015,-5.699982505125201
C,Knee,2,5,measurement_noise_to_u,largest_singular_value,7.712906117627992,179.31330571671958,45.07225034059636,,5.07711729020279,14.112343929504213,,122.3041504663008,41.74882390671533,,114.69655135534575,41.191007198503186,
D,Hip,1,0,disturbance_to_q_error,siso_abs,2.1794447537529855,0.010936941678420608,-39.222082075360696,124.47139974338204,0.009700251041113933,-40.26434052218085,164.36213393225276,0.00402213330716438,-47.91087079011887,42.46228520904007,0.00021296670188391322,-73.43376589540787,4.993866385218067
D,Hip,1,0,measurement_noise_to_u,largest_singular_value,4.207849036297403,143.92910721422507,43.16297262983862,,10.725856921697327,20.60863998729434,,141.6358338229082,43.02346287254721,,125.03868709178802,41.94088809872146,
D,Hip,1,1,disturbance_to_q_error,siso_abs,2.2956319242369094,0.011156542336264175,-39.04940764372759,122.00974906656369,0.009707548570529547,-40.25780855674529,164.9752319489478,0.004228279402982003,-47.47672644827581,42.140266314448915,0.00021577500714486836,-73.31997720674721,3.475943004597021
D,Hip,1,1,measurement_noise_to_u,largest_singular_value,4.135626917817708,151.9507322848327,43.634055947680295,,10.733926017647741,20.61517195272991,,148.89508455894375,43.45760721439027,,126.68752139159486,42.054676787382164,
D,Hip,1,2,disturbance_to_q_error,siso_abs,2.376511113811074,0.011418015072190618,-38.84818776089239,120.96461998032939,0.009714787250402443,-40.25133411639041,165.58881797146282,0.00445419668127901,-47.02461219997642,41.59005131613459,0.00021693120221639498,-73.2735595382492,1.7945180759374524
D,Hip,1,2,measurement_noise_to_u,largest_singular_value,4.135626917817708,160.99850314150063,44.136436765306755,,10.741930041903364,20.62164639308478,,156.8505598361065,43.909721462689674,,127.36635574685549,42.101094455880066,
D,Hip,1,5,disturbance_to_q_error,siso_abs,2.729544792402006,0.012595400011227994,-37.99576070796143,113.41207657359901,0.009736138451152777,-40.23226517841904,167.43246733567324,0.005261180468617912,-45.578336016211665,38.19569166899706,0.0002101287868386188,-73.55028893676777,-2.8117860875028615
D,Hip,1,5,measurement_noise_to_u,largest_singular_value,3.9948801939541703,196.32360626115604,45.85945045991365,,10.765538701450803,20.64071533105615,,185.26777350670312,45.355997646454426,,123.372468062228,41.82436505736156,
D,Knee,2,0,disturbance_to_q_error,siso_abs,0.5003202953826005,0.012227657919479626,-38.253134391657696,170.43063776537534,0.012188435846833266,-38.281040484310125,164.6789766311997,0.007692596170972151,-42.27854131204506,82.14930344606725,0.0005777862150479993,-64.76465647725087,8.82236116738053
D,Knee,2,0,measurement_noise_to_u,largest_singular_value,18.975598765218503,121.54120702998776,41.69447090052877,,5.061139658180185,14.084966429796248,,84.4595859044143,38.53297895596941,,121.52121487537694,41.69304205235383,
D,Knee,2,1,disturbance_to_q_error,siso_abs,0.5003202953826005,0.01223044662293871,-38.25115366820941,170.78760422994947,0.012196128122621375,-38.27556043874842,165.2570604711798,0.008186769487715212,-41.73774875461915,84.4569608856809,0.0005902299294445621,-64.57957544050102,5.760910631164081
D,Knee,2,1,measurement_noise_to_u,largest_singular_value,12.309079138896019,127.37207462178004,42.101484452131395,,5.064333807334526,14.090446475357952,,89.88528000943255,39.07377151339532,,124.13840312190955,41.87812308910364,
D,Knee,2,2,disturbance_to_q_error,siso_abs,0.5003202953826005,0.012233240888514336,-38.249169447105906,171.14465144242192,0.012203822858836075,-38.27008209726968,165.83551122184232,0.008757208275702992,-41.1526864238826,86.83471790883813,0.0005927245128266453,-64.5429422325029,2.431291861883399
D,Knee,2,2,measurement_noise_to_u,largest_singular_value,10.174634027476063,136.21653139604868,42.68459634513424,,5.067528978159141,14.095924816836703,,96.14831822779982,39.65883384413188,,124.6630691580727,41.914756297101775,
D,Knee,2,5,disturbance_to_q_error,siso_abs,0.5003202953826005,0.012241656047150525,-38.24319654006787,172.21627933232125,0.012226913809514475,-38.25366298460216,167.57306804532396,0.01113948676750373,-39.06269636129914,94.58939908090244,0.0005453375886229035,-65.2666913311015,-5.699982505125201
D,Knee,2,5,measurement_noise_to_u,largest_singular_value,7.712906117627992,179.31330571671958,45.07225034059636,,5.07711729020279,14.112343929504213,,122.3041504663008,41.74882390671533,,114.69655135534575,41.191007198503186,
