cycle,t_rel,q_h,q_k,dq_h,dq_k,qdd_h,qdd_k,d_k_total,d_h_total,d_k_from_hip_acc,d_h_from_knee_acc,d_k_other_after_row2,d_h_other_after_row2,method,frequency_hz,reference_acceleration_gain
0,0.0,-0.52308,0.77885,0.0,0.0,0.0016537313083302256,-0.0032659710549604545,-0.5526530039738115,-0.09716884048679386,0.00048544195775179766,-0.0009587043402365936,-0.5531384459315632,-0.09621013614655727,PD,0.8,1.0
5,0.01,-0.523080000126,0.778850000771,-2.58196527128e-08,1.36084869101e-07,0.00036694235164190617,-0.0007176019091303524,-0.553030732882405,-0.09642758102336835,0.0001077135158583653,-0.00021064732449982415,-0.5531384463982634,-0.09621693369886852,PD,0.8,1.0
10,0.02,-0.523080000591,0.778850002958,-4.85151340754e-08,2.47042668153e-07,-0.000395963535530465,0.0007906885047169491,-0.5532546807042976,-0.09598885450907435,-0.00011623249356096377,0.0002321014141113409,-0.5531384482107367,-0.09622095592318569,PD,0.8,1.0
15,0.03,-0.523080000308,0.778850004168,1.09440413745e-07,-2.43352579572e-08,-0.0006349863531868881,0.0012589001865814492,-0.5533248428211094,-0.0958526718322279,-0.00018639607071824216,0.000369541876022339,-0.5531384467503911,-0.09622221370825024,PD,0.8,1.0
20,0.04,-0.523079997554,0.778850000475,3.76677930664e-07,-6.1045904972e-07,-0.0003501261013273647,0.00068703313646315,-0.5532412119311092,-0.09601905085758844,-0.00010277721610407742,0.00020167406220039652,-0.5531384347150051,-0.09622072491978884,PD,0.8,1.0
25,0.05,-0.52307999487,0.778849996206,6.84152714676e-08,-1.79713259261e-08,-0.00020641886215425412,0.00034542717757825086,-0.5531990159804955,-0.09611858691603015,-6.0592900561373675e-05,0.00010139787810015122,-0.5531384230799341,-0.0962199847941303,PD,0.8,1.0
30,0.06,-0.523079992917,0.778849993654,1.18279010509e-06,-2.30025244186e-06,0.0011386821648884547,-0.0024055533217272607,-0.5528041618673695,-0.09691902149808662,0.0003342526673294488,-0.0007061343709278134,-0.5531384145346989,-0.09621288712715881,PD,0.8,1.0
35,0.07,-0.523079887743,0.778849781085,2.09439229854e-05,-4.22943913675e-05,0.004459252568920394,-0.008967770430305567,-0.5518289805236417,-0.09882873403823655,0.0013089844072864398,-0.0026324303187506004,-0.5531379649309281,-0.09619630371948595,PD,0.8,1.0
40,0.08,-0.523079336361,0.778848678009,8.56938869955e-05,-0.000170673341716,0.009516787794929225,-0.018601312021521113,-0.5503420136255938,-0.10163488428961287,0.0027935920688501037,-0.005460295937377069,-0.5531356056944439,-0.0961745883522358,PD,0.8,1.0
45,0.09,-0.523077745599,0.778845543629,0.000218000953081,-0.000427136057558,0.015774897406286868,-0.03001247622788511,-0.5484981637797366,-0.10496573776709006,0.004630626143613759,-0.008809981673797651,-0.5531287899233504,-0.09615575609329241,PD,0.8,1.0
50,0.1,-0.523074382415,0.778839032562,0.000424481554649,-0.000816274543196,0.02334297152993712,-0.04329033747593091,-0.5462621503480242,-0.10885297854254272,0.00685220749207871,-0.01270765268281071,-0.5531143578401029,-0.09614532585973201,PD,0.8,1.0
55,0.11,-0.523068561916,0.778827987895,0.000697276300654,-0.00131323348791,0.033204308056034866,-0.060291131195741345,-0.5433423432501078,-0.11384154626756704,0.009746996642846395,-0.01769822916853414,-0.5530893398929542,-0.0961433170990329,PD,0.8,1.0
60,0.12,-0.523059426037,0.778810980432,0.00107560839967,-0.00198991400085,0.0462699837657888,-0.08259638649083936,-0.5394675290925378,-0.12039735152986708,0.013582472521933009,-0.024246024282209788,-0.5530500016144708,-0.09615132724765729,PD,0.8,1.0
65,0.13,-0.523045607519,0.778785653568,0.00160916202441,-0.00293408694465,0.061562301397502565,-0.10787998682418866,-0.534918694094754,-0.12785341945700957,0.018071697976867473,-0.03166831803520331,-0.5529903920716215,-0.09618510142180625,PD,0.8,1.0
70,0.14,-0.523025379685,0.778749083747,0.00232274864321,-0.00417796370348,0.07765274334766029,-0.1330730663306942,-0.530107554774256,-0.1353296706474394,0.022795419778532056,-0.0390643817262637,-0.552902974552788,-0.0962652889211757,PD,0.8,1.0
75,0.15,-0.522996983683,0.778698479377,0.00320385863131,-0.00567597678251,0.09429428829639361,-0.15770709611708225,-0.5250988042802581,-0.14270244869979276,0.027681232166923198,-0.04629683113219052,-0.5527800364471813,-0.09640561756760224,PD,0.8,1.0
80,0.16,-0.522958967026,0.778631854101,0.00422020007835,-0.00734653211981,0.11314338576913606,-0.18520510784720232,-0.5193996133108397,-0.15097667675042548,0.03321554370270441,-0.05437072889276173,-0.5526151570135441,-0.09660594785766374,PD,0.8,1.0
85,0.17,-0.522909676023,0.778546937232,0.00543360502594,-0.00930371804357,0.13573950667687307,-0.21853505743656576,-0.5125504106353458,-0.16102552700829076,0.039850517314484635,-0.06415770399791398,-0.5524009279498304,-0.09686782301037677,PD,0.8,1.0
90,0.18,-0.522846698977,0.778440072573,0.00691148218808,-0.0116656489086,0.16052313076603092,-0.2542385639635833,-0.504997939409523,-0.17185831471051927,0.047128630955204476,-0.07464292154309504,-0.5521265703647275,-0.09721539316742422,PD,0.8,1.0
95,0.19,-0.52276724878,0.778307069975,0.00867023342991,-0.0144408204365,0.18509070736385552,-0.2874025157808751,-0.49743507071378035,-0.18206409295974613,0.054344561612678755,-0.08438437536352872,-0.5517796323264591,-0.09767971759621741,PD,0.8,1.0
