method,frequency_hz,reference_acceleration_gain,direction,actual_qdd_rms,row2_acc_torque_rms,row3_total_residual_rms,other_after_removing_row2_rms,row2_share_of_row2_plus_other_percent
PD,0.8,1.0,hip_to_knee,4.236616235388215,1.3554351969512226,0.7144463731575547,0.9589021048730545,58.56688201338674
PD,0.8,1.0,knee_to_hip,5.002968429541538,1.6000399405977785,1.3550393425544631,1.8410489321711807,46.49807080717058
PD,1.0,1.5625,hip_to_knee,6.832898195730095,2.156487932331612,1.488579102296561,0.9274263261989053,69.92697434328726
PD,1.0,1.5625,knee_to_hip,7.838848461654084,2.47459489662196,1.888086860994591,1.8148442735411876,57.69040656491789
PD,1.2,2.2499999999999996,hip_to_knee,10.149406879517851,3.227057794392546,2.462883194300813,1.0157037261735058,76.06031540424655
PD,1.2,2.2499999999999996,knee_to_hip,11.237420376933658,3.5737570465988693,2.5013291174335657,2.0874028342259394,63.12764736964446
PD,1.4,3.062499999999999,hip_to_knee,14.338754940370743,4.5464388215039815,3.78650782321737,1.0509945575903077,81.22363436221251
PD,1.4,3.062499999999999,knee_to_hip,15.34264470743948,4.866442729506876,3.5254002708235332,2.2574551765833557,68.31151700456778
EID,0.8,1.0,hip_to_knee,4.175335759463252,1.3353278644037812,0.709038908975817,0.8848086097589559,60.14620632307584
EID,0.8,1.0,knee_to_hip,5.229083721020658,1.6720283106629776,1.4198602670791867,1.8455387884784014,47.5336578816396
EID,1.0,1.5625,hip_to_knee,6.101388792971238,1.9257239190200424,1.3356636811791351,0.8025381482308418,70.58427202195007
EID,1.0,1.5625,knee_to_hip,7.927383848049621,2.504408681135844,1.9602593425400128,1.7959072299725323,58.23778375599272
EID,1.2,2.2499999999999996,hip_to_knee,8.109217088577633,2.5685186470150523,1.9820593234286668,0.7924150399904838,76.42277075997606
EID,1.2,2.2499999999999996,knee_to_hip,11.157345935094627,3.547077132117884,2.6325752585676345,1.9766990830675821,64.21471460713019
EID,1.4,3.062499999999999,hip_to_knee,10.295820816197997,3.2646349760582902,2.725622907132312,0.757750192151769,81.16166999270824
EID,1.4,3.062499999999999,knee_to_hip,15.409244847577723,4.875712998585036,3.8423814243111587,2.062564421554348,70.27267293222599
