cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-1.14111375809,0,0,-1.14111375809,0,-1.14111375809,-1.14111375809,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-1.14111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.409502868919,-0.000256499268103,-0.00950286891867,-0.000256499268103,2.38810824752,-1.14111376805,-1.14111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,-2.4,0,0
0,0,2,0.670000016689,0,-1.41444909573,0,0,-1.41444909573,0,-1.41444909573,-1.41444909573,300,0,0.67,-1.51420361146e-05,0.67,0,0,-1.51420361146e-05,0.930611460459,-6.05681444584e-05,-1.41444910769,0.67,0,0,0,5.89155280117e-10,-1.47288807676e-07,0.67,0.669999970172,-1.44722008914e-05,0,0.649860212008,-0.00116598706422,-0.0201397879918,-0.00116598706422,-9.37447672304,-1.41444910769,-1.41444910769,0.67,-1.51420361146e-05,0,-1.51420361146e-05,0,-1.51420361146e-05,2.345,0,0
1,0.002,1,-0.400000482798,0,-3.55599808693,0,0,-3.55599808693,0,-3.55599808693,-3.55599808693,200,0,-0.400000037285,-1.80902511074e-05,-0.400000476042,-0.00023802082709,4.38756485976e-07,0.000219930575983,-3.54046428153,-0.0155336864175,-3.55599796795,0,0,-0.399990447567,0.00477621649504,1.62606894616e-09,-4.06517237053e-07,-0.399990447567,-0.400000071428,-1.58516524891e-05,0.00477621649504,-0.429485477898,-0.000755226266416,-0.0294950303305,-0.00553144276146,-0.0194575549062,-3.55599796795,-3.55599796795,-0.400000037285,-1.80902511074e-05,4.38756485976e-07,0.000219930575983,4.38756485976e-07,0.000219930575983,0,0,0
1,0.002,2,0.669972956181,0,1.00829064846,0,0,1.00829064846,0,1.00829064846,1.00829064846,300,0,0.669999970172,-1.44722008914e-05,0.669972961545,-0.0135192274411,2.70086267475e-05,0.0135047552402,0.930729954507,0.0775606904938,1.008290645,0,0,0.669962502093,-0.0187489534461,1.30085520134e-09,-3.25213799108e-07,0.669962502093,0.669999942858,-1.26813219962e-05,-0.0187489534461,0.68325283771,0.000742834515551,0.0132903356165,0.0194917879616,0.386365940423,1.008290645,1.008290645,0.669999970172,-1.44722008914e-05,2.70086267475e-05,0.0135047552402,2.70086267475e-05,0.0135047552402,0,0,0
2,0.004,1,-0.400042384863,0,-3.55644392967,0,0,-3.55644392967,0,-3.55644392967,-3.55644392967,200,0,-0.400000071428,-1.58516524891e-05,-0.400042374214,-0.0209490863182,4.2302786714e-05,0.0209332346657,-3.54003132749,-0.0164321364349,-3.55644396857,-2.40683391464e-07,-3.00854239328e-05,-0.399980972964,0.00473730138523,2.26373031431e-09,-5.65932581281e-07,-0.399981213648,-0.400000100014,-1.25955090443e-05,0.0047072159613,-0.429481743983,-0.000752893466383,-0.0295005303357,-0.00546010942768,-0.0199755936374,-3.55644396857,-3.55644396857,-0.400000071428,-1.58516524891e-05,4.2302786714e-05,0.0209332346657,4.2302786714e-05,0.0209332346657,-1.94953547085e-05,0,0
2,0.004,2,0.669997692108,0,1.00769948959,0,0,1.00769948959,0,1.00769948959,1.00769948959,300,0,0.669999942858,-1.26813219962e-05,0.669997682137,0.0123602961719,2.26072047693e-06,-0.0123729774939,0.930817485105,0.0768992239745,1.00769953466,1.25513424119e-07,2.09189040199e-05,0.66992654965,-0.0179762215652,1.81098425145e-09,-4.52746052591e-07,0.669926675163,0.669999919989,-1.00764072394e-05,-0.0179553026612,0.683253812213,0.000744682641132,0.0133271370493,0.0186999853023,0.381481289829,1.00769953466,1.00769953466,0.669999942858,-1.26813219962e-05,2.26072047693e-06,-0.0123729774939,2.26072047693e-06,-0.0123729774939,1.71744202004e-05,0,0
3,0.006,1,-0.400125294924,0,-3.55629634857,0,0,-3.55629634857,0,-3.55629634857,-3.55629634857,200,0,-0.400000100014,-1.25955090443e-05,-0.40012528579,-0.0414557876675,0.000125185775436,0.0414431921585,-3.53974385925,-0.0166725683787,-3.55629634732,-1.70131648955e-06,-0.000183120674892,-0.399971879118,0.00466726477402,2.67268651655e-09,-6.68171625637e-07,-0.399973580435,-0.400000121365,-8.67069328498e-06,0.00448414409913,-0.429478540813,-0.00074955652902,-0.0295049603786,-0.00523370062815,-0.0197249426146,-3.55629634732,-3.55629634732,-0.400000100014,-1.25955090443e-05,0.000125185775436,0.0414431921585,0.000125185775436,0.0414431921585,-0.000120080303872,0,0
3,0.006,2,0.670073330402,0,1.00638771057,0,0,1.00638771057,0,1.00638771057,1.00638771057,300,0,0.669999919989,-1.00764072394e-05,0.67007334477,0.0378313164172,-7.34247816483e-05,-0.0378413928244,0.930876663004,0.0756278123117,1.00638765217,9.75086844359e-07,0.000141762921272,0.669892290483,-0.0171923400816,2.13814921324e-09,-5.34537295848e-07,0.66989326557,0.669999902908,-6.93655463087e-06,-0.0170505771603,0.683253213071,0.000747254626009,0.0133599475004,0.0177978317863,0.37322729812,1.00638765217,1.00638765217,0.669999919989,-1.00764072394e-05,-7.34247816483e-05,-0.0378413928244,-7.34247816483e-05,-0.0378413928244,0.000116823140973,0,0
4,0.008,1,-0.400248795748,0,-3.55490088463,0,0,-3.55490088463,0,-3.55490088463,-3.55490088463,200,0,-0.400000121365,-8.67069328498e-06,-0.400248795642,-0.0617549261881,0.000248674277395,0.0617462554948,-3.53958758923,-0.0156169883393,-3.55490087035,-5.29120551615e-06,-0.000453266645245,-0.399964691046,0.0044446942139,2.87619544848e-09,-7.19048855813e-07,-0.399969982252,-0.400000134461,-4.39119047184e-06,0.00399142756866,-0.429475731458,-0.000745560945629,-0.0295057492067,-0.00473698851429,-0.0179020046101,-3.55490087035,-3.55490087035,-0.400000121365,-8.67069328498e-06,0.000248674277395,0.0617462554948,0.000248674277395,0.0617462554948,-0.000303707220244,0,0
4,0.008,2,0.670199096203,0,1.00389635563,0,0,1.00389635563,0,1.00389635563,1.00389635563,300,0,0.669999902908,-6.93655463087e-06,0.67019911958,0.0628874046349,-0.000199216671251,-0.0628943411895,0.930910124223,0.0732839564385,1.0038964086,3.11653551003e-06,0.000358455237157,0.669860657325,-0.016304122564,2.30095642539e-09,-5.75239095192e-07,0.66986377386,0.669999892431,-3.51295237916e-06,-0.0159456673269,0.683251097304,0.000750274553716,0.0133873234439,0.0166959418806,0.35938719886,1.0038964086,1.0038964086,0.669999902908,-6.93655463087e-06,-0.000199216671251,-0.0628943411895,-0.000199216671251,-0.0628943411895,0.00029767206401,0,0
