cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-2.34111380577,0,0,-2.34111380577,0,-2.34111380577,-2.34111380577,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-2.34111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.419496622822,-0.000506343115698,-0.0194966228225,-0.000506343115698,1.19417975596,-2.34111376805,-2.34111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,-1.2,0,0
0,0,2,0.670000016689,0,-0.241949111223,0,0,-0.241949111223,0,-0.241949111223,-0.241949111223,300,0,0.67,-1.51420361146e-05,0.67,0,0,-1.51420361146e-05,0.930611460459,-6.05681444584e-05,-0.241949107686,0.67,0,0,0,5.89155280117e-10,-1.47288807676e-07,0.67,0.669999970172,-1.44722008914e-05,0,0.666555696142,-0.000211959399452,-0.0034443038584,-0.000211959399452,-4.68725905545,-0.241949107686,-0.241949107686,0.67,-1.51420361146e-05,0,-1.51420361146e-05,0,-1.51420361146e-05,1.1725,0,0
1,0.002,1,-0.400020539761,0,-3.54826140404,0,0,-3.54826140404,0,-3.54826140404,-3.54826140404,200,0,-0.400000037285,-1.80902511074e-05,-0.400020546217,-0.010273108682,2.05089321959e-05,0.0102550184309,-3.54046428153,-0.00779702979212,-3.54826131132,0,0,-0.399995223281,0.00238835951192,1.62606894616e-09,-4.06517237053e-07,-0.399995223281,-0.400000071428,-1.58516524891e-05,0.00238835951192,-0.429485477898,-0.000755226266416,-0.0294902546165,-0.00314358577833,-0.00931033664912,-3.54826131132,-3.54826131132,-0.400000037285,-1.80902511074e-05,2.05089321959e-05,0.0102550184309,2.05089321959e-05,0.0102550184309,0,0,0
1,0.002,2,0.670011162758,0,0.969480454922,0,0,0.969480454922,0,0.969480454922,0.969480454922,300,0,0.669999970172,-1.44722008914e-05,0.670011162773,0.00558138625921,-1.11926006531e-05,-0.0055958584601,0.930729954507,0.0387505282061,0.969480482714,0,0,0.669981250964,-0.00937451811089,1.30085520134e-09,-3.25213799108e-07,0.669981250964,0.669999942858,-1.26813219962e-05,-0.00937451811089,0.68325283771,0.000742834515551,0.0132715867458,0.0101173526264,0.19340115711,0.969480482714,0.969480482714,0.669999970172,-1.44722008914e-05,-1.11926006531e-05,-0.0055958584601,-1.11926006531e-05,-0.0055958584601,0,0,0
2,0.004,1,-0.400081902742,0,-3.5480132103,0,0,-3.5480132103,0,-3.5480132103,-3.5480132103,200,0,-0.400000071428,-1.58516524891e-05,-0.400081911402,-0.0306825924557,8.18399746988e-05,0.0306667408032,-3.54003132749,-0.00800644990236,-3.54801316349,-6.0775047331e-07,-7.59688091637e-05,-0.399990483803,0.00236973883862,2.26373031431e-09,-5.65932581281e-07,-0.399991091554,-0.400000100014,-1.25955090443e-05,0.00229377002945,-0.429481701355,-0.000752892400687,-0.0294906098017,-0.00304666243014,-0.00903329473591,-3.54801316349,-3.54801316349,-0.400000071428,-1.58516524891e-05,8.18399746988e-05,0.0306667408032,8.18399746988e-05,0.0306667408032,-2.46138941691e-05,0,0
2,0.004,2,0.670072495937,0,0.968995332718,0,0,0.968995332718,0,0.968995332718,0.968995332718,300,0,0.669999942858,-1.26813219962e-05,0.670072500196,0.0306687118747,-7.25573383293e-05,-0.0306813931967,0.930817485105,0.0382024303122,0.968995357822,3.58941704883e-07,5.98236174804e-05,0.669963275532,-0.00898771579667,1.81098425145e-09,-4.52746052591e-07,0.669963634474,0.669999919989,-1.00764072394e-05,-0.00892789217919,0.683253707082,0.000744676633667,0.0132900726082,0.00967256881286,0.189996519839,0.968995357822,0.968995357822,0.669999942858,-1.26813219962e-05,-7.25573383293e-05,-0.0306813931967,-7.25573383293e-05,-0.0306813931967,2.45575949757e-05,0,0
3,0.006,1,-0.400183677673,0,-3.54699921608,0,0,-3.54699921608,0,-3.54699921608,-3.54699921608,200,0,-0.400000100014,-1.25955090443e-05,-0.400183689499,-0.0508890482341,0.000183589484553,0.050876452725,-3.53974385925,-0.00734513384465,-3.54699922113,-2.76919432319e-06,-0.0002715479198,-0.399986540147,0.00227570343998,2.67268651655e-09,-6.68171625637e-07,-0.399989309341,-0.400000121365,-8.67069328498e-06,0.00200415552018,-0.429478793225,-0.000749562839314,-0.0294894838838,-0.0027537183595,-0.00776392292296,-3.54699922113,-3.54699922113,-0.400000100014,-1.25955090443e-05,0.000183589484553,0.050876452725,0.000183589484553,0.050876452725,-8.97719589094e-05,0,0
3,0.006,2,0.670183241367,0,0.967690825462,0,0,0.967690825462,0,0.967690825462,0.967690825462,300,0,0.669999919989,-1.00764072394e-05,0.670183213681,0.0553567423314,-0.000183293692283,-0.0553668187387,0.930876663004,0.0369038579886,0.967690813803,1.65815153932e-06,0.000217013561347,0.669946538676,-0.00854789913952,2.13814921324e-09,-5.34537295848e-07,0.669948196827,0.669999902908,-6.93655463087e-06,-0.00833088557817,0.68325359918,0.000747276689436,0.0133054023533,0.0090781622676,0.182675388237,0.967690813803,0.967690813803,0.669999919989,-1.00764072394e-05,-0.000183293692283,-0.0553668187387,-0.000183293692283,-0.0553668187387,8.97071897324e-05,0,0
4,0.008,1,-0.400325477123,0,-3.54453349113,0,0,-3.54453349113,0,-3.54453349113,-3.54453349113,200,0,-0.400000121365,-8.67069328498e-06,-0.400325465647,-0.0708880739729,0.000325344282083,0.0708794032796,-3.53958758923,-0.00514217736454,-3.54453348466,-7.35124227417e-06,-0.000580760704731,-0.399985332086,0.00198862767434,2.87619544848e-09,-7.19048855813e-07,-0.399992683328,-0.400000134461,-4.39119047184e-06,0.00140786696961,-0.42947662611,-0.000745583311917,-0.0294839427818,-0.00215345028152,-0.00466515939124,-3.54453348466,-3.54453348466,-0.400000121365,-8.67069328498e-06,0.000325344282083,0.0708794032796,0.000325344282083,0.0708794032796,-0.000196281938242,0,0
4,0.008,2,0.670342504978,0,0.965103507042,0,0,0.965103507042,0,0.965103507042,0.965103507042,300,0,0.669999902908,-6.93655463087e-06,0.670342487912,0.079637115572,-0.00034258500376,-0.0796440521267,0.930910124223,0.0343881349822,0.9651035106,4.4451907539e-06,0.000467423801758,0.669932265758,-0.00796553480169,2.30095642539e-09,-5.75239095192e-07,0.669936710948,0.669999892431,-3.51295237916e-06,-0.00749811099994,0.683252562854,0.000750358299411,0.0133158519058,0.00824846929935,0.169211933943,0.9651035106,0.9651035106,0.669999902908,-6.93655463087e-06,-0.00034258500376,-0.0796440521267,-0.00034258500376,-0.0796440521267,0.000194748604523,0,0
