cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
0,0,1,-0.40000000596,-1.89275451703e-05,0,120,3,-5.74978912455e-05,0,-5.74978912455e-05,-5.74978912455e-05,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0.829999983311,1.51420363181e-05,0,70,4,5.93998942378e-05,0,5.93998942378e-05,5.93998942378e-05,300,0,0.83,1.51420361176e-05,0.83,0,0,1.51420361176e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.002,1,-0.400000035763,-1.80902516149e-05,0,120,3,-5.70113260763e-05,0,-5.70113260763e-05,-5.70113260763e-05,200,0,-0.400000037285,-1.80902511074e-05,-0.400000000957,-4.7869234303e-07,-3.63277835591e-08,-1.76115587643e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.002,2,0.830000042915,1.44722007462e-05,0,70,4,5.71239278855e-05,0,5.71239278855e-05,5.71239278855e-05,300,0,0.830000029828,1.44722008942e-05,0.830000001821,9.10374202022e-07,2.8007386188e-08,1.35618266922e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.004,1,-0.400000065565,-1.58516522788e-05,0,120,3,-5.22570026499e-05,0,-5.22570026499e-05,-5.22570026499e-05,200,0,-0.400000071428,-1.58516524891e-05,-0.400000002841,-9.41629980392e-07,-6.85869320227e-08,-1.49100225087e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.004,2,0.830000042915,1.26813220049e-05,0,70,4,4.62361437873e-05,0,4.62361437873e-05,4.62361437873e-05,300,0,0.830000057142,1.26813219984e-05,0.830000005379,1.77917051661e-06,5.17629719088e-08,1.09021514818e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.006,1,-0.400000095367,-1.25955093608e-05,0,120,3,-4.45513348758e-05,0,-4.45513348758e-05,-4.45513348758e-05,200,0,-0.400000100014,-1.25955090443e-05,-0.400000005519,-1.33901470624e-06,-9.44955161897e-08,-1.12564943381e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.006,2,0.83000010252,1.00764073068e-05,0,70,4,3.68010964126e-05,0,3.68010964126e-05,3.68010964126e-05,300,0,0.830000080011,1.00764072409e-05,0.830000010357,2.48898448948e-06,6.96542938883e-08,7.58742275143e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.008,1,-0.40000012517,-8.6706932052e-06,0,120,3,-3.49831411685e-05,0,-3.49831411685e-05,-3.49831411685e-05,200,0,-0.400000121365,-8.67069328498e-06,-0.400000008844,-1.66267532212e-06,-1.12520581852e-07,-7.00801796286e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.008,2,0.83000010252,6.93655465511e-06,0,70,4,2.15739458288e-05,0,2.15739458288e-05,2.15739458288e-05,300,0,0.830000097092,6.93655463142e-06,0.830000016455,3.04919756913e-06,8.06362316919e-08,3.8873570623e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.01,1,-0.40000012517,-4.39119048679e-06,0,120,3,-2.10263530141e-05,0,-2.10263530141e-05,-2.10263530141e-05,200,0,-0.400000134461,-4.39119047184e-06,-0.400000012613,-1.88466233438e-06,-1.21847931245e-07,-2.50652813746e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.01,2,0.83000010252,3.51295238943e-06,0,70,4,6.05827147e-06,0,6.05827147e-06,6.05827147e-06,300,0,0.830000107569,3.51295237871e-06,0.830000023227,3.38600376172e-06,8.4341563511e-08,1.26948616986e-07,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.012,1,-0.40000012517,-3.60986156522e-08,0,120,3,-7.18573102792e-06,0,-7.18573102792e-06,-7.18573102792e-06,200,0,-0.40000013888,-3.60986144528e-08,-0.400000016582,-1.98436215358e-06,-1.22297677374e-07,1.94826353913e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.012,2,0.83000010252,2.88788903902e-08,0,70,4,-8.75716246656e-06,0,-8.75716246656e-06,-8.75716246656e-06,300,0,0.830000111104,2.88788905447e-08,0.830000030195,3.4838538613e-06,8.09086321274e-08,-3.45497497075e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.014,1,-0.40000012517,4.15037175117e-06,0,120,3,5.79105545301e-06,0,5.79105545301e-06,5.79105545301e-06,200,0,-0.400000134719,4.15037152883e-06,-0.400000020514,-1.96619192589e-06,-1.1420440732e-07,6.11656345472e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.014,2,0.83000010252,-3.32029730998e-06,0,70,4,-2.21075013145e-05,0,-2.21075013145e-05,-2.21075013145e-05,300,0,0.830000107775,-3.32029722625e-06,0.830000036905,3.35484287323e-06,7.08702373453e-08,-6.67514009948e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.016,1,-0.40000012517,7.95889627625e-06,0,120,3,1.72819324224e-05,0,1.72819324224e-05,1.72819324224e-05,200,0,-0.400000122531,7.95889645085e-06,-0.400000024196,-1.84070344786e-06,-9.83351392536e-08,9.79959989871e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.016,2,0.83000010252,-6.36711729385e-06,0,70,4,-3.33891904806e-05,0,-3.33891904806e-05,-3.33891904806e-05,300,0,0.830000098025,-6.36711716582e-06,0.83000004295,3.02265234862e-06,5.50746438455e-08,-9.38976951444e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.018,1,-0.400000095367,1.12150401037e-05,0,120,3,3.03642102021e-05,0,3.03642102021e-05,3.03642102021e-05,200,0,-0.400000103252,1.12150398956e-05,-0.400000027443,-1.62335739336e-06,-7.58097294384e-08,1.2838397289e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.018,2,0.83000010252,-8.97203153727e-06,0,70,4,-4.21511327807e-05,0,-4.21511327807e-05,-4.21511327807e-05,300,0,0.830000082602,-8.97203192333e-06,0.83000004799,2.52002288024e-06,3.46116421079e-08,-1.14920548036e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.02,1,-0.400000065565,1.3779253095e-05,0,120,3,4.10279293113e-05,0,4.10279293113e-05,4.10279293113e-05,200,0,-0.400000078133,1.37792528584e-05,-0.400000030075,-1.31631902092e-06,-4.8057689106e-08,1.50955718793e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.02,2,0.830000042915,-1.10234022941e-05,0,70,4,-5.22073984763e-05,0,-5.22073984763e-05,-5.22073984763e-05,300,0,0.830000062506,-1.10234022949e-05,0.830000051738,1.87404566631e-06,1.0768028913e-08,-1.28974479612e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.022,1,-0.400000035763,1.55468733283e-05,0,120,3,4.89635500468e-05,0,4.89635500468e-05,4.89635500468e-05,200,0,-0.400000048667,1.55468735856e-05,-0.40000003193,-9.27604448908e-07,-1.6736707853e-08,1.64744780345e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.022,2,0.830000042915,-1.24374992083e-05,0,70,4,-5.48370555961e-05,0,-5.48370555961e-05,-5.48370555961e-05,300,0,0.830000038934,-1.24374988775e-05,0.830000053897,1.07957780847e-06,-1.49637446878e-08,-1.3517076686e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.024,1,-0.40000000596,1.64481280081e-05,0,120,3,5.40702335232e-05,0,5.40702335232e-05,5.40702335232e-05,200,0,-0.400000016524,1.64481275747e-05,-0.400000032924,-4.96745091942e-07,1.64001512371e-08,1.69448726667e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.024,2,0.830000042915,-1.31585020426e-05,0,70,4,-5.43844783701e-05,0,-5.43844783701e-05,-5.43844783701e-05,300,0,0.830000013219,-1.31585020693e-05,0.830000054372,2.37131079407e-07,-4.11527020239e-08,-1.33956331487e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.026,1,-0.399999976158,1.64481280081e-05,0,120,3,5.63125403783e-05,0,5.63125403783e-05,5.63125403783e-05,200,0,-0.399999983476,1.64481275747e-05,-0.40000003302,-4.82294589581e-08,4.95441402903e-08,1.64963570337e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.026,2,0.829999983311,-1.31585020426e-05,0,70,4,-5.50999968391e-05,0,-5.50999968391e-05,-5.50999968391e-05,300,0,0.829999986781,-1.31585020693e-05,0.83000005316,-6.05865301326e-07,-6.63789955224e-08,-1.2552636768e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
