cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-3.54111385345,0,0,-3.54111385345,0,-3.54111385345,-3.54111385345,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-3.54111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.429490376726,-0.000756186963293,-0.0294903767263,-0.000756186963293,0.00025126439496,-3.54111376805,-3.54111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,0,0,0
0,0,2,0.670000016689,0,0.93055087328,0,0,0.93055087328,0,0.93055087328,0.93055087328,300,0,0.67,-1.51420361146e-05,0.67,0,0,-1.51420361146e-05,0.930611460459,-6.05681444584e-05,0.930550892314,0.67,0,0,0,5.89155280117e-10,-1.47288807676e-07,0.67,0.669999970172,-1.44722008914e-05,0,0.683251180275,0.000742068265316,0.013251180275,0.000742068265316,-4.13878549394e-05,0.930550892314,0.930550892314,0.67,-1.51420361146e-05,0,-1.51420361146e-05,0,-1.51420361146e-05,0,0,0
1,0.002,1,-0.400040626526,0,-3.54052472115,0,0,-3.54052472115,0,-3.54052472115,-3.54052472115,200,0,-0.400000037285,-1.80902511074e-05,-0.400040616393,-0.020308196537,4.05791079057e-05,0.0202901062859,-3.54046428153,-6.03731667907e-05,-3.5405246547,0,0,-0.399999998995,5.0252878992e-07,1.62606894616e-09,-4.06517237053e-07,-0.399999998995,-0.400000071428,-1.58516524891e-05,5.0252878992e-07,-0.429485477898,-0.000755226266416,-0.0294854789026,-0.000755728795206,0.000836881527596,-3.5405246547,-3.5405246547,-0.400000037285,-1.80902511074e-05,4.05791079057e-05,0.0202901062859,4.05791079057e-05,0.0202901062859,0,0,0
1,0.002,2,0.670049369335,0,0.930670320988,0,0,0.930670320988,0,0.930670320988,0.930670320988,300,0,0.669999970172,-1.44722008914e-05,0.670049364,0.0246819999595,-4.93938280537e-05,-0.0246964721604,0.930729954507,-5.9634081548e-05,0.930670320426,0,0,0.669999999834,-8.27757098788e-08,1.30085520134e-09,-3.25213799108e-07,0.669999999834,0.669999942858,-1.26813219962e-05,-8.27757098788e-08,0.68325283771,0.000742834515551,0.0132528378752,0.000742917291261,0.000436375105506,0.930670320426,0.930670320426,0.669999970172,-1.44722008914e-05,-4.93938280537e-05,-0.0246964721604,-4.93938280537e-05,-0.0246964721604,0,0,0
2,0.004,1,-0.400121450424,0,-3.52693462372,0,0,-3.52693462372,0,-3.52693462372,-3.52693462372,200,0,-0.400000071428,-1.58516524891e-05,-0.40012144844,-0.0404160233911,0.000121377012279,0.0404001717386,-3.54003132749,0.0109033994364,-3.52693458855,0,-0.00365556583184,-0.399999994642,2.17629184511e-06,2.26373031431e-09,-5.65932581281e-07,-0.399999994642,-0.400000100014,-1.25955090443e-05,-0.00365338954,-0.42946363993,-0.000752440865062,-0.0294636452881,0.00290094867493,0.0179935249957,-3.52693458855,-3.52693458855,-0.400000071428,-1.58516524891e-05,0.000121377012279,0.0404001717386,0.000121377012279,0.0404001717386,-0.0021933394991,0,0
2,0.004,2,0.670147299767,0,0.909434199333,0,0,0.909434199333,0,0.909434199333,0.909434199333,300,0,0.669999942858,-1.26813219962e-05,0.670147317842,0.0489769212797,-0.00014737498454,-0.0489896026017,0.930817485105,-0.0178290837075,0.909434181483,0,0.00444277489234,0.670000001414,7.89974501132e-07,1.81098425145e-09,-4.52746052591e-07,0.670000001414,0.669999919989,-1.00764072394e-05,0.00444356486684,0.683203447448,0.000741804654563,0.0132034460333,-0.00370176021228,-0.102221862035,0.909434181483,0.909434181483,0.669999942858,-1.26813219962e-05,-0.00014737498454,-0.0489896026017,-0.00014737498454,-0.0489896026017,0.00355421991387,0,0
3,0.006,1,-0.400241822004,0,-3.50293564796,0,0,-3.50293564796,0,-3.50293564796,-3.50293564796,200,0,-0.400000100014,-1.25955090443e-05,-0.400241818734,-0.0601851470933,0.000241718719853,0.0601725515843,-3.53974385925,0.0326184449498,-3.50293571589,0,-0.00698283067638,-0.400007229447,-0.00361740249,2.67268651655e-09,-6.68171625637e-07,-0.400007229447,-0.400000121365,-8.67069328498e-06,-0.0106002331664,-0.429444648512,-0.000748709221482,-0.0294374190644,0.0098515239449,0.0488946669101,-3.50293571589,-3.50293571589,-0.400000100014,-1.25955090443e-05,0.000241718719853,0.0601725515843,0.000241718719853,0.0601725515843,-0.00418969840583,0,0
3,0.006,2,0.670292437077,0,0.872671365738,0,0,0.872671365738,0,0.872671365738,0.872671365738,300,0,0.669999919989,-1.00764072394e-05,0.670292465899,0.0725740281079,-0.000292545910046,-0.0725841045152,0.930876663004,-0.0514370935367,0.872671344152,0,0.00846028164354,0.670008479657,0.00423912114277,2.13814921324e-09,-5.34537295848e-07,0.670008479657,0.669999902908,-6.93655463087e-06,0.0126994027863,0.683158502299,0.00074184258193,0.0131500226424,-0.0119575602044,-0.282343813263,0.872671344152,0.872671344152,0.669999919989,-1.00764072394e-05,-0.000292545910046,-0.0725841045152,-0.000292545910046,-0.0725841045152,0.00676822531483,0,0
4,0.008,1,-0.400400847197,0,-3.47008776665,0,0,-3.47008776665,0,-3.47008776665,-3.47008776665,200,0,-0.400000121365,-8.67069328498e-06,-0.400400844569,-0.0795129175896,0.000400723204615,0.0795042468963,-3.53958758923,0.063725578589,-3.4700878701,0,-0.00962356757449,-0.400028234335,-0.0105024438326,2.87619544848e-09,-7.19048855813e-07,-0.400028234335,-0.400000134461,-4.39119047184e-06,-0.020126011407,-0.429430172988,-0.000744421983871,-0.029401938653,0.0193815894232,0.0913790625268,-3.4700878701,-3.4700878701,-0.400000121365,-8.67069328498e-06,0.000400723204615,0.0795042468963,0.000400723204615,0.0795042468963,-0.00577414054469,0,0
4,0.008,2,0.670482993126,0,0.824251651764,0,0,0.824251651764,0,0.824251651764,0.824251651764,300,0,0.669999902908,-6.93655463087e-06,0.67048296518,0.0952496407125,-0.000483062271805,-0.0952565772671,0.930910124223,-0.0973596822548,0.82425167339,0,0.0116234607222,0.670032749087,0.0121347151598,2.30095642539e-09,-5.75239095192e-07,0.670032749087,0.669999892431,-3.51295237916e-06,0.023758175882,0.683122928721,0.000742950634665,0.013090179634,-0.0230152252474,-0.520557505353,0.82425167339,0.82425167339,0.669999902908,-6.93655463087e-06,-0.000483062271805,-0.0952565772671,-0.000483062271805,-0.0952565772671,0.0092987685778,0,0
