cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-5.94111394882,0,0,-5.94111394882,0,-5.94111394882,-5.94111394882,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-5.94111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.449477884534,-0.00125587465848,-0.0494778845339,-0.00125587465848,-2.38760571873,-5.94111376805,-5.94111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,2.4,0,0
0,0,2,0.670000016689,0,3.27555084229,0,0,3.27555084229,0,3.27555084229,3.27555084229,300,0,0.67,-1.51420361146e-05,0.67,0,0,-1.51420361146e-05,0.930611460459,-6.05681444584e-05,3.27555089231,0.67,0,0,0,5.89155280117e-10,-1.47288807676e-07,0.67,0.669999970172,-1.44722008914e-05,0,0.716642148542,0.00265012359485,0.0466421485419,0.00265012359485,9.37439394733,3.27555089231,3.27555089231,0.67,-1.51420361146e-05,0,-1.51420361146e-05,0,-1.51420361146e-05,-2.345,0,0
1,0.002,1,-0.400080770254,0,-3.52505135536,0,0,-3.52505135536,0,-3.52505135536,-3.52505135536,200,0,-0.400000037285,-1.80902511074e-05,-0.400080756744,-0.0403783722469,8.07194593255e-05,0.0403602819958,-3.54046428153,0.0154129400839,-3.52505134144,0,0,-0.400009550423,-0.00477521143746,1.62606894616e-09,-4.06517237053e-07,-0.400009550423,-0.400000071428,-1.58516524891e-05,-0.00477521143746,-0.429485477898,-0.000755226266416,-0.0294759274746,0.00401998517105,0.0211313176399,-3.52505134144,-3.52505134144,-0.400000037285,-1.80902511074e-05,8.07194593255e-05,0.0403602819958,8.07194593255e-05,0.0403602819958,-0,0,0
1,0.002,2,0.67012578249,0,0.853049993515,0,0,0.853049993515,0,0.853049993515,0.853049993515,300,0,0.669999970172,-1.44722008914e-05,0.670125766455,0.0628832273601,-0.000125796282855,-0.062897699561,0.930729954507,-0.0776799586569,0.853049995851,0,0,0.670037497576,0.0187487878947,1.30085520134e-09,-3.25213799108e-07,0.670037497576,0.669999942858,-1.26813219962e-05,0.0187487878947,0.68325283771,0.000742834515551,0.0132153401338,-0.0180059533791,-0.385493184981,0.853049995851,0.853049995851,0.669999970172,-1.44722008914e-05,-0.000125796282855,-0.062897699561,-0.000125796282855,-0.062897699561,-0,0,0
2,0.004,1,-0.400200515985,0,-3.50238156319,0,0,-3.50238156319,0,-3.50238156319,-3.50238156319,200,0,-0.400000071428,-1.58516524891e-05,-0.400200522062,-0.0598826587451,0.000200450634407,0.0598668070926,-3.54003132749,0.0418026116224,-3.50238146854,-5.12685515656e-05,-0.0064085689457,-0.40001901632,-0.00473294880218,2.26373031431e-09,-5.65932581281e-07,-0.400070284872,-0.400000100014,-1.25955090443e-05,-0.0111415177479,-0.429516491,-0.000753762141801,-0.029446206128,0.0103877556061,0.0509607765182,-3.50238146854,-3.50238146854,-0.400000071428,-1.58516524891e-05,0.000200450634407,0.0598668070926,0.000200450634407,0.0598668070926,0.00415275267681,0,0
2,0.004,2,0.67029696703,0,0.825118660927,0,0,0.825118660927,0,0.825118660927,0.825118660927,300,0,0.669999942858,-1.26813219962e-05,0.670296951891,0.085592718091,-0.000297009032964,-0.085605399413,0.930817485105,-0.112221013889,0.825118658681,4.76651946227e-05,0.00794419910379,0.670073453179,0.0179778015247,1.81098425145e-09,-4.52746052591e-07,0.670121118373,0.669999919989,-1.00764072394e-05,0.0259220006285,0.683346927618,0.000750003521429,0.0132258092444,-0.0251719971071,-0.527347739219,0.825118658681,0.825118658681,0.669999942858,-1.26813219962e-05,-0.000297009032964,-0.085605399413,-0.000297009032964,-0.085605399413,-0.00652218746421,0,0
3,0.006,1,-0.400358498096,0,-3.46172261238,0,0,-3.46172261238,0,-3.46172261238,-3.46172261238,200,0,-0.400000100014,-1.25955090443e-05,-0.400358499895,-0.0789889167549,0.000358399881303,0.0789763212458,-3.53974385925,0.0842631907384,-3.46172261166,-9.88976319126e-05,-0.00941426227406,-0.400092364064,-0.0110395961948,2.67268651655e-09,-6.68171625637e-07,-0.400191261696,-0.400000121365,-8.67069328498e-06,-0.0204538584689,-0.429531524561,-0.000750881122703,-0.0293402628642,0.0197029773462,0.102551865776,-3.46172261166,-3.46172261166,-0.400000100014,-1.25955090443e-05,0.000358399881303,0.0789763212458,0.000358399881303,0.0789763212458,0.00624194315591,0,0
3,0.006,2,0.670511960983,0,0.775858223438,0,0,0.775858223438,0,0.775858223438,0.775858223438,300,0,0.669999919989,-1.00764072394e-05,0.670511968271,0.107508189871,-0.000512048281997,-0.107518266278,0.930876663004,-0.164595595423,0.775858194989,9.97166188803e-05,0.0115351490536,0.670170852984,0.02486730515,2.13814921324e-09,-5.34537295848e-07,0.670270569603,0.669999902908,-6.93655463087e-06,0.0364024542037,0.683391247354,0.000755142299362,0.0131206777515,-0.0356473119043,-0.768885585731,0.775858194989,0.775858194989,0.669999919989,-1.00764072394e-05,-0.000512048281997,-0.107518266278,-0.000512048281997,-0.107518266278,-0.00957712740899,0,0
4,0.008,1,-0.400553584099,0,-3.40866994858,0,0,-3.40866994858,0,-3.40866994858,-3.40866994858,200,0,-0.400000121365,-8.67069328498e-06,-0.400553575369,-0.0975377365389,0.000553454003965,0.0975290658456,-3.53958758923,0.138586155224,-3.40866988364,-0.000130301266577,-0.0114777367189,-0.400231759206,-0.0202487547374,2.87619544848e-09,-7.19048855813e-07,-0.400362060472,-0.400000134461,-4.39119047184e-06,-0.0317264914562,-0.429542124603,-0.000747220774247,-0.0291800641307,0.030979270682,0.169195649935,-3.40866988364,-3.40866988364,-0.400000121365,-8.67069328498e-06,0.000553454003965,0.0975290658456,0.000553454003965,0.0975290658456,0.00766844963079,0,0
4,0.008,2,0.670768558979,0,0.713616013527,0,0,0.713616013527,0,0.713616013527,0.713616013527,300,0,0.669999902908,-6.93655463087e-06,0.670768582288,0.128307008579,-0.000768679379489,-0.128313945134,0.930910124223,-0.228947277859,0.713616028523,0.00014032694261,0.0139525473255,0.670340298969,0.0348646830322,2.30095642539e-09,-5.75239095192e-07,0.670480625911,0.669999892431,-3.51295237916e-06,0.0488172303577,0.683421268133,0.000759998601091,0.0129406422221,-0.0480572317566,-1.07115335929,0.713616028523,0.713616028523,0.669999902908,-6.93655463087e-06,-0.000768679379489,-0.128313945134,-0.000768679379489,-0.128313945134,-0.0116531821595,0,0
