method,repeat,log_path,window,n,dt_median,d_k_total_rms,d_k_total_peak_abs,d_k_total_mean,d_k_config_rms,d_k_config_peak_abs,d_k_config_mean,d_k_from_hip_acc_rms,d_k_from_hip_acc_peak_abs,d_k_from_hip_acc_mean,d_k_from_hip_vel_rms,d_k_from_hip_vel_peak_abs,d_k_from_hip_vel_mean,d_k_from_hip_dynamic_rms,d_k_from_hip_dynamic_peak_abs,d_k_from_hip_dynamic_mean,d_k_self_acc_err_rms,d_k_self_acc_err_peak_abs,d_k_self_acc_err_mean,d_k_vel_residual_rms,d_k_vel_residual_peak_abs,d_k_vel_residual_mean,d_k_recon_err_rms,d_k_recon_err_peak_abs,d_k_recon_err_mean,d_h_total_rms,d_h_total_peak_abs,d_h_total_mean,d_h_config_rms,d_h_config_peak_abs,d_h_config_mean,d_h_from_knee_acc_rms,d_h_from_knee_acc_peak_abs,d_h_from_knee_acc_mean,d_h_from_knee_vel_rms,d_h_from_knee_vel_peak_abs,d_h_from_knee_vel_mean,d_h_from_knee_dynamic_rms,d_h_from_knee_dynamic_peak_abs,d_h_from_knee_dynamic_mean,d_h_self_acc_err_rms,d_h_self_acc_err_peak_abs,d_h_self_acc_err_mean,d_h_vel_residual_rms,d_h_vel_residual_peak_abs,d_h_vel_residual_mean,d_h_recon_err_rms,d_h_recon_err_peak_abs,d_h_recon_err_mean
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,steady_3_7p4,2151,0.0020320964999882563,1.3961992351999366,4.737163367476194,0.49789606963285316,0.9368003717435673,1.7750483081525317,0.6243106552452301,1.732627761607634,5.362785537310934,-0.17122226360876674,0.060404799902942174,0.14889584699054192,0.04480767813450778,1.7405489198545612,5.319154463485455,-0.126414585474259,2.9526492499665764e-09,7.751928876587044e-09,-1.3811795651156977e-10,0.06040479990294209,0.1488958469905417,0.04480767813450768,3.1720012085388063e-16,2.6645352591003757e-15,-1.3548746813765858e-18,2.6857269384271967,7.621953711509794,-1.3608182575265102,1.6827405341881427,2.6089367938868424,-1.4768032024978819,2.958487731804189,8.031532819351003,0.2102713886492051,0.05471739622002799,0.14036510206492903,0.03994668511296647,2.9552540309935154,8.080247026622866,0.25021807376217164,0.38353599329895033,1.4232894038462547,-0.13423312879079985,0.05471739622002796,0.14036510206492947,0.03994668511296643,6.621991060087815e-16,3.1086244689504383e-15,-1.578106414593871e-17
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,early_3_4,488,0.0020320964999882563,1.1811495700443402,2.9424395006949604,0.5346032637541537,0.9027694317506495,1.465067862702575,0.485534784584805,1.6213713254889317,3.2801974684057864,0.010716157328044259,0.05506725777774719,0.1314257502651568,0.03835232165339432,1.6343516446941557,3.2755914380903306,0.04906847898143869,2.654218705510232e-09,6.973533750453953e-09,1.879101236769534e-10,0.055067257777747104,0.1314257502651568,0.038352321653394236,2.701724255916057e-16,1.5543122344752192e-15,-1.8513196440342647e-17,2.3925356743507527,6.617575125223239,-1.5200357900609538,1.6047529412487853,2.457976308355456,-1.3346301827339029,2.605238775633947,6.479337847105988,-0.092866308987353,0.05097755941441199,0.1271054226795183,0.035007100767708146,2.593822458479486,6.431192021008992,-0.05785920821964489,0.32055867869446825,0.890286667542247,-0.12754639910740587,0.05097755941441198,0.1271054226795183,0.035007100767708084,5.816273584067112e-16,2.220446049250313e-15,2.7300566179307128e-18
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,middle_4_5p4,683,0.0020320964999882563,1.5681643006979957,4.737163367476194,0.5864640705498646,0.9524680793147605,1.7750483081525317,0.6662063606587602,1.8307552573160417,5.362785537310934,-0.12663026345929093,0.061922299109249235,0.14889584699054192,0.04688797353808748,1.837164942273617,5.319154463485455,-0.07974228992120334,2.974232066831928e-09,7.751928876587044e-09,-1.8769205086112403e-10,0.06192229910924916,0.1488958469905417,0.04688797353808739,3.41868892448108e-16,2.6645352591003757e-15,1.2394510340800612e-17,2.7348837017460097,6.218844083219634,-1.2966632697603926,1.6618419289675783,2.6089367938868424,-1.4745538957962823,2.9938275292374166,8.031532819351003,0.24885998840793708,0.05494711627025348,0.14036510206492903,0.04051261810671643,2.997019367186054,8.080247026622866,0.2893726065146535,0.4168492643865074,1.4232894038462547,-0.11148198047876377,0.05494711627025344,0.14036510206492947,0.04051261810671638,6.512195896504401e-16,2.6645352591003757e-15,5.648645696299296e-18
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,late_5p4_7p4,980,0.0020320964999882563,1.3675137281887824,3.728287730634632,0.417890911104778,0.9424110469346073,1.4844850408156258,0.6642166328828286,1.7158434437551042,4.385565384806289,-0.29289806515902783,0.061856906428307684,0.13411443897626452,0.04657234364689393,1.7225198819638963,4.368694602640475,-0.24632572151213397,3.076069169622211e-09,7.573734528421028e-09,-2.659165245638695e-10,0.06185690642830759,0.13411443897626452,0.04657234364689382,3.209981414739739e-16,2.220446049250313e-15,-2.393210346449636e-18,2.7872631110218573,7.621953711509794,-1.3262465236157448,1.7343581896646185,2.5018764269896683,-1.5491671924183048,3.095920764130344,7.695363189432193,0.33432769764045667,0.056331787799296755,0.12434621217526143,0.04201197585353264,3.091760170298153,7.724955133866375,0.37633967349398917,0.38806902375060043,1.164379320210971,-0.1534190046914294,0.056331787799296734,0.12434621217526054,0.042011975853532606,7.0601849363994055e-16,3.1086244689504383e-15,-3.9934042467384455e-17
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,steady_3_7p4,2149,0.002032382000152211,1.5607931916067272,5.660431786436959,0.49768060981407614,0.9372225305469244,1.8094239314971656,0.624943483509707,1.8706898006359969,6.435212131712088,-0.17238931023673998,0.060959463079587536,0.16216467915618327,0.0451264366830173,1.8781739876988794,6.401776732412398,-0.12726287355372273,3.2339854113040415e-09,9.142714141319175e-09,-1.419079337195091e-10,0.06095946307958747,0.16216467915618304,0.04512643668301722,3.369435395461314e-16,2.6645352591003757e-15,-3.929564393231781e-18,2.946837076775937,7.4211290113506045,-1.358798565587645,1.6840876534504876,2.688745412595888,-1.4784024774759215,3.2560437281378674,9.563022357205485,0.21464201889325715,0.055021266275122556,0.15574409005390422,0.04001260673351693,3.252370694018628,9.5631016262596,0.2546546256267741,0.42261430772625896,1.7246956878061326,-0.13505071373849747,0.05502126627512249,0.15574409005390422,0.04001260673351685,6.721562604867675e-16,4.440892098500626e-15,-1.931524585070872e-17
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,early_3_4,490,0.002032382000152211,1.2093162016512664,3.1288169916205275,0.549145690544174,0.904574083558532,1.466850306480291,0.48709483071365495,1.6371595288494825,3.518423342818,0.023766964322556778,0.05496446921019664,0.12893626017329218,0.038283895300931375,1.6507321077418655,3.5139535776989583,0.06205085962348794,2.664379979038977e-09,7.62357554862092e-09,2.0703093835814578e-10,0.05496446921019656,0.12893626017329218,0.03828389530093128,3.093710785619265e-16,1.5543122344752192e-15,4.55984456542475e-18,2.4086013066646186,7.21431354147663,-1.5396083380272303,1.606489732267184,2.4539170597100783,-1.3380622696614861,2.6074845333065344,7.0879729210526605,-0.11177716005681446,0.05080137815877079,0.1210666357842003,0.03499295104287544,2.595669261381032,7.035428313357222,-0.07678420901393876,0.3207837919307781,0.9546357332172679,-0.12476185935180487,0.05080137815877073,0.1210666357842003,0.034992951042875364,5.855008168950119e-16,2.220446049250313e-15,-1.3566245632536989e-17
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,middle_4_5p4,685,0.002032382000152211,2.046112445582907,5.660431786436959,0.5830749510464328,0.9527551773373785,1.8094239314971656,0.6655829698372703,2.2628776916012563,6.435212131712088,-0.1306701116247937,0.06434523487094351,0.16216467915618327,0.04816209303598772,2.2684225004817598,6.401776732412398,-0.08250801858880616,3.90489249235738e-09,9.142714141319175e-09,-2.0203125059460825e-10,0.06434523487094344,0.16216467915618304,0.04816209303598762,3.863405342113335e-16,2.6645352591003757e-15,7.880962711299013e-18,3.5824832981697208,7.290004835440174,-1.2860773606148197,1.665694389638559,2.688745412595888,-1.4779606967768766,3.9709120527076815,9.563022357205485,0.26537121311010387,0.056607053983742925,0.15574409005390422,0.040834130736758116,3.9717082780441713,9.5631016262596,0.30620534384686215,0.5338822177953745,1.7246956878061326,-0.11432200768480535,0.05660705398374286,0.15574409005390422,0.04083413073675803,8.073363916871877e-16,4.440892098500626e-15,-2.637792660696996e-17
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,late_5p4_7p4,974,0.002032382000152211,1.3018400221231818,3.081594943012655,0.411732957553386,0.9423328949432954,1.474922896861919,0.6657112368317649,1.6647754533731178,4.371491785882094,-0.30041212911070153,0.06137839429612012,0.13226819908296727,0.046433850107490994,1.6713053365017847,4.358220279656079,-0.25397827900321057,2.963187166808261e-09,7.3012085266555005e-09,-2.751682779275255e-10,0.06137839429612006,0.13226819908296772,0.04643385010749092,3.120401517524477e-16,1.5543122344752192e-15,-1.6506588475721815e-17,2.6860936740298103,7.4211290113506045,-1.318980533668742,1.7343415189801588,2.49804363834651,-1.549315538675017,2.9801942281941387,7.560880005442469,0.3431799035410959,0.05592405822992047,0.1199560565759148,0.041960129676221355,2.975784454177294,7.588202138969952,0.38514003321731727,0.37661320460847614,1.1641114933095498,-0.15480502821104206,0.05592405822992041,0.1199560565759148,0.041960129676221286,6.049507792484933e-16,2.6645352591003757e-15,-1.7240372943999478e-17
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,steady_3_7p4,1762,0.002031108499977563,2.671939650192373,9.139713600748188,0.2612776171439506,0.9185168712051086,1.7986662543225007,0.5776978552412049,2.9470233080873656,9.664239023322951,-0.3803073193699927,0.10706061012205738,0.5755973989455958,0.06388708189978176,2.950233700094838,9.664207662707621,-0.3164202374702108,6.392840267557511e-09,2.3057779685586866e-08,-6.270433029764241e-10,0.10706061012205728,0.5755973989455967,0.06388708189978165,6.772938201367751e-16,5.329070518200751e-15,5.722027719850853e-18,5.499702789819444,19.079666615024273,-0.8961907259967481,1.6984738465109863,2.6532498145567045,-1.4545352092154211,6.32217116606785,23.957290583163225,0.7952656884980042,0.098982881824336,0.841452044329154,0.01660658980072709,6.318803489614292,23.950366599628367,0.8118722782987311,0.6576358061653832,2.609525220855879,-0.2535277950800581,0.09898288182433598,0.841452044329154,0.01660658980072705,1.255652588657246e-15,1.4210854715202004e-14,-2.565264182182275e-17
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,early_3_4,489,0.002031108499977563,1.1771307871682648,3.0986647565653644,0.541503626131616,0.9046739706667547,1.4675052534933315,0.4864768000446404,1.6183062823697034,3.5165947739991004,0.016739780571089612,0.055022789175397324,0.1308496907660852,0.038287045309411474,1.6317303932117653,3.5121226933816025,0.05502682588050096,2.6152782859619794e-09,7.463526685569377e-09,2.0647474866455606e-10,0.05502278917539724,0.1308496907660861,0.03828704530941134,2.7158079096288917e-16,1.5543122344752192e-15,5.4063774588725035e-18,2.362741536973186,7.079366148320109,-1.5380140852572657,1.6051371539933907,2.451503602823402,-1.335584575891566,2.5550314140228023,6.943804408683684,-0.11071672648526062,0.050832418627638605,0.12035821649463152,0.034925654009334915,2.5433683015409136,6.888875254353942,-0.07579107247592587,0.3155515109485405,0.9539710477275563,-0.1266384368897735,0.050832418627638556,0.12035821649463241,0.03492565400933487,6.108886674873558e-16,2.4424906541753444e-15,-4.265504105346652e-17
