method,direction,source,gain,row2_acc_torque_rms,row3_total_residual_rms,row3_minus_row2_rms,valid_fraction_mean
pd,hip_to_knee,hip,0.5,0.6937868661974178,0.6075930262565691,0.6876862643827201,1.0
eid,hip_to_knee,hip,0.5,0.9045313587619124,0.8304977088488573,0.6516437115003461,0.963718820861678
pd,knee_to_hip,knee,0.5,0.8973872147735132,1.3775770077425826,1.5551327326237778,1.0
eid,knee_to_hip,knee,0.5,1.5465817823438135,1.716631220016759,1.5956548217791031,0.963718820861678
pd,hip_to_knee,hip,0.6,0.8325442394369014,0.6612416656197243,0.7508223113000128,1.0
eid,hip_to_knee,hip,0.6,1.0854376305142948,0.9531477745143231,0.7077725016635508,0.963718820861678
pd,knee_to_hip,knee,0.6,1.0766561010481759,1.411208833187356,1.6145920520811223,1.0
eid,knee_to_hip,knee,0.6,1.8569043135161727,1.8983282227245557,1.65677346613574,0.963718820861678
pd,hip_to_knee,hip,0.7,0.9713016126763849,0.7194021290971894,0.8168705990819174,1.0
eid,hip_to_knee,hip,0.7,1.2663439022666774,1.0807967244513443,0.7669829884557503,0.963718820861678
pd,knee_to_hip,knee,0.7,1.255537180501618,1.4522801065835327,1.6778652582601126,1.0
eid,knee_to_hip,knee,0.7,2.1670628910915015,2.099778868316661,1.7215409044751067,0.963718820861678
pd,hip_to_knee,hip,0.8,1.1100589859158687,0.7811910741292091,0.8852071391408496,1.0
eid,hip_to_knee,hip,0.8,1.44725017401906,1.2119063499410683,0.8286294552979633,0.963718820861678
pd,knee_to_hip,knee,0.8,1.4338929918306715,1.5001640488861854,1.7443723424015747,1.0
eid,knee_to_hip,knee,0.8,2.4768440056476075,2.3158394148361205,1.7893529416129363,0.963718820861678
pd,hip_to_knee,hip,0.9,1.2488163591553523,0.8459416547497175,0.9553602651918414,1.0
eid,hip_to_knee,hip,0.9,1.6281564457714424,1.345510114356921,0.8922166691300747,0.963718820861678
pd,knee_to_hip,knee,0.9,1.6115858455152847,1.554217534174487,1.8135755304502563,1.0
eid,knee_to_hip,knee,0.9,2.7860350474018896,2.5427430211172957,1.859656989883673,0.963718820861678
pd,hip_to_knee,hip,1.0,1.3875737323948356,0.9131551116012782,1.0269697373275666,1.0
eid,hip_to_knee,hip,1.0,1.8090627175238247,1.4809814221337585,0.9573631455280079,0.963718820861678
pd,knee_to_hip,knee,1.0,1.7884779912028397,1.6138092109630089,1.884980657881938,1.0
eid,knee_to_hip,knee,1.0,3.0944246544004703,2.7777463093801606,1.931952521474989,0.963718820861678
pd,hip_to_knee,hip,1.1,1.5263311056343194,0.9824595717722112,1.0997567737012224,1.0
eid,hip_to_knee,hip,1.1,1.9899689892762074,1.6179023740729004,1.0237725773039663,0.963718820861678
pd,knee_to_hip,knee,1.1,1.9644317859624507,1.6783396064964993,1.958136172185461,1.0
eid,knee_to_hip,knee,1.1,3.401803051588136,3.018835850448012,2.005789331056691,0.963718820861678
pd,hip_to_knee,hip,1.2,1.6650884788738027,1.053577838931462,1.1735024685762645,1.0
eid,hip_to_knee,hip,1.2,2.1708752610285895,1.7559874689012747,1.0912123902599131,0.963718820861678
pd,knee_to_hip,knee,1.2,2.139309863240009,1.74725376570306,2.0326307125023884,1.0
eid,knee_to_hip,knee,1.2,3.7079623803544703,3.264512030683253,2.080764577582647,0.963718820861678
pd,hip_to_knee,hip,1.3,1.8038458521132863,1.1263031977863591,1.2480323204612265,1.0
eid,hip_to_knee,hip,1.3,2.351781532780972,1.8950378515402428,1.1594979019253053,0.963718820861678
pd,knee_to_hip,knee,1.3,2.3129753023456985,1.8200477712102232,2.1080899576879895,1.0
eid,knee_to_hip,knee,1.3,4.012697018205086,3.5136374260698062,2.156519284068286,0.963718820861678
pd,hip_to_knee,hip,1.4,1.9426032253527699,1.2004815613944348,1.3232051133254266,1.0
eid,hip_to_knee,hip,1.4,2.5326878045333547,2.0349130091697325,1.2284806788247409,0.963718820861678
pd,knee_to_hip,knee,1.4,2.485291798306767,1.89627072534604,2.18417321343788,1.0
eid,knee_to_hip,knee,1.4,4.315803888260316,3.765332254624473,2.232734739392761,0.963718820861678
pd,hip_to_knee,hip,1.5,2.0813605985922536,1.2759983772044614,1.3989048758612401,1.0
eid,hip_to_knee,hip,1.5,2.7135940762857373,2.175512736019221,1.2980399706006938,0.963718820861678
pd,knee_to_hip,knee,1.5,2.656123831919594,1.9755236616862675,2.260570038367692,1.0
eid,knee_to_hip,knee,1.5,4.617082758337264,4.018902440477454,2.3091290717705286,0.963718820861678
pd,hip_to_knee,hip,1.6,2.220117971831737,1.3527690159329444,1.4750350183319891,1.0
eid,hip_to_knee,hip,1.6,2.89450034803812,2.3167653236402583,1.3680763790660975,0.963718820861678
pd,knee_to_hip,knee,1.6,2.8253368398364502,2.0574565802793527,2.336997085601868,1.0
eid,knee_to_hip,knee,1.6,4.9163365294242425,4.2737898385251105,2.3854541419354174,0.963718820861678
pd,hip_to_knee,hip,1.7,2.3588753450712208,1.4307316838667263,1.5515140176923028,1.0
eid,hip_to_knee,hip,1.7,3.075406619790502,2.458619632953336,1.438507148426922,0.963718820861678
pd,knee_to_hip,knee,1.7,2.992797384523888,2.1417644927163226,2.413195252140966,1.0
eid,knee_to_hip,knee,1.7,5.213371513409424,4.529537466295236,2.4614928237303775,0.963718820861678
pd,hip_to_knee,hip,1.8,2.497632718310704,1.5098421599250085,1.628272211827994,1.0
eid,hip_to_knee,hip,1.8,3.2563128915428847,2.601039650618997,1.509262634996231,0.963718820861678
pd,knee_to_hip,knee,1.8,3.158373323931412,2.228183087049856,2.488927173517319,1.0
eid,knee_to_hip,knee,1.8,5.507997699977621,4.785764946084021,2.537056689422882,0.963718820861678
pd,hip_to_knee,hip,1.9,2.636390091550188,1.5900698559098287,1.705249395377899,1.0
eid,hip_to_knee,hip,1.9,3.437219163295267,2.744000673909356,1.5802836398296096,0.963718820861678
pd,knee_to_hip,knee,1.9,3.321933980710885,2.3164844032747824,2.5639750675519037,1.0
eid,knee_to_hip,knee,1.9,5.800029012640431,5.042150955311041,2.6119840873453546,0.963718820861678
pd,hip_to_knee,hip,2.0,2.7751474647896712,1.671394841540769,1.7823930003853898,1.0
eid,hip_to_knee,hip,2.0,3.6181254350476495,2.887486586727389,1.651519377121204,0.963718820861678
pd,knee_to_hip,knee,2.0,3.48335031082921,2.406472749465762,2.6381389116879976,1.0
