method,repeat,log_path,window,n,dt_median,source,target,corr_zero_lag,best_corr_abs_lag,best_lag_ms
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,tau_sw_k,,,0.0
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,d_g,-0.3521928879715624,-0.46787717131864676,79.24476299376693
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,d_hacc,0.3554587231752347,0.5458716741775761,-30.478754997602664
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,d_kacc,0.3297407688862485,0.5570829048939131,-34.54258899728302
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,d_vel,0.276886127473017,0.4513311930814194,-79.24476299376693
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,d_model,0.30308549589890726,0.6421466163468924,-32.51067199744284
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,eid_comp_k,d_in,0.30308549589890726,0.6421466163468924,-32.51067199744284
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,tau_sw_k,-0.625431429541976,-0.6339266013902042,-12.191501999041066
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,d_g,-0.1402616867613898,-0.3538669760058697,79.24476299376693
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,d_hacc,0.2283688423270871,0.4902702478616078,-32.51067199744284
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,d_kacc,0.30053247209417655,0.6277411847382781,-36.5745059971232
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,d_vel,0.07566637971998394,-0.238127367617074,79.24476299376693
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,d_model,0.22323866292535752,0.5774199356124535,-32.51067199744284
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,eid_comp_k,d_in,-0.22397395330086456,-0.5409518151628032,46.734090996324085
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,tau_sw_k,,,0.0
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,d_g,-0.3761053897196148,-0.6259458830493222,79.24476299376693
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,d_hacc,0.4108486104360754,0.6080386643811833,-28.446837997762486
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,d_kacc,0.3339118165163043,0.602672613710218,-28.446837997762486
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,d_vel,0.3237568600347365,0.32429311880569023,2.0319169998401776
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,d_model,0.35748541274838536,0.6567385289504761,-28.446837997762486
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,eid_comp_k,d_in,0.35748541274838536,0.6567385289504761,-28.446837997762486
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,tau_sw_k,,,0.0
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,d_g,-0.2999676498710602,-0.3250793112728859,79.24476299376693
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,d_hacc,0.3688059128094912,0.6447229105060438,-30.478754997602664
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,d_kacc,0.35657357628573605,0.6895884648570284,-30.478754997602664
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,d_vel,0.28943355509957697,0.29002360638087993,-4.063833999680355
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,d_model,0.33442646026384903,0.7002308408669824,-30.478754997602664
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,eid_comp_k,d_in,0.33442646026384903,0.7002308408669824,-30.478754997602664
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,tau_sw_k,,,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_g,-0.365146378004237,-0.497885832774099,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_hacc,0.3629783939313014,0.5626837820282142,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_kacc,0.32152022397306296,0.562028433254618,-44.71013799729917
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_vel,0.2952336438914561,0.469923093349606,-79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_model,0.30397529086587777,0.6574789528283418,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_in,0.30397529086587777,0.6574789528283418,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,tau_sw_k,-0.5734136308172569,-0.5884793156202447,-20.32278999877235
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_g,-0.16076630638699765,-0.3308243567223457,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_hacc,0.26985937815915584,0.573925953845448,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_kacc,0.35299147380548085,0.7037170425253153,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_vel,0.06266756969212275,-0.1922267289658769,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_model,0.25632255585964026,0.6224789194923034,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_in,-0.07582796019068949,-0.5283802453359312,50.806974996930876
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,tau_sw_k,,,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_g,-0.3530575199938636,-0.5267217846892711,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_hacc,0.4377577520502383,0.7498447574188042,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_kacc,0.3924102610243246,0.7409088423196539,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_vel,0.21006566681963879,0.38214331400774393,-79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_model,0.3878962040294093,0.7704128483292588,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_in,0.3878962040294093,0.7704128483292588,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,tau_sw_k,,,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_g,-0.30735384238563523,-0.3349424941953975,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_hacc,0.3743818522876859,0.6431705591326162,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_kacc,0.3634325691614464,0.6925959918675836,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_vel,0.3060637196494187,0.3060637196494187,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_model,0.3409410858711762,0.7048235870047506,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_in,0.3409410858711762,0.7048235870047506,-30.484184998158526
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,tau_sw_k,,,0.0
