method,repeat,log_path,window,n,dt_median,tau_sw_k_rms,tau_sw_k_peak_abs,tau_sw_k_mean,d_g_rms,d_g_peak_abs,d_g_mean,d_hacc_rms,d_hacc_peak_abs,d_hacc_mean,d_kacc_rms,d_kacc_peak_abs,d_kacc_mean,d_vel_rms,d_vel_peak_abs,d_vel_mean,d_model_rms,d_model_peak_abs,d_model_mean,d_in_rms,d_in_peak_abs,d_in_mean,eid_comp_k_rms,eid_comp_k_peak_abs,eid_comp_k_mean,tau_sw_k_rms_over_d_in,d_g_rms_over_d_in,d_hacc_rms_over_d_in,d_kacc_rms_over_d_in,d_vel_rms_over_d_in,d_model_rms_over_d_in,recon_err_rms,recon_err_over_model_rms
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020319169998401776,0.0,0.0,0.0,0.9027694317506495,1.465067862702575,0.485534784584805,1.6215145579108452,3.2804872420192517,0.01071710399654907,2.6544531874518714e-09,6.974150146277225e-09,1.8792672216169284e-10,0.055067257777747104,0.1314257502651568,0.038352321653394236,1.181268660903127,2.9427230311733896,0.5346042104226751,1.181268660903127,2.9427230311733896,0.5346042104226751,0.019318862834500128,0.05614801741492784,0.010096560849960943,0.0,0.7642371812864706,1.3726890516769763,2.247120638434982e-09,0.0466170479251062,1.0,2.6414528597357167e-16,2.2361152438567365e-16
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,683,0.0020319169998401776,3.6264672332580066,4.0,-3.4302352622535732,0.9524680793147605,1.7750483081525317,0.6662063606587602,1.8309169867763542,5.363259287369685,-0.12664145001417704,2.9744948229400345e-09,7.752613662148633e-09,-1.8770863184718965e-10,0.06192229910924916,0.1488958469905417,0.04688797353808739,1.568300838119467,4.737512160752079,0.586452883994962,3.3851037255365686,8.031306557416253,-2.8437823782586116,0.04651018985134117,0.13324904406984406,0.040619353037645634,1.0713016578784982,0.28137042659269945,0.5408747073137731,8.787012346183132e-10,0.018292585436044187,0.463294765914707,3.2691097129220016e-16,2.0844914658350606e-16
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,489,0.0020319169998401776,4.0,4.0,-4.0,1.0807918657022368,1.7750483081525317,0.7679102969267525,1.817235749068226,5.363259287369685,-0.2986222573774098,2.935903060005586e-09,7.752613662148633e-09,-3.315223055754734e-10,0.045087013617487695,0.10068857157101085,0.03186687808474509,1.3828468643364231,4.0313065574162525,0.5011549173025653,3.728676187574426,8.031306557416253,-3.4988450826974344,0.048366047239372816,0.07671247120704866,0.045297682533982205,1.0727667941050347,0.28985940621604694,0.4873675421652456,7.873848283713385e-10,0.01209196276355058,0.37086804934809614,2.8894099209062156e-16,2.089464853574178e-16
eid,r01,data\20260623_191351\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,980,0.0020319169998401776,0.0,0.0,0.0,0.9424110469346073,1.4844850408156258,0.6642166328828286,1.7215861962521994,4.385952806948058,-0.2883807028244253,3.0739450676040146e-09,7.574403326771062e-09,-2.713460488660819e-10,0.06185690642830759,0.13411443897626452,0.04657234364689382,1.3738625635322643,3.728542284821983,0.4224082734339511,1.3738625635322643,3.728542284821983,0.4224082734339511,0.020016053145280113,0.06170648533365885,0.009477273195865563,0.0,0.6859572943829438,1.2530992851467775,2.237447288541555e-09,0.04502408615696654,1.0,3.0399449524106195e-16,2.2126994599771176e-16
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,0.0,0.0,0.0,0.904574083558532,1.466850306480291,0.48709483071365495,1.637242503619021,3.518601664087778,0.023768168883472465,2.6645150260183217e-09,7.62396190623349e-09,2.07041422779902e-10,0.05496446921019656,0.12893626017329218,0.03828389530093128,1.209385346897296,3.128980667676554,0.5491468951051,1.209385346897296,3.128980667676554,0.5491468951051,0.019716787885466682,0.062438532479653946,0.010390347884655952,0.0,0.7479618352241791,1.3537806686838085,2.2031977093605376e-09,0.045448267875255056,1.0,2.821908937996197e-16,2.3333414326838546e-16
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,3.627599546809671,4.0,-3.4322466429635705,0.9527551773373785,1.8094239314971656,0.6655829698372703,2.26299237911438,6.43553828211718,-0.13067673426736692,3.905090390236807e-09,9.143176882275839e-09,-2.0204149074326022e-10,0.06434523487094344,0.16216467915618304,0.04816209303598762,2.046215755972155,5.660678256124507,0.5830683284038494,3.6308281479072626,9.083170395431754,-2.849178314559721,0.047523715997957,0.09991764438803495,0.04066632752122242,0.9991107810763633,0.26240712546159134,0.6232716853918641,1.0755371037011552e-09,0.017721916942841472,0.5635672283612634,3.63768737419061e-16,1.777763348548916e-16
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,4.0,4.0,-4.0,1.0803363612963506,1.8094239314971656,0.7663869310467414,2.2474695002070826,6.43553828211718,-0.27352981163429063,4.110717505921124e-09,9.143176882275839e-09,-3.7428651051360954e-10,0.04677064345821538,0.11966102334723971,0.0325497885993115,1.9160994851403974,5.083170395431755,0.525406907637476,3.9329609680055926,9.083170395431754,-3.474593092362524,0.049775318641023324,0.0947943731092924,0.045449058807703814,1.0170454353703904,0.2746877912302776,0.5714446490799465,1.0451966188735588e-09,0.011891967359628492,0.4871900587693991,3.5042858884182323e-16,1.8288642711896894e-16
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,0.0,0.0,0.0,0.9423328949432954,1.474922896861919,0.6657112368317649,1.6720240656703884,4.37171334249711,-0.2949172804417411,2.9607283693434944e-09,7.301577120699676e-09,-2.816850433801979e-10,0.06137839429612006,0.13226819908296772,0.04643385010749092,1.310231091185671,3.0818164996279998,0.4172278062158297,1.310231091185671,3.0818164996279998,0.4172278062158297,0.01913933065043133,0.0807178255892323,0.009219619740696497,0.0,0.7192112149396085,1.2761291324245094,2.2596993685016544e-09,0.046845472305634836,1.0,3.0994555689824245e-16,2.3655793163766446e-16
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,0.0,0.0,0.0,0.9046739706667547,1.4675052534933315,0.4864768000446404,1.6183062823697034,3.5165947739991004,0.016739780571089612,2.6152782859619794e-09,7.463526685569377e-09,2.0647474866455606e-10,0.05502278917539724,0.1308496907660861,0.03828704530941134,1.1771307871682648,3.0986647565653644,0.541503626131616,1.1771307871682648,3.0986647565653644,0.541503626131616,0.019317155139226414,0.05613437905423253,0.010166030141202282,0.0,0.7685415932778897,1.3747888510016304,2.221739771375242e-09,0.04674313999361229,1.0,2.7158079096288917e-16,2.3071420263861306e-16
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,3.623988283066989,4.0,-3.4262576946571803,0.9528194112651086,1.7986662543225007,0.6658005829563513,2.172414439693894,6.740199057107853,-0.13883193210636066,3.5299837276906653e-09,8.930647332761055e-09,-2.3018942937553548e-10,0.06405606689945245,0.16495382434432337,0.04774191681484081,1.9464801998114014,5.7883912577513845,0.5747105674346421,3.577588629638818,9.389335161492689,-2.8515471272225383,0.04693331338577307,0.0961416112552794,0.0404781756343257,1.0129695328981565,0.2663300647177264,0.6072286851809494,9.866935785870498e-10,0.017904816213014225,0.5440760247518764,3.602492489668337e-16,1.8507727384113078e-16
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,4.0,4.0,-4.0,1.0823283937089359,1.7986662543225007,0.768208561467186,2.0422582344654105,6.740199057107853,-0.2746330789553424,3.554689144506312e-09,8.930647332761055e-09,-3.799943709000032e-10,0.04589026481403412,0.10150782638091504,0.03204295430638173,1.677509193039016,5.389335161492689,0.525618436438231,3.8221838785208337,9.389335161492689,-3.474381563561769,0.04879366686397868,0.09256878028001174,0.04525100233566196,1.0465221263891626,0.2831701530089106,0.5343171075421297,9.300152105403048e-10,0.01200629437843619,0.4388876219341399,3.4238972569633317e-16,2.0410602047196636e-16
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,0.0,0.0,0.0,0.8888652825238376,1.4722593573065328,0.5511186196452115,4.28091809368897,9.664239023322951,-0.990367076177316,1.010491246921681e-08,2.3057779685586866e-08,-1.779909817060375e-09,0.16434762015353008,0.5755973989455967,0.10388998650214264,3.9757911853281254,9.139713600748188,-0.33535847180987205,3.9757911853281254,9.139713600748188,-0.33535847180987205,0.035273668326226346,0.19985936183755085,0.005256608569635709,0.0,0.22356940822345497,1.076746210788649,2.5416104614616077e-09,0.041337085498861864,1.0,1.0771912894844094e-15,2.70937591858338e-16
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,0.0,0.0,0.0,0.9025759133632872,1.464446967568322,0.48470385718578246,1.6109040810568374,3.4769248955891143,0.01584736932358862,2.722394573005548e-09,7.407404467585366e-09,2.1233476269791725e-10,0.054918215955497354,0.12501192791335525,0.03847416799327943,1.165160031626838,2.7924736122001486,0.5390253947149853,1.165160031626838,2.7924736122001486,0.5390253947149853,0.019499330733189008,0.06445639866560741,0.009853976224953773,0.0,0.7746368643482205,1.3825603671005051,2.3364984200534614e-09,0.04713362496550674,1.0,2.7900915426957976e-16,2.394599425797478e-16
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,3.626484765987979,4.0,-3.430725578654081,0.9518600535258903,1.771960609069364,0.6635468030824161,2.2560019705250953,9.460179857900824,-0.13580630024330717,3.063137650470384e-09,7.30277971427995e-09,-2.22649335094116e-10,0.06307467839463299,0.1748269175378958,0.04707839806927858,2.042189192558272,8.101459641240552,0.5748189006857382,3.63517288207032,12.101459641240552,-2.855906677968343,0.046954517004039964,0.09886406055345165,0.04080020143533442,0.9976099854493321,0.2618472585501305,0.6206037632081605,8.426387822099542e-10,0.017351218343901822,0.5617859889500483,3.69035950807367e-16,1.807060541462722e-16
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,4.0,4.0,-4.0,1.0814893404648127,1.771960609069364,0.7650771255499824,2.1504941507963844,9.460179857900824,-0.2798821471856767,2.9180837777922882e-09,7.30277971427995e-09,-3.58061366163218e-10,0.04771923379254748,0.10471330203323603,0.03317726115640159,1.8068844233245072,8.101459641240552,0.5183722391626457,3.8881683870366994,12.101459641240552,-3.481627760837354,0.04864935244591272,0.07521433441097264,0.04539306973122572,1.028762029272228,0.278148792133216,0.5530866816278363,7.505034472069909e-10,0.012272933947934253,0.4647135214999248,2.9765601779972446e-16,1.6473439803751465e-16
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,0.0,0.0,0.0,0.9410695363834229,1.4704877975155242,0.6616962838095001,1.7009810094948228,5.306018750492569,-0.2892269241522028,2.9863977509986655e-09,9.065739270397444e-09,-2.662480344934022e-10,0.061848403677176984,0.12884164931989295,0.04697657493094615,1.3424192259792938,4.012374531547103,0.4194459343219954,1.3424192259792938,4.012374531547103,0.4194459343219954,0.01902939544049792,0.08058573519989526,0.00945720890165244,0.0,0.7010250733685026,1.267101198028476,2.2246386920003254e-09,0.04607234646245373,1.0,3.0446030641848517e-16,2.267997213734641e-16
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,0.0,0.0,0.0,0.9028604431481312,1.4547790915506014,0.48443058262156613,1.613353041283913,3.358764950793542,0.02879699658227765,2.671497914360965e-09,7.262863199741787e-09,2.0682066796025006e-10,0.05547373966227858,0.13004924685933839,0.03897894359235826,1.1799449541929188,2.906301001241085,0.5522065230030226,1.1799449541929188,2.906301001241085,0.5522065230030226,0.019170003387087593,0.054406337108953165,0.010319271017884483,0.0,0.7651716632541447,1.3673121237994064,2.264086900721794e-09,0.047013836929556234,1.0,2.886497351369289e-16,2.4462983134189093e-16
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,3.6231667395353186,4.0,-3.4241095516576903,0.9494286722717402,1.7851956388747257,0.6633048938122472,2.2544329330927693,7.90645496623886,-0.135954189510717,3.4184947187625095e-09,8.607576873487233e-09,-2.0695544718998474e-10,0.06358697378984701,0.16989871664847755,0.04743379403811508,2.0409051805060567,6.550741830503862,0.5747844981326898,3.6224195651176463,10.550741830503862,-2.8493250535249994,0.047066012503796925,0.10194892261825969,0.040655116897720875,1.0002062639084845,0.2620979307351177,0.6223555533991688,9.43704796562263e-10,0.017553729667916556,0.5634093853067442,3.7780953555361095e-16,1.8511861264418488e-16
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,4.0,4.0,-4.0,1.0774032840525027,1.7851956388747257,0.7630648487376024,2.124865705308111,7.90645496623886,-0.25621734866967116,3.452347152063789e-09,8.607576873487233e-09,-3.6375558105394933e-10,0.04672707900157052,0.10027029556906042,0.032344712687382204,1.7904109253025138,6.550741830503862,0.5391922123915578,3.859019769618982,10.550741830503862,-3.4608077876084424,0.048996931973142775,0.08448217085570617,0.045519436463816516,1.0365326530563324,0.2791909211076365,0.5506231717278578,8.946176382000382e-10,0.012108535791767683,0.4639548466162144,3.499148562779628e-16,1.9543829370837873e-16
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,0.0,0.0,0.0,0.9397704700694205,1.4703708069021049,0.6607375149836465,1.6921243198001357,4.918403900175752,-0.29112057054651225,3.031128231642833e-09,8.341220159024942e-09,-2.674740362775338e-10,0.06147866950051375,0.13067403701842206,0.04660517688742636,1.3364835469656744,3.626222385388827,0.41622212105708667,1.3364835469656744,3.626222385388827,0.41622212105708667,0.019107345221137023,0.06292716452762934,0.009600389503253754,0.0,0.7031665090101982,1.2661018713188807,2.2679876894292086e-09,0.04600031900137768,1.0,3.018686873467729e-16,2.258678664859957e-16
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,0.0,0.0,0.0,0.9805707252730402,1.5789827430427905,0.5727468243831215,1.4883759183048868,2.620281281226367,-0.10125854575245788,1.92350900238982e-09,3.72793840242025e-09,1.0699456822537755e-11,0.05562340207225381,0.11954389599572623,0.04008173462682463,0.9205440849589119,1.8375518720331683,0.5115700132681879,0.9205440849589119,1.8375518720331683,0.5115700132681879,0.0,0.0,0.0,0.0,1.0652077844993242,1.6168437151723372,2.089534910732358e-09,0.06042448480317652,1.0,2.2340824888913414e-16,2.426915261740081e-16
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,disturbance,682,0.0020317380001415586,3.6256423401434086,4.0,-3.429147174538583,1.005492318870079,1.8224906743251679,0.7066225038889016,1.4164115274407334,2.81697649586808,-0.06143491504731195,1.7993405031657497e-09,3.933127157296212e-09,-4.445656694578193e-12,0.0680791824868329,0.13698606353560328,0.053778591891159584,1.0562728616889396,2.1101836593240746,0.6989661807283034,3.118140484897701,5.098432676252698,-2.7301809938102792,0.0,0.0,0.0,1.1627578544660593,0.3224653679781419,0.45424878522982987,5.770556239786553e-10,0.0218332633877676,0.3387508891292284,2.1748029017970003e-16,2.0589404316604085e-16
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,plateau,487,0.0020317380001415586,4.0,4.0,-4.0,1.150270941077082,1.8224906743251679,0.8372718753663945,1.563590092929018,2.81697649586808,-0.32269615368344023,1.9364605242874355e-09,3.933127157296212e-09,-2.6356844806897914e-10,0.051978695459703815,0.10369127394742228,0.038112675679907275,0.9814056580882657,2.1101836593240746,0.5526883970992931,3.5414191913600566,5.098432676252698,-3.4473116029007067,0.0,0.0,0.0,1.129490688297713,0.3248050792415028,0.44151511256947035,5.468035326096914e-10,0.014677363127899516,0.2771221380633463,2.300365268730259e-16,2.3439494665348347e-16
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,recovery,976,0.0020317380001415586,0.0,0.0,0.0,1.0115829866601027,1.5751070620039047,0.7409551376154875,1.3224127757592996,2.606326460463218,-0.3433868874852901,1.7457760088594167e-09,3.958526395564377e-09,-3.5790618821469727e-10,0.06498259606542567,0.1311353355776994,0.049219436643907176,0.8101674010438226,1.9975520465919412,0.44678768641619854,0.8101674010438226,1.9975520465919412,0.44678768641619854,0.0,0.0,0.0,0.0,1.2486098371235075,1.6322710270192287,2.1548336882107978e-09,0.08020885064210416,1.0,2.192183569087393e-16,2.705840257535635e-16
pd,r02,data\20260623_191407\h1_real_p2_anti_hip_knee_pd_log.csv,pre,489,0.0020277890000670595,0.0,0.0,0.0,0.9800418665911738,1.5829616923394636,0.5712363659236092,1.4719487162941067,2.6223055093642493,-0.09282628620808837,1.910916446630448e-09,3.9223810865962605e-09,5.554057600817642e-12,0.05566925156166705,0.12178728204178091,0.040010408454376506,0.9035801415188685,1.9660293504509125,0.5184204881754514,0.9035801415188685,1.9660293504509125,0.5184204881754514,0.0,0.0,0.0,0.0,1.0846208560358326,1.6290184441413709,2.114827848494216e-09,0.06160964479375355,1.0,2.1203965397817644e-16,2.346661289188466e-16
pd,r02,data\20260623_191407\h1_real_p2_anti_hip_knee_pd_log.csv,disturbance,682,0.0020277890000670595,3.624467606974896,4.0,-3.427162006690796,1.0065279848115958,1.827115472211632,0.70642156302263,1.4189016210822447,2.832915753293518,-0.06364359303736958,1.8054194561211394e-09,4.2567984692709615e-09,-1.831808821967171e-12,0.06825267564069719,0.13648177601227696,0.053987651999578286,1.0527499330257462,2.2630628043749725,0.6967656219830067,3.116408286705891,5.1478330057144595,-2.7303963847077894,0.0,0.0,0.0,1.163027201036625,0.32297693120162924,0.4553002978252421,5.793269976282555e-10,0.02190106987324235,0.33780873241693404,2.1678579145342653e-16,2.059233486060215e-16
