cycle,t,q_h,q_k,dq_h,dq_k,tau_est_k,tau_cmd_k,u_feedback_k,xbar_q_k,eta_u_k,tau_sw_k,disturbance_scale,t_rel,qdd_h,qdd_k,tau_full,tau_loc,d_model,d_g,d_hacc,d_kacc,d_vel,d_recon,d_recon_err,d_in,eid_comp_k,method,repeat,condition_id,log_path,config_path
0,1069.3365454490001,-0.08178197592496872,0.2536415159702301,0.0008544072625227273,-0.0002025209687417373,-0.1875,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06468943625953304,0.012508591135080186,0.5053150740968245,-0.9845919235577656,1.48990699765459,1.468164269270393,0.021742702906348055,-4.0484915767025065e-12,2.5481897703016898e-08,1.48990699765459,0.0,1.48990699765459,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
1,1069.338644359,-0.08183310925960541,0.2536415159702301,-8.496505324728787e-05,-4.2745552491396666e-05,-0.5625,0.0,5.0,0.0,0.0,0.0,0.0,0.0020989099998587335,0.053920064850286664,0.012113697689581785,0.5015203593563503,-0.9845309301050771,1.4860512894614275,1.4679282691575448,0.018123020055813732,-3.920681921482094e-12,2.5198954034522103e-10,1.4860512894614275,0.0,1.4860512894614275,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
2,1069.340769011,-0.08180754631757736,0.2536575198173523,-0.0001248399930773303,8.877481741365045e-05,0.375,0.0,5.0,0.0,0.0,0.0,0.0,0.004223561999879166,0.04373659231770144,0.011725046842087777,0.498323725144249,-0.9844240679307037,1.4827477930749526,1.468047553866964,0.014700238667724574,-3.794926178857239e-12,5.440591310801324e-10,1.4827477930749526,0.0,1.4827477930749526,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
3,1069.342790222,-0.08178197592496872,0.2536575198173523,0.0006709236185997725,8.365092980966438e-06,0.46875,0.0,5.0,0.0,0.0,0.0,0.0,0.006244772999934867,0.034139018661777334,0.011342638592598157,0.49503986297797137,-0.984600136466893,1.4796399994448644,1.4681655707633108,0.01147441297128482,-3.671111591802001e-12,1.571393992705339e-08,1.4796399994448646,2.220446049250313e-16,1.4796399994448644,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
4,1069.34480929,-0.08178197592496872,0.2536575198173523,0.0005017540534026921,-2.1817897504661232e-05,-0.84375,0.0,5.0,0.0,0.0,0.0,0.0,0.008263840999916283,0.025127343882514377,0.010966472941112927,0.4918866756988519,-0.9847244166932327,1.4766110923920848,1.4681655707633108,0.00844551284370304,-3.549405994812682e-12,8.78862016495674e-09,1.4766110923920848,0.0,1.4766110923920848,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
5,1069.3468302420001,-0.08178197592496872,0.2536734938621521,0.000322539359331131,-6.110207323217764e-05,0.1875,0.0,5.0,0.0,0.0,0.0,0.0,0.010284792999982528,0.016701567979912558,0.010596549887632086,0.48899659284755764,-0.9847838092097074,1.4737804020572651,1.46816686945761,0.005613528971122439,-3.4296424207547194e-12,3.6319622864766643e-09,1.473780402057265,-2.220446049250313e-16,1.4737804020572651,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
6,1069.34884897,-0.08178197592496872,0.2536575198173523,0.00012486481864470989,1.3741468137595803e-05,-0.1875,0.0,5.0,0.0,0.0,0.0,0.0,0.012303520999921602,0.008861690953971886,0.010232869432155635,0.48627169352779726,-0.9848723670715904,1.4711440605993877,1.4681655707633108,0.0029784892951131847,-3.311931458249706e-12,5.442757355922367e-10,1.4711440605993877,0.0,1.4711440605993877,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
7,1069.350871872,-0.08175641298294067,0.2536415159702301,0.0004701967991422862,-0.00042062372085638344,0.09375,0.0,5.0,0.0,0.0,0.0,0.0,0.014326422999829447,0.0016077128046923523,0.009875431574683572,0.4833539191874642,-0.9854687069608581,1.4688226261483224,1.468282251662028,0.0005403667722642669,-3.1962735409785115e-12,7.717226302439428e-09,1.4688226261483224,0.0,1.4688226261483224,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
8,1069.352895164,-0.08183310925960541,0.2536415159702301,-0.0008143109153024852,-2.2524267478729598e-05,-0.28125,0.0,5.0,0.0,0.0,0.0,0.0,0.016349714999932985,-0.005060366467926057,0.0095242363152159,0.4810689990560318,-0.9851584584397239,1.4662274574957557,1.4679282691575448,-0.0017008348050512878,-3.082613157789904e-12,2.314634472977417e-08,1.4662274574957554,-2.220446049250313e-16,1.4662274574957557,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
9,1069.354918248,-0.08180754631757736,0.2536575198173523,-0.00024327574647031724,0.000354118412360549,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.01837279899996247,-0.011142546863883314,0.009179283653752618,0.47950690874458796,-0.9847955429240978,1.4643024516686858,1.468047553866964,-0.0037451042613371732,-2.970950308683884e-12,2.066029902714206e-09,1.4643024516686856,-2.220446049250313e-16,1.4643024516686858,-0.0,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,config\h1_real_p2_anti_hip_knee_pd.yaml
