cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
0,0,1,-0.485900014639,0,0,120,5,-1.75666809099e-06,0,-1.75666809099e-06,0,-0.4859,0,-0.4859,0,0,0,120,5,0,-0.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,2,0.267625004053,0,0,120,5,4.86373901154e-07,0,4.86373901154e-07,0,0.267625,0,0.267625,0,0,0,120,5,0,0.267625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,0.002,1,-0.485900014639,-1.12100839722e-09,0,120,5,-1.70792767743e-06,0,-1.70792767743e-06,0,-0.4859,-1.12100839351e-09,-0.485900000021,-1.03712706575e-08,2.0294099734e-11,9.25026226402e-09,120,5,0,-0.485900336482,-0.000504722962653,-3.36461232597e-07,-0.000504712591382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,0.002,2,0.267625004053,-1.40126044101e-09,0,120,5,4.07395835558e-07,0,4.07395835558e-07,0,0.267624999999,-1.40126049072e-09,0.267625000027,1.37350693835e-08,-2.80306888811e-11,-1.51363298742e-08,120,5,0,0.267624579398,-0.000630903702808,-4.20629938658e-07,-0.000630917437877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,0.004,1,-0.485900014639,-1.62627760147e-08,0,120,5,-1.7302962942e-06,0,-1.7302962942e-06,0,-0.485900000014,-1.62627752836e-08,-0.485900000061,-2.00756817489e-08,4.7382098245e-11,3.81290646531e-09,120,5,0,-0.48590253572,-0.00178468746303,-2.53565864849e-06,-0.00178466738735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,0.004,2,0.267625004053,-2.03284695743e-08,0,120,5,2.45312733926e-07,0,2.45312733926e-07,0,0.267624999983,-2.0328469089e-08,0.267625000079,2.59775580114e-08,-9.63150115219e-11,-4.63060271004e-08,120,5,0,0.267621830351,-0.00223085932711,-3.16972885078e-06,-0.00223088530467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,0.006,1,-0.485900014639,-7.21651147728e-08,0,120,5,-1.95758415125e-06,0,-1.95758415125e-06,0,-0.485900000093,-7.2165113326e-08,-0.485900000119,-2.91225659535e-08,2.65024668877e-11,-4.30425473725e-08,120,5,0,-0.485907730021,-0.00344683505305,-7.72990141462e-06,-0.00344680593049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,0.006,2,0.267625004053,-9.02063916897e-08,0,120,5,-1.62413609202e-07,0,-1.62413609202e-07,0,0.267624999884,-9.02063915953e-08,0.267625000151,3.59207104008e-08,-2.67062372217e-10,-1.26127101996e-07,120,5,0,0.267615337474,-0.00430854381348,-9.66267695168e-06,-0.00430857973419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4,0.008,1,-0.485900014639,-1.98493765424e-07,0,120,5,-2.53834691919e-06,0,-2.53834691919e-06,0,-0.485900000349,-1.98493764051e-07,-0.485900000194,-3.74987241532e-08,-1.55110924105e-10,-1.60995039898e-07,120,5,0,-0.485916400128,-0.00522458479519,-1.63999337195e-05,-0.00522454729647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4,0.008,2,0.267625004053,-2.48117203228e-07,0,120,5,-9.87855683112e-07,0,-9.87855683112e-07,0,0.267624999563,-2.48117204935e-07,0.267625000234,4.11243446567e-08,-6.70074606912e-10,-2.89241549591e-07,120,5,0,0.26760449984,-0.00653073099119,-2.05003933224e-05,-0.00653077211554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
