cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
0,0,1,-0.40000000596,-1.89275451703e-05,0,120,3,-5.74978912455e-05,0,-5.74978912455e-05,-5.74978912455e-05,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0.670000016689,-1.51420363181e-05,0,70,4,-5.93998942378e-05,0,-5.93998942378e-05,-5.93998942378e-05,300,0,0.67,-1.51420361146e-05,0.67,0,0,-1.51420361146e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.002,1,-0.400000035763,-1.80902516149e-05,0,120,3,-5.83819493821e-05,0,-5.83819493821e-05,-5.83819493821e-05,200,0,-0.400000037285,-1.80902511074e-05,-0.400000000111,-5.56604587167e-08,-3.71738473337e-08,-1.80345906487e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.002,2,0.669999957085,-1.44722007462e-05,0,70,4,-5.86882763966e-05,0,-5.86882763966e-05,-5.86882763966e-05,300,0,0.669999970172,-1.44722008914e-05,0.669999998935,-5.32512242993e-07,-2.87631101159e-08,-1.39396886484e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.004,1,-0.400000065565,-1.58516522788e-05,0,120,3,-5.50215526178e-05,0,-5.50215526178e-05,-5.50215526178e-05,200,0,-0.400000071428,-1.58516524891e-05,-0.400000000351,-1.19709511271e-07,-7.10768366941e-08,-1.57319429778e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.004,2,0.669999957085,-1.26813220049e-05,0,70,4,-4.93227991385e-05,0,-4.93227991385e-05,-4.93227991385e-05,300,0,0.669999942858,-1.26813219962e-05,0.669999996842,-1.04637953234e-06,-5.39842778258e-08,-1.16349424638e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.006,1,-0.400000095367,-1.25955093608e-05,0,120,3,-4.85287639543e-05,0,-4.85287639543e-05,-4.85287639543e-05,200,0,-0.400000100014,-1.25955090443e-05,-0.400000000758,-2.03631829951e-07,-9.92561866031e-08,-1.23918772144e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.006,2,0.66999989748,-1.00764073068e-05,0,70,4,-4.12617680993e-05,0,-4.12617680993e-05,-4.12617680993e-05,300,0,0.669999919989,-1.00764072394e-05,0.669999993944,-1.44908587277e-06,-7.39553969176e-08,-8.62732136667e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.008,1,-0.40000012517,-8.6706932052e-06,0,120,3,-4.00109745198e-05,0,-4.00109745198e-05,-4.00109745198e-05,200,0,-0.400000121365,-8.67069328498e-06,-0.400000001332,-2.87196031106e-07,-1.20032210837e-07,-8.38349725387e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.008,2,0.66999989748,-6.93655465511e-06,0,70,4,-2.71710530064e-05,0,-2.71710530064e-05,-2.71710530064e-05,300,0,0.669999902908,-6.93655463087e-06,0.669999990404,-1.76996327929e-06,-8.74958033803e-08,-5.16659135158e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.01,1,-0.40000012517,-4.39119048679e-06,0,120,3,-2.67942886479e-05,0,-2.67942886479e-05,-2.67942886479e-05,200,0,-0.400000134461,-4.39119047184e-06,-0.400000002098,-3.82643767749e-07,-1.3236359736e-07,-4.00854670409e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.01,2,0.66999989748,-3.51295238943e-06,0,70,4,-1.25167762071e-05,0,-1.25167762071e-05,-1.25167762071e-05,300,0,0.669999892431,-3.51295237916e-06,0.66999998652,-1.94196155967e-06,-9.40892196377e-08,-1.57099081949e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.012,1,-0.40000012517,-3.60986156522e-08,0,120,3,-1.33571977348e-05,0,-1.33571977348e-05,-1.33571977348e-05,200,0,-0.40000013888,-3.60986144528e-08,-0.400000003036,-4.69057593111e-07,-1.35843952587e-07,4.32958978659e-07,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.012,2,0.66999989748,-2.88788921665e-08,0,70,4,1.83736622811e-06,0,1.83736622811e-06,1.83736622811e-06,300,0,0.669999888896,-2.88788920165e-08,0.669999982566,-1.97722093821e-06,-9.36695541132e-08,1.9483420462e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.014,1,-0.40000012517,4.15037175117e-06,0,120,3,-4.42869772172e-07,0,-4.42869772172e-07,-4.42869772172e-07,200,0,-0.400000134719,4.15037152883e-06,-0.400000004124,-5.43854828067e-07,-1.30595356751e-07,4.6942263569e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.014,2,0.66999989748,3.32029730998e-06,0,70,4,1.51166466694e-05,0,1.51166466694e-05,1.51166466694e-05,300,0,0.669999892225,3.32029722379e-06,0.669999978802,-1.88199502124e-06,-8.65768552405e-08,5.20229224503e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.016,1,-0.40000012517,7.95889627625e-06,0,120,3,1.13119302213e-05,0,1.13119302213e-05,1.13119302213e-05,200,0,-0.400000122531,7.95889645085e-06,-0.400000005334,-6.05182377342e-07,-1.17197130833e-07,8.56407882819e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.016,2,0.66999989748,6.36711729385e-06,0,70,4,2.66873426275e-05,0,2.66873426275e-05,2.66873426275e-05,300,0,0.669999901975,6.36711716248e-06,0.669999975463,-1.66941935053e-06,-7.34877274589e-08,8.036536513e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.018,1,-0.400000095367,1.12150401037e-05,0,120,3,2.49534051281e-05,0,2.49534051281e-05,2.49534051281e-05,200,0,-0.400000103252,1.12150398956e-05,-0.400000006638,-6.51948108125e-07,-9.66145395909e-08,1.18669880038e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.018,2,0.66999989748,8.97203153727e-06,0,70,4,3.60516613728e-05,0,3.60516613728e-05,3.60516613728e-05,300,0,0.669999917398,8.97203191922e-06,0.669999972747,-1.35805294024e-06,-5.53486654287e-08,1.03300848595e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.02,1,-0.400000065565,1.3779253095e-05,0,120,3,3.64268267473e-05,0,3.64268267473e-05,3.64268267473e-05,200,0,-0.400000078133,1.37792528584e-05,-0.400000007971,-6.66774161335e-07,-7.01615889831e-08,1.44460270197e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.02,2,0.669999957085,1.10234022941e-05,0,70,4,4.70696038602e-05,0,4.70696038602e-05,4.70696038602e-05,300,0,0.669999937494,1.10234022901e-05,0.66999997078,-9.83658474642e-07,-3.32858267615e-08,1.20070607648e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.022,1,-0.400000035763,1.55468733283e-05,0,120,3,4.54636013881e-05,0,4.54636013881e-05,4.54636013881e-05,200,0,-0.400000048667,1.55468735856e-05,-0.400000009303,-6.66036339146e-07,-3.93637439311e-08,1.62129099247e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.022,2,0.669999957085,1.24374992083e-05,0,70,4,5.09367887506e-05,0,5.09367887506e-05,5.09367887506e-05,300,0,0.669999961066,1.24374988724e-05,0.669999969743,-5.18220080267e-07,-8.67676863692e-09,1.29557189526e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.024,1,-0.40000000596,1.64481280081e-05,0,120,3,5.18023376187e-05,0,5.18023376187e-05,5.18023376187e-05,200,0,-0.400000016524,1.64481275747e-05,-0.400000010573,-6.3481559361e-07,-5.95074384213e-09,1.70829431683e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.024,2,0.669999957085,1.31585020426e-05,0,70,4,5.19277087163e-05,0,5.19277087163e-05,5.19277087163e-05,300,0,0.669999986781,1.3158502064e-05,0.669999969656,-4.34272832184e-08,1.71247809266e-08,1.32019293472e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.026,1,-0.399999976158,1.64481280081e-05,0,120,3,5.53388883894e-05,0,5.53388883894e-05,5.53388883894e-05,200,0,-0.399999983476,1.64481275747e-05,-0.400000011724,-5.75530514032e-07,2.8247847339e-08,1.70236580888e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.026,2,0.670000016689,1.31585020426e-05,0,70,4,5.42098219005e-05,0,5.42098219005e-05,5.42098219005e-05,300,0,0.670000013219,1.3158502064e-05,0.669999970485,4.14614206201e-07,4.27335764552e-08,1.27438878578e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.028,1,-0.399999946356,1.55468733283e-05,0,120,3,5.61258857397e-05,0,5.61258857397e-05,5.61258857397e-05,200,0,-0.399999951333,1.55468735856e-05,-0.400000012737,-5.06504396869e-07,6.14042249825e-08,1.60533779824e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.028,2,0.670000016689,1.24374992083e-05,0,70,4,4.93298864303e-05,0,4.93298864303e-05,4.93298864303e-05,300,0,0.670000038934,1.24374988724e-05,0.669999972251,8.82700715255e-07,6.66828704476e-08,1.15547981571e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.03,1,-0.399999916553,1.3779253095e-05,0,120,3,5.42228332804e-05,0,5.42228332804e-05,5.42228332804e-05,200,0,-0.399999921867,1.37792528584e-05,-0.400000013566,-4.14519365838e-07,9.16990360311e-08,1.41937722242e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
