after3_dq_peak,after3_eta_u_peak,diverged,flags,ku_dq,ku_q,ku_scale,observer_gain_dq,observer_gain_q,out_dir,reason,returncode,win4_6_coord_rmse,win4_6_hip_rmse,win4_6_hip_tau_rms,win4_6_knee_rmse,win4_6_knee_tau_rms,win4_6_rmse
13.5942211955,0.0,False,4,0.0,0.0,0.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x0,ok,0,1.130189682980132,0.5895326152532258,11.554052544640824,0.9120282243780257,16.440799955936967,0.7679010960108866
13.5623771497,2.04925112586,False,4,1.0,12.0,1.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x1,ok,0,1.1261879689219887,0.5836414114820719,11.51036327217162,0.9148338516954836,16.465495912665386,0.7673194489274917
13.5560352415,6.98341706607,False,4,4.0,48.0,4.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x4,ok,0,1.11789096099987,0.5765263854935087,11.40509450089607,0.9227605489869211,16.496551068918794,0.76937302524096
13.5290321243,14.0023993474,False,4,8.0,96.0,8.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x8,ok,0,1.1259143622978245,0.5784836977776402,11.507435384920994,0.9411453240933642,16.534808234884277,0.7811523249844731
13.6214135421,22.4977766631,False,4,12.0,144.0,12.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x12,ok,0,1.1412428130878567,0.5127882080365643,11.085347907242546,0.9815003768506283,16.686251491249777,0.783037271162515
14.7543078238,22.6782366492,False,4,16.0,192.0,16.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x16,ok,0,1.1972529658826752,0.45344631959623743,10.982645303579568,1.0499565385730807,16.72699384002267,0.8087095577671065
14.2382195248,17.74470773,False,4,20.0,240.0,20.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x20,ok,0,1.2428508961505138,0.4040897346592198,10.243242096577369,1.068287952987064,17.06273120761997,0.8076285235658316
13.4998387535,55.8777734515,False,4,24.0,288.0,24.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x24,ok,0,1.2334181547636889,0.4024767003725562,10.09137203618821,1.0525317753081769,17.217639631447526,0.7968094604032268
13.3780837887,76.0242450579,False,4,32.0,384.0,32.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x32,ok,0,1.2181066278701986,0.4044450781725005,9.7549138092606,1.0466849148364432,17.426056546214912,0.7934497880156414
13.3268622336,128.710577414,False,4,64.0,768.0,64.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_knee_dist4_6_key\ku_x64,ok,0,1.3372433588347543,0.03888825812024393,3.628760147953406,1.3245439796049587,17.425357540474593,0.9369976121974293
