cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,4.84940607222,0.219325253009,5.26380607222,0.219325253009,3.94498265864,0.2,632.753354932,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-636.5184,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,-7.56641842605,-0.342059101086,-8.20941842605,-0.342059101086,-4.02758156744,-0.2,-986.840506632,0.643,0.000745872260646,0,0.000745872260646,0,0,987.648,4,0
10,0.02,1,-0.414639234543,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414639247383,-0.0335238187027,0.000236784203673,0.03395821664,-3.76503108757,-0.0249709206126,-1.8,-9.70083115299e-05,-0.00894598265692,-0.414429639947,0.0169797421795,2.13670747762e-11,-5.34177393538e-09,-0.414526648259,-0.414400000246,5.63492049257e-08,0.00803375952254,-0.434955484897,-0.000856453484874,-0.0204288366379,-0.00889021300741,1.94906264627,-1.8,-2.49591146158,-0.41440246318,0.000434397937324,0.000236784203673,0.03395821664,0.000239247056222,0.0335238437415,-1.2940905466,4,0
10,0.02,2,0.643269479275,0,-0.394434303045,0,0,0.643000000409,-3.12984354504e-08,0.643269494221,0.0277625417278,-0.000266415260513,-0.0283055367336,0.807488995555,0.0435888589707,-0.394434289775,9.32944897435e-05,0.00861102975043,0.64306707301,-0.0211776430194,-2.67087463257e-11,6.67718928406e-09,0.643160367499,0.643000000308,-7.04361927704e-08,-0.012566613269,0.63935613366,-0.00015185907963,-0.00380423383935,0.0124147541894,-4.75755014262,-0.394434289775,-0.394434289775,0.643003078961,-0.000542995005749,-0.000266415260513,-0.0283055367336,-0.000269493812501,-0.0277625730262,1.2455121443,4,0
20,0.04,1,-0.416103959084,0,-1.8153039217,0,0,-0.414399997759,3.83562947459e-08,-0.416103949783,-0.10248187953,0.0017081887435,0.102343445023,-3.76508231777,0.478614198969,-1.81530389775,-0.000110814600831,-0.010163695267,-0.41587126716,-0.0475890901276,-6.35007602057e-11,1.58751939653e-08,-0.415982081761,-0.414399997771,-5.3598054414e-08,-0.0577527853946,-0.433482851944,-0.000795080568046,-0.0175007701824,0.0569577048265,2.0217398571,-1.81530389775,-1.81530389775,-0.41439576104,-0.000138434507498,0.0017081887435,0.102343445023,0.00170395202409,0.102481917887,-1.47116422105,4,0
20,0.04,2,0.643826425076,0,-0.619434177876,0,0,0.642999997199,-4.79451551097e-08,0.643826401327,0.0211685353798,-0.000831700003597,-0.0209954930153,0.807504918592,0.0301408380043,-0.619434203505,0.000109797684982,0.0100658649685,0.643596290523,-0.0330402647278,7.93756171902e-11,-1.98439139138e-08,0.643706088208,0.642999997214,6.69972699349e-08,-0.0229743997593,0.637596253353,-0.000225203938746,-0.00610983485506,0.0227491958205,-5.62537750558,-0.619434203505,-0.619434203505,0.642994701323,0.000173042364471,-0.000831700003597,-0.0209954930153,-0.000826404127899,-0.0211685833249,1.4570799601,4,0
30,0.06,1,-0.418722391129,0,-1.34290587902,0,0,-0.414399972952,9.98840577442e-06,-0.418722394137,-0.151428169105,0.00434523860989,0.159107985359,-3.76276339311,1.05452098119,-1.34290583374,-0.000102828005685,-0.00943275594884,-0.418506319342,-0.100441266379,3.79151715579e-09,-9.47879284879e-07,-0.418609147348,-0.414399947731,1.54540247282e-05,-0.109874022328,-0.434343904861,-0.000821008757113,-0.0157347575133,0.109053013571,2.58410740264,-1.34290583374,-1.34290583374,-0.414377155527,0.00767981625359,0.00434523860989,0.159107985359,0.00432242118504,0.151438157511,-1.36533657818,4,0
30,0.06,2,0.644072473049,0,-0.447310715914,0,0,0.64299996619,-1.24855124484e-05,0.644072475438,0.00562937844126,-0.00110103106171,-0.015229152077,0.806774129055,0.0541741900127,-0.447310723122,9.85824241961e-05,0.00903778467676,0.64386583908,-0.0430320357345,-4.73939687495e-09,1.18484921167e-06,0.643964421504,0.642999934664,-1.93175367157e-05,-0.0339942510577,0.638828167953,-0.000186310439012,-0.0051362535518,0.0338079406187,-4.89795712986,-0.447310723122,-0.447310723122,0.642971444376,-0.00959977363577,-0.00110103106171,-0.015229152077,-0.0010725092475,-0.00564186395371,1.30825904219,4,0
40,0.08,1,-0.422118484974,0,-0.856800079346,0,0,-0.41439880784,0.000131973284938,-0.422118498883,-0.18216187688,0.00828743822013,0.23104927292,-3.756392538,1.63232046148,-0.856800057307,-9.54397710203e-05,-0.00875528539785,-0.42191792405,-0.134827490075,1.37005730649e-08,-3.42514326038e-06,-0.422013363821,-0.414398523762,0.00015231472383,-0.143582775473,-0.43510552966,-0.000730806790899,-0.0130921658393,0.142851968682,3.15373633853,-0.856800057307,-0.856800057307,-0.413831060663,0.04888739604,0.00828743822013,0.23104927292,0.00771969104266,0.182293850165,-1.26727201921,4,0
40,0.08,2,0.644054949284,0,-0.267569541931,0,0,0.6429985098,-0.000164966618242,0.644054932982,-0.00548575163056,-0.00176610725265,-0.0556234967164,0.80467656856,0.0865535303168,-0.267569553604,8.73328548476e-05,0.00800512802684,0.643872004015,-0.0485406503802,-1.71257168446e-08,4.28142920167e-06,0.64395933687,0.642998154702,-0.00019039341767,-0.0405355223533,0.64005259853,-0.000287712921161,-0.00390673833971,0.0402478094322,-4.15317654652,-0.267569553604,-0.267569553604,0.642288825729,-0.061109248347,-0.00176610725265,-0.0556234967164,-0.00105642318161,0.00532078501232,1.15879965248,4,0
