cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.0734073766524,0.0142080259728,0.340992623348,0.0142080259728,3.94498265864,0.2,40.9901549316,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-44.7552,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.0720203954378,-0.0237908168568,-0.570979604562,-0.0237908168568,-4.02758156744,-0.2,-68.6365066318,0.643,0.000745872260646,0,0.000745872260646,0,0,69.444,4,0
10,0.02,1,-0.414730370045,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414730384225,-0.0487379271564,0.000327921045984,0.0491723250938,-3.76503108757,0.00853604431733,-1.8,-0.000117290579949,-0.0108550355317,-0.414473430384,0.0137251470007,2.13670747762e-11,-5.34177393538e-09,-0.414590720964,-0.414400000246,5.63492049257e-08,0.00287011146903,-0.444802787586,-0.00126675776362,-0.0302120666222,-0.00413686923265,1.9551886539,-1.8,-3.64613234083,-0.41440246318,0.000434397937324,0.000327921045984,0.0491723250938,0.000330383898532,0.0487379521953,-0.11036270242,4,0
10,0.02,2,0.643580853939,0,0.507531702518,0,0,0.643000000409,-3.12984354504e-08,0.643580882579,0.0798653632155,-0.000577803618597,-0.0804083582212,0.807488995555,-0.188490952878,0.507531672992,0.000118320669977,0.0109653041475,0.643320133416,0.0162099668797,-2.67087463257e-11,6.67718928406e-09,0.643438454086,0.643000000308,-7.04361927704e-08,0.0271752710272,0.648790136638,0.000241224377776,0.00535168255199,-0.0269340466495,-1.31577950094,0.507531672992,0.507531672992,0.643003078961,-0.000542995005749,-0.000577803618597,-0.0804083582212,-0.000580882170586,-0.0798653945139,0.111466369685,4,0
20,0.04,1,-0.416966319084,0,-2.80814671516,0,0,-0.414399997759,3.83562947459e-08,-0.416966323725,-0.16774821958,0.00257056268501,0.167609785072,-3.76508231777,0.811230134521,-2.80814679138,-0.000156103693326,-0.0143162436656,-0.416638172748,-0.0904670565152,-6.35007602057e-11,1.58751939653e-08,-0.416794276441,-0.414399997771,-5.3598054414e-08,-0.104783300181,-0.444509199223,-0.00125451170468,-0.0277149227813,0.103528788476,1.09323749263,-2.80814679138,-2.80814679138,-0.41439576104,-0.000138434507498,0.00257056268501,0.167609785072,0.0025663259656,0.167748257936,-0.14570539187,4,0
20,0.04,2,0.646337628365,0,-0.269216150045,0,0,0.642999997199,-4.79451551097e-08,0.646337630193,0.175804897008,-0.00334292886984,-0.175631854643,0.807504918592,-0.920713042952,-0.269216155936,0.000167161197416,0.0153282913617,0.6459863265,0.0931304973325,7.93756171902e-11,-1.98439139138e-08,0.646153487697,0.642999997214,6.69972699349e-08,0.108458788694,0.648419728668,0.000225774199391,0.00226624097115,-0.108233014495,-4.79544928228,-0.269216155936,-0.269216155936,0.642994701323,0.000173042364471,-0.00334292886984,-0.175631854643,-0.00333763299414,-0.175804944953,0.156008031576,4,0
30,0.06,1,-0.421265870333,0,-1.85467123985,0,0,-0.414399972952,9.98840577442e-06,-0.42126585639,-0.243430880307,0.00688870086292,0.25111069656,-3.76276339311,1.79940595598,-1.85467129657,-0.000116879942815,-0.0106736785275,-0.421024812452,-0.187396257627,3.79151715579e-09,-9.47879284879e-07,-0.421141692395,-0.414399947731,1.54540247282e-05,-0.198069936154,-0.444797842644,-0.00125658949805,-0.0236561502487,0.196813346656,2.20170089848,-1.85467129657,-1.85467129657,-0.414377155527,0.00767981625359,0.00688870086292,0.25111069656,0.00686588343806,0.243440868712,-0.108686140571,4,0
30,0.06,2,0.64992171526,0,-0.728372514248,0,0,0.64299996619,-1.24855124484e-05,0.649921743538,0.167104240616,-0.00695029916231,-0.176704014251,0.806774129055,-1.42567386655,-0.728372521925,0.000117878226974,0.010749103991,0.649680129989,0.111220175175,-4.73939687495e-09,1.18484921167e-06,0.649798008216,0.642999934664,-1.93175367157e-05,0.121969279166,0.648800739941,0.000229213393834,-0.000997268275531,-0.121740065772,-6.75151122186,-0.728372521925,-0.728372521925,0.642971444376,-0.00959977363577,-0.00695029916231,-0.176704014251,-0.0069217773481,-0.167116726128,0.109472784432,4,0
40,0.08,1,-0.426456511021,0,-1.07168388367,0,0,-0.41439880784,0.000131973284938,-0.426456507451,-0.267036934028,0.0126254467883,0.315924330067,-3.756392538,2.60678716811,-1.07168382877,-8.3647399974e-05,-0.00765418021384,-0.426282644358,-0.226351666095,1.37005730649e-08,-3.42514326038e-06,-0.426366291758,-0.414398523762,0.00015231472383,-0.234005846309,-0.444999606428,-0.00114305998954,-0.0186333146697,0.232862786319,3.09690010227,-1.07168382877,-1.07168382877,-0.413831060663,0.04888739604,0.0126254467883,0.315924330067,0.0120576996108,0.267168907312,-0.0779215411217,4,0
40,0.08,2,0.652549445629,0,-0.74823564291,0,0,0.6429985098,-0.000164966618242,0.652549419294,0.0982854012128,-0.0102605935645,-0.15939464956,0.80467656856,-1.48312272623,-0.748235645839,7.50385567632e-05,0.00685392489263,0.652394663008,0.0622970513965,-1.71257168446e-08,4.28142920167e-06,0.652469701564,0.642998154702,-0.00019039341767,0.0691509762892,0.649111955183,8.976027271e-05,-0.0033577463813,-0.0690612160164,-6.66850155277,-0.748235645839,-0.748235645839,0.642288825729,-0.061109248347,-0.0102605935645,-0.15939464956,-0.00955090949345,-0.0984503678311,0.0697894881641,4,0
