cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414747774601,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.41474778032,-0.0526599248011,0.000345317140156,0.0530943227384,-3.76503108757,-0.389333236834,-1.8,0,0,-0.413668515378,0.0603110336298,2.13670747762e-11,-5.34177393538e-09,-0.413668515378,-0.414400000246,5.63492049257e-08,0.0603110336298,-0.445720882858,-0.00130501173326,-0.0320523674799,-0.061616045363,1.88380949569,-1.8,-4.1543643244,-0.41440246318,0.000434397937324,0.000345317140156,0.0530943227384,0.000347779992705,0.0526599498399,0,4,0
10,0.02,2,0.643640220165,0,0.945381820202,0,0,0.643000000409,-3.12984354504e-08,0.64364021215,0.0932586923479,-0.000637133189733,-0.0938016873536,0.807488995555,0.137892812169,0.945381807724,0,0,0.642614923803,-0.0183367552034,-2.67087463257e-11,6.67718928406e-09,0.642614923803,0.643000000308,-7.04361927704e-08,-0.0183367552034,0.649717413197,0.000279860901064,0.00710248939335,0.0186166161044,0.631565731427,0.945381807724,0.945381807724,0.643003078961,-0.000542995005749,-0.000637133189733,-0.0938016873536,-0.000640211741721,-0.0932587236463,0,4,0
20,0.04,1,-0.41732826829,0,-3.79999995232,0,0,-0.414399997759,3.83562947459e-08,-0.417328265754,-0.203410734768,0.00293250471369,0.20327230026,-3.76508231777,-0.664298312729,-3.8,0,0,-0.4121825451,0.07964083707,-6.35007602057e-11,1.58751939653e-08,-0.4121825451,-0.414399997771,-5.3598054414e-08,0.07964083707,-0.445721306469,-0.00130501617326,-0.033538761369,-0.0809458532432,-0.148237286146,-3.8,-4.4293806305,-0.41439576104,-0.000138434507498,0.00293250471369,0.20327230026,0.00292826799428,0.203410773124,0,4,0
20,0.04,2,0.647540688515,0,0.917289555073,0,0,0.642999997199,-4.79451551097e-08,0.647540666866,0.284388728394,-0.00454596554292,-0.284215686029,0.807504918592,0.109784662404,0.917289580996,0,0,0.64237767774,-0.00702131340406,7.93756171902e-11,-1.98439139138e-08,0.64237767774,0.642999997214,6.69972699349e-08,-0.00702131340406,0.649717542449,0.000279849773594,0.00733986470923,0.00730116317765,0.478362801417,0.917289580996,0.917289580996,0.642994701323,0.000173042364471,-0.00454596554292,-0.284215686029,-0.00454066966723,-0.284388776339,0,4,0
30,0.06,1,-0.423687368631,0,-4.53315114975,0,0,-0.414399972952,9.98840577442e-06,-0.423687362923,-0.413752060298,0.00931020739568,0.421431876552,-3.76276339311,-0.770387592206,-4.53315098532,0,0,-0.410718447281,0.0657308907399,3.79151715579e-09,-9.47879284879e-07,-0.410718447281,-0.414399947731,1.54540247282e-05,0.0657308907399,-0.44570199078,-0.00129426233707,-0.0349835434995,-0.067025153077,-0.88644366418,-4.53315098532,-4.53315098532,-0.414377155527,0.00767981625359,0.00931020739568,0.421431876552,0.00928738997083,0.413762048704,0,4,0
30,0.06,2,0.655607163906,0,0.881947815418,0,0,0.64299996619,-1.24855124484e-05,0.65560714868,0.498489499113,-0.0126357043044,-0.508089272749,0.806774129055,0.0751736780735,0.881947807129,0,0,0.642331214173,0.00100282727481,-4.73939687495e-09,1.18484921167e-06,0.642331214173,0.642999934664,-1.93175367157e-05,0.00100282727481,0.649711432082,0.000267158899702,0.00738021790837,-0.000735668375103,0.305850910698,0.881947807129,0.881947807129,0.642971444376,-0.00959977363577,-0.0126357043044,-0.508089272749,-0.0126071824902,-0.498501984625,0,4,0
40,0.08,1,-0.434191286564,0,-4.56931638718,0,0,-0.41439880784,0.000131973284938,-0.434191285181,-0.613758582373,0.0203602245187,0.662645978413,-3.756392538,-0.81292405774,-4.56931659574,0,0,-0.409602077708,0.0475952616487,1.37005730649e-08,-3.42514326038e-06,-0.409602077708,-0.414398523762,0.00015231472383,0.0475952616487,-0.445647827221,-0.00117006918924,-0.0360457495129,-0.048765330838,-0.921623518269,-4.56931659574,-4.56931659574,-0.413831060663,0.04888739604,0.0203602245187,0.662645978413,0.0197924773412,0.613890555658,0,4,0
40,0.08,2,0.667639136314,0,0.84664940834,0,0,0.6429985098,-0.000164966618242,0.667639132595,0.680536185971,-0.0253503068663,-0.741645434318,0.80467656856,0.0419728222234,0.846649390784,0,0,0.642407488422,0.00562498201677,-1.71257168446e-08,4.28142920167e-06,0.642407488422,0.642998154702,-0.00019039341767,0.00562498201677,0.649692526315,0.000113950736545,0.00728503789321,-0.00551103128022,0.144869877997,0.846649390784,0.846649390784,0.642288825729,-0.061109248347,-0.0253503068663,-0.741645434318,-0.0246406227953,-0.680701152589,0,4,0
