cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414728224277,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414728223908,-0.0482710129386,0.000325760728646,0.0487054108759,-3.76503108757,0.154391486505,-1.8,-7.4558435101e-05,-0.0131157916307,-0.41461898324,-0.0107174882823,2.13670747762e-11,-5.34177393538e-09,-0.414693541675,-0.414400000246,5.63492049257e-08,-0.0238332799129,-0.445604331098,-0.00130015540992,-0.0309107894227,0.022533124503,1.98334317759,-1.8,-3.59662910821,-0.41440246318,0.000434397937324,0.000325760728646,0.0487054108759,0.000328223581194,0.0482710379775,-0.0140104928519,4,0
10,0.02,2,0.643573522568,0,0.46527042985,0,0,0.643000000409,-3.12984354504e-08,0.64357351369,0.0782703296786,-0.000570434729078,-0.0788133246844,0.807488995555,-0.327639156238,0.465270441764,7.77477648955e-05,0.0136464243741,0.643459317728,0.0389918135627,-2.67087463257e-11,6.67718928406e-09,0.643537065493,0.643000000308,-7.04361927704e-08,0.0526382379368,0.64959612878,0.000274807383714,0.00605906328774,-0.0523634305531,-1.58831679315,0.465270441764,0.465270441764,0.643003078961,-0.000542995005749,-0.000570434729078,-0.0788133246844,-0.000573513281066,-0.0782703609771,0.0145793975528,4,0
20,0.04,1,-0.416935712099,0,-2.75042295456,0,0,-0.414399997759,3.83562947459e-08,-0.416935714779,-0.165087445783,0.00253995373949,0.164949011276,-3.76508231777,0.999255786866,-2.75042287893,-8.08264544631e-05,-0.0144337345256,-0.416819671748,-0.125405373844,-6.35007602057e-11,1.58751939653e-08,-0.416900498203,-0.414399997771,-5.3598054414e-08,-0.13983910837,-0.44559316517,-0.00129967695247,-0.0286926669668,0.138539431417,1.18718561294,-2.75042287893,-2.75042287893,-0.41439576104,-0.000138434507498,0.00253995373949,0.164949011276,0.00253571702008,0.16508748414,-0.0154036519792,4,0
20,0.04,2,0.646241128445,0,-0.301226943731,0,0,0.642999997199,-4.79451551097e-08,0.646241133384,0.168850499337,-0.00324643206032,-0.168677456972,0.807504918592,-1.09194050247,-0.301226935405,8.799922653e-05,0.0157353608083,0.646115087597,0.125778540747,7.93756171902e-11,-1.98439139138e-08,0.646203086824,0.642999997214,6.69972699349e-08,0.141513901556,0.649577857029,0.000274029547762,0.00337477020528,-0.141239872008,-5.05646397944,-0.301226935405,-0.301226935405,0.642994701323,0.000173042364471,-0.00324643206032,-0.168677456972,-0.00324113618462,-0.168850547282,0.0167913515266,4,0
30,0.06,1,-0.421155512333,0,-1.83396291733,0,0,-0.414399972952,9.98840577442e-06,-0.421155505772,-0.238953568018,0.00677835024504,0.246633384272,-3.76276339311,1.91854533869,-1.83396287715,-5.36936751545e-05,-0.00961085317362,-0.421078302476,-0.212519669382,3.79151715579e-09,-9.47879284879e-07,-0.421131996151,-0.414399947731,1.54540247282e-05,-0.222130522556,-0.44561667908,-0.0012907076829,-0.0244846829293,0.220839814873,2.2460940444,-1.83396287715,-1.83396287715,-0.414377155527,0.00767981625359,0.00677835024504,0.246633384272,0.00675553282019,0.238963556424,-0.0102551772755,4,0
30,0.06,2,0.649656295776,0,-0.710284054279,0,0,0.64299996619,-1.24855124484e-05,0.649656275431,0.158694898022,-0.00668483105523,-0.168294671657,0.806774129055,-1.50684524637,-0.710284045312,5.33006983514e-05,0.00957331961878,0.649579946302,0.132584504691,-4.73939687495e-09,1.18484921167e-06,0.649633247001,0.642999934664,-1.93175367157e-05,0.142157824309,0.649626471849,0.000263618889997,-6.77515179615e-06,-0.141894205419,-6.7569004097,-0.710284045312,-0.710284045312,0.642971444376,-0.00959977363577,-0.00668483105523,-0.168294671657,-0.00665630924102,-0.158707383534,0.010212927999,4,0
40,0.08,1,-0.426265954971,0,-1.0727391243,0,0,-0.41439880784,0.000131973284938,-0.426265960839,-0.263636179409,0.0124349001757,0.312523575449,-3.756392538,2.67590026866,-1.07273910874,-4.07859915869e-05,-0.0072637287004,-0.426206967501,-0.243409656081,1.37005730649e-08,-3.42514326038e-06,-0.426247753493,-0.414398523762,0.00015231472383,-0.250673384782,-0.445583329524,-0.00116738178522,-0.019335576031,0.249506002996,3.11060995919,-1.07273910874,-1.07273910874,-0.413831060663,0.04888739604,0.0124349001757,0.312523575449,0.0118671529983,0.263768152694,-0.00775316059944,4,0
40,0.08,2,0.652158439159,0,-0.714385926723,0,0,0.6429985098,-0.000164966618242,0.652158409909,0.0941175326306,-0.00986958417981,-0.155226780978,0.80467656856,-1.51220907772,-0.71438592539,3.59258782982e-05,0.00642230568874,0.652106672738,0.0763964116485,-1.71257168446e-08,4.28142920167e-06,0.652142598616,0.642998154702,-0.00019039341767,0.0828187173372,0.649635513494,0.000111575202324,-0.00250708512263,-0.0827071421349,-6.58185632443,-0.71438592539,-0.71438592539,0.642288825729,-0.061109248347,-0.00986958417981,-0.155226780978,-0.00915990010877,-0.0942824992489,0.00685341622832,4,0
