cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414728313684,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414728302017,-0.0482869980752,0.000325838837639,0.0487213960125,-3.76503108757,0.153072505418,-1.8,-7.50685249075e-05,-0.0131098987722,-0.414617922759,-0.0104727943094,2.13670747762e-11,-5.34177393538e-09,-0.414692991284,-0.414400000246,5.63492049257e-08,-0.0235826930816,-0.445604329199,-0.00130015533081,-0.0309113379153,0.0222825377508,1.98308536772,-1.8,-3.59794786108,-0.41440246318,0.000434397937324,0.000325838837639,0.0487213960125,0.000328301690187,0.0482870231141,-0.0140107210711,4,0
10,0.02,2,0.643573760986,0,0.466419547796,0,0,0.643000000409,-3.12984354504e-08,0.643573780176,0.0783249629857,-0.000570701214881,-0.0788679579915,0.807488995555,-0.326493268472,0.466419552303,7.82619997848e-05,0.0136370307819,0.643458417134,0.0387813022193,-2.67087463257e-11,6.67718928406e-09,0.643536679133,0.643000000308,-7.04361927704e-08,0.0524183330012,0.64959615559,0.000274808500794,0.00605947645671,-0.0521435245004,-1.58283692285,0.466419552303,0.466419552303,0.643003078961,-0.000542995005749,-0.000570701214881,-0.0788679579915,-0.000573779766869,-0.0783249942842,0.0145761747793,4,0
20,0.04,1,-0.416936546564,0,-2.75159192085,0,0,-0.414399997759,3.83562947459e-08,-0.416936541574,-0.165150175521,0.00254078053413,0.165011741013,-3.76508231777,0.998071659934,-2.75159199925,-8.14666973687e-05,-0.0144410582149,-0.41681917507,-0.125157779231,-6.35007602057e-11,1.58751939653e-08,-0.416900641767,-0.414399997771,-5.3598054414e-08,-0.139598837446,-0.445593040331,-0.00129967175088,-0.0286923985644,0.138299165695,1.1857855662,-2.75159199925,-2.75159199925,-0.41439576104,-0.000138434507498,0.00254078053413,0.165011741013,0.00253654381472,0.165150213877,-0.0154186585833,4,0
20,0.04,2,0.646243810654,0,-0.30067718029,0,0,0.642999997199,-4.79451551097e-08,0.646243795639,0.169020370011,-0.00324909431591,-0.168847327647,0.807504918592,-1.09137525548,-0.300677180981,8.86960431818e-05,0.0157424915786,0.646116312332,0.12561224335,7.93756171902e-11,-1.98439139138e-08,0.646205008375,0.642999997214,6.69972699349e-08,0.141354734929,0.649577728148,0.00027402417772,0.00337271977313,-0.141080710751,-5.053665059,-0.300677180981,-0.300677180981,0.642994701323,0.000173042364471,-0.00324909431591,-0.168847327647,-0.00324379844021,-0.169020417956,0.0168068440968,4,0
30,0.06,1,-0.421157985926,0,-1.83426237106,0,0,-0.414399972952,9.98840577442e-06,-0.421157977824,-0.239038377522,0.00678082229694,0.246718193776,-3.76276339311,1.91823445583,-1.83426242536,-5.41152527165e-05,-0.00961712889769,-0.421079908504,-0.212402554555,3.79151715579e-09,-9.47879284879e-07,-0.421134023757,-0.414399947731,1.54540247282e-05,-0.222019683453,-0.445616584789,-0.00129070375408,-0.0244825610321,0.220728979699,2.24571696385,-1.83426242536,-1.83426242536,-0.414377155527,0.00767981625359,0.00678082229694,0.246718193776,0.00675800487208,0.239048365928,-0.0102665119303,4,0
30,0.06,2,0.649662554264,0,-0.7108528018,0,0,0.64299996619,-1.24855124484e-05,0.649662580287,0.158859120217,-0.00669113591137,-0.168458893853,0.806774129055,-1.507401781,-0.710852815491,5.37252379051e-05,0.00958046068711,0.649585388834,0.132547860847,-4.73939687495e-09,1.18484921167e-06,0.649639114072,0.642999934664,-1.93175367157e-05,0.142128321534,0.649626370063,0.000263614648908,-1.27440088675e-05,-0.141864706885,-6.75916324714,-0.710852815491,-0.710852815491,0.642971444376,-0.00959977363577,-0.00669113591137,-0.168458893853,-0.00666261409715,-0.15887160573,0.010225163542,4,0
40,0.08,1,-0.426269859076,0,-1.0727339983,0,0,-0.41439880784,0.000131973284938,-0.426269855882,-0.263693811906,0.0124387952193,0.312581207946,-3.756392538,2.67590183991,-1.07273405635,-4.10784392854e-05,-0.0072637004774,-0.426210237476,-0.243324500422,1.37005730649e-08,-3.42514326038e-06,-0.426251315915,-0.414398523762,0.00015231472383,-0.250588200899,-0.445583300565,-0.00116738057858,-0.0193319846496,0.249420820321,3.11058503274,-1.07273405635,-1.07273405635,-0.413831060663,0.04888739604,0.0124387952193,0.312581207946,0.0118710480419,0.263825785191,-0.00775664174883,4,0
40,0.08,2,0.652166962624,0,-0.715083181858,0,0,0.6429985098,-0.000164966618242,0.652166939057,0.0941828649125,-0.00987811332807,-0.155292113259,0.80467656856,-1.51290331201,-0.715083182842,3.61839419026e-05,0.00642223208722,0.652114654973,0.0763375649368,-1.71257168446e-08,4.28142920167e-06,0.652150838915,0.642998154702,-0.00019039341767,0.082759797024,0.649635488344,0.000111574154434,-0.00251535057078,-0.0826482228696,-6.58455843663,-0.715083182842,-0.715083182842,0.642288825729,-0.061109248347,-0.00987811332807,-0.155292113259,-0.00916842925703,-0.0943478315307,0.00685643939005,4,0
