cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414526432753,0,-0.20000000298,0,0,-0.414400000327,2.50388597634e-08,-0.414526419411,-0.0166014698974,0.000123956231645,0.0170358678347,-3.76503108757,3.9277670872e+14,-0.2,-3.27292049095e+12,-5249961263.32,2.53,0,2.13670747762e-11,-5.34177393538e-09,-3.27292049095e+12,-0.414400000246,5.63492049257e-08,-5249961263.32,326768492361,13615353848.4,3.59968898331e+12,18865315111.7,5223398622.78,-0.2,4.32057004573e+14,-0.41440246318,0.000434397937324,0.000123956231645,0.0170358678347,0.000126419084193,0.0166014949362,-3.92802958527e+13,4,0
10,0.02,2,0.643222928047,0,0.149528592825,0,0,0.643000000409,-3.12984354504e-08,0.643222916655,0.0296031252884,-0.000219837693891,-0.0301461202941,0.807488995555,-3.03717233189e+14,0.149528588884,2.53080873376e+12,4037027583.22,-0.26,0,-2.67087463257e-11,6.67718928406e-09,2.53080873376e+12,0.643000000308,-7.04361927704e-08,4037027583.22,-252675841935,-10528160080.7,-2.7834845757e+12,-14565187663.9,-16138530510.1,0.149528588884,-3.34090975022e+14,0.643003078961,-0.000542995005749,-0.000219837693891,-0.0301461202941,-0.00022291624588,-0.0296031565868,3.03737418327e+13,4,0
20,0.04,1,-0.415079891682,0,-0.20000000298,0,0,-0.414399997759,3.83562947459e-08,-0.415079877025,-0.0371449033799,0.000684115985233,0.0370064688724,-3.76508231777,9.63417816404e+33,-0.2,-8.02848180288e+31,-1.16601400783e+23,2.53,0,-6.35007602057e-11,1.58751939653e-08,-8.02848180288e+31,-0.414399997771,-5.3598054414e-08,-1.16601400783e+23,8.01456762395e+30,3.33940317665e+29,8.82993856528e+31,3.33940434266e+29,1.16011445459e+23,-0.2,1.05975959805e+34,-0.41439576104,-0.000138434507498,0.000684115985233,0.0370064688724,0.000679879265824,0.0371449417362,-9.63417816463e+32,4,0
20,0.04,2,0.644202113152,0,0.149528592825,0,0,0.642999997199,-4.79451551097e-08,0.644202141392,0.0654896053693,-0.00120744006831,-0.0653165630049,0.807504918592,-7.44969586264e+33,0.149528588884,6.20807988516e+31,8.96621989363e+22,-0.26,0,7.93756171902e-11,-1.98439139138e-08,6.20807988516e+31,0.642999997214,6.69972699349e-08,8.96621989363e+22,-6.19732064867e+30,-2.58221693695e+29,-6.82781195003e+31,-2.58221783357e+29,-3.58436028119e+23,0.149528588884,-8.19466544895e+33,0.642994701323,0.000173042364471,-0.00120744006831,-0.0653165630049,-0.00120214419262,-0.0654896533145,7.44969586309e+32,4,0
30,0.06,1,-0.416018903255,0,-0.20000000298,0,0,-0.414399972952,9.98840577442e-06,-0.416018896469,-0.0554330742427,0.00164174094206,0.0631128904963,-3.76276339311,2.36326621087e+53,-0.2,-1.96938850905e+51,-2.58971180597e+36,2.53,0,3.79151715579e-09,-9.47879284879e-07,-1.96938850905e+51,-0.414399947731,1.54540247282e-05,-2.58971180597e+36,1.96597535739e+50,8.19156398914e+48,2.16598604479e+51,8.19156398914e+48,2.57660892507e+36,-0.2,2.59959283195e+53,-0.414377155527,0.00767981625359,0.00164174094206,0.0631128904963,0.0016189235172,0.0554430626484,-2.36326621087e+52,4,0
30,0.06,2,0.645842909813,0,0.149528592825,0,0,0.64299996619,-1.24855124484e-05,0.645842928402,0.0963766220558,-0.00287148402583,-0.105976395692,0.806774129055,-1.82741217919e+53,0.149528588884,1.52284348265e+51,1.99139335871e+36,-0.26,0,-4.73939687495e-09,1.18484921167e-06,1.52284348265e+51,0.642999934664,-1.93175367157e-05,1.99139335871e+36,-1.52020423918e+50,-6.33418432993e+48,-1.67486390657e+51,-6.33418432993e+48,-7.96084787554e+36,0.149528588884,-2.0101533971e+53,0.642971444376,-0.00959977363577,-0.00287148402583,-0.105976395692,-0.00284296221162,-0.0963891075682,1.82741217919e+52,4,0
40,0.08,1,-0.417301565409,0,-0.20000000298,0,0,-0.41439880784,0.000131973284938,-0.417301565643,-0.0717503923052,0.00347050498026,0.120637788345,-3.756392538,5.79709767523e+72,-0.2,-4.83091472936e+70,-5.75173813777e+49,2.53,0,1.37005730649e-08,-3.42514326038e-06,-4.83091472936e+70,-0.414398523762,0.00015231472383,-5.75173813777e+49,4.82254226016e+69,2.0093926084e+68,5.31316895538e+70,2.0093926084e+68,5.72263669891e+49,-0.2,6.37680744276e+72,-0.413831060663,0.04888739604,0.00347050498026,0.120637788345,0.00290275780279,0.0718823655902,-5.79709767523e+71,4,0
40,0.08,2,0.648052811623,0,0.149528592825,0,0,0.6429985098,-0.000164966618242,0.64805279015,0.122932118909,-0.00576396442118,-0.184041367256,0.80467656856,-4.48264645216e+72,0.149528588884,3.73553871014e+70,4.42287558877e+49,-0.26,0,-1.71257168446e-08,4.28142920167e-06,3.73553871014e+70,0.642998154702,-0.00019039341767,4.42287558877e+49,-3.72906463958e+69,-1.55377693316e+68,-4.10844517409e+70,-1.55377693316e+68,-1.76810069094e+50,0.149528588884,-4.93091109738e+72,0.642288825729,-0.061109248347,-0.00576396442118,-0.184041367256,-0.00505428035014,-0.123097085527,4.48264645216e+71,4,0
