cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414726167917,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414726156796,-0.0478881262004,0.000323693616301,0.0483225241378,-3.76503108757,0.184195305882,-1.8,-8.48946039438e-05,-0.0131763189911,-0.414630571956,-0.01609152756,2.13670747762e-11,-5.34177393538e-09,-0.41471546656,-0.414400000246,5.63492049257e-08,-0.0292678465511,-0.445602795752,-0.00130009143716,-0.0308873291918,0.0279677551139,1.98908848304,-1.8,-3.56664072745,-0.41440246318,0.000434397937324,0.000323693616301,0.0483225241378,0.000326156468849,0.0478881512393,-0.0141950542384,4,0
10,0.02,2,0.643566429615,0,0.439853429794,0,0,0.643000000409,-3.12984354504e-08,0.64356645675,0.0769604759668,-0.000563377789314,-0.0775034709726,0.807488995555,-0.352887592494,0.439853424944,8.14320675207e-05,0.0137707933066,0.643469615504,0.0435815619742,-2.67087463257e-11,6.67718928406e-09,0.643551047572,0.643000000308,-7.04361927704e-08,0.0573523552808,0.649594726377,0.000274748950243,0.00604367880497,-0.0570776063306,-1.70902521912,0.439853424944,0.439853424944,0.643003078961,-0.000542995005749,-0.000563377789314,-0.0775034709726,-0.000566456341302,-0.0769605072653,0.0147479781169,4,0
20,0.04,1,-0.416917175055,0,-2.71786284447,0,0,-0.414399997759,3.83562947459e-08,-0.416917160513,-0.163766075723,0.00252139947269,0.163627641215,-3.76508231777,1.03095388214,-2.71786294858,-0.00017057651061,-0.0142185689193,-0.416780295781,-0.13075118038,-6.35007602057e-11,1.58751939653e-08,-0.416950872292,-0.414399997771,-5.3598054414e-08,-0.144969749299,-0.445585995658,-0.00129937822281,-0.0286351233663,0.143670371076,1.22546218552,-2.71786294858,-2.71786294858,-0.41439576104,-0.000138434507498,0.00252139947269,0.163627641215,0.00251716275328,0.163766114079,-0.0162654870466,4,0
20,0.04,2,0.646180868149,0,-0.317679286003,0,0,0.642999997199,-4.79451551097e-08,0.646180880991,0.165204758363,-0.00318617966738,-0.165031715998,0.807504918592,-1.10793340197,-0.317679298319,0.000145430607383,0.0155056476523,0.646050688594,0.12937405674,7.93756171902e-11,-1.98439139138e-08,0.646196119202,0.642999997214,6.69972699349e-08,0.144879704393,0.649574034803,0.000273870288346,0.00337791560168,-0.144605834104,-5.13556240708,-0.317679298319,-0.317679298319,0.642994701323,0.000173042364471,-0.00318617966738,-0.165031715998,-0.00318088379168,-0.165204806308,0.0172508149409,4,0
30,0.06,1,-0.421102434397,0,-1.78975903988,0,0,-0.414399972952,9.98840577442e-06,-0.421102446254,-0.237316408353,0.006725290727,0.244996224606,-3.76276339311,1.95711162963,-1.7897590001,-0.000538367296024,-0.00943235583032,-0.420815059081,-0.215097099497,3.79151715579e-09,-9.47879284879e-07,-0.421353426377,-0.414399947731,1.54540247282e-05,-0.224529455328,-0.445569780617,-0.00128875358027,-0.0242163542403,0.223240701748,2.29587156709,-1.7897590001,-1.7897590001,-0.414377155527,0.00767981625359,0.006725290727,0.244996224606,0.00670247330214,0.237326396758,-0.0158927633826,4,0
30,0.06,2,0.649518787861,0,-0.724442780018,0,0,0.64299996619,-1.24855124484e-05,0.649518812558,0.155474231709,-0.00654736818164,-0.165074005345,0.806774129055,-1.51720095337,-0.724442750255,0.000387976652658,0.00936020610929,0.649301254312,0.133525144454,-4.73939687495e-09,1.18484921167e-06,0.649689230965,0.642999934664,-1.93175367157e-05,0.142885350563,0.649594835124,0.000262300693137,-9.43958408856e-05,-0.14262304987,-6.81743145893,-0.724442750255,-0.724442750255,0.642971444376,-0.00959977363577,-0.00654736818164,-0.165074005345,-0.00651884636743,-0.155486717221,0.0140159259412,4,0
40,0.08,1,-0.426188409328,0,-1.09354805946,0,0,-0.41439880784,0.000131973284938,-0.426188411715,-0.263828205178,0.0123573510519,0.312715601218,-3.756392538,2.83280343274,-1.09354811346,-0.00238984798326,-0.00720342433875,-0.425055517282,-0.246107910725,1.37005730649e-08,-3.42514326038e-06,-0.427445365265,-0.414398523762,0.00015231472383,-0.253311335063,-0.445349332107,-0.00115763189283,-0.0179039668414,0.252153703171,3.11095051349,-1.09354811346,-0.88770750512,-0.413831060663,0.04888739604,0.0123573510519,0.312715601218,0.0117896038745,0.263960178463,-0.0358816001378,4,0
40,0.08,2,0.651978850365,0,-0.813706099987,0,0,0.6429985098,-0.000164966618242,0.651978853292,0.0942968967343,-0.00969002756252,-0.155406145081,0.80467656856,-1.60685056349,-0.81370611256,0.00166241932863,0.00634712784498,0.651184605632,0.0784936543916,-1.71257168446e-08,4.28142920167e-06,0.65284702496,0.642998154702,-0.00019039341767,0.0848407822366,0.649473771433,0.00010483594979,-0.00337325352735,-0.0847359462868,-6.99983064479,-0.81370611256,-0.828470154716,0.642288825729,-0.061109248347,-0.00969002756252,-0.155406145081,-0.00898034349148,-0.0944618633525,0.0262961597885,4,0
