family,method,scan,group,ko_scale,ku_scale,target,disturbance_method,repeat,status,returncode,config,log_path,duration_s,rows_total,rows_steady,flag_nonzero_rows,sat_rows,max_lowstate_gap_s,hip_rmse_rad,hip_vel_rmse_rad_s,hip_max_abs_err_rad,hip_tau_est_rms_nm,hip_tau_est_diff_rms_nm_per_sample,hip_tau_cmd_rms_nm,hip_tau_cmd_diff_rms_nm_per_sample,hip_max_abs_tau_est_nm,hip_max_abs_tau_cmd_nm,hip_max_abs_dq_rad_s,hip_ref_acc_rms_rad_s2,hip_ref_jerk_rms_rad_s3,hip_eta_q_rms,hip_eta_dq_rms,hip_eta_u_rms_nm,knee_rmse_rad,knee_vel_rmse_rad_s,knee_max_abs_err_rad,knee_tau_est_rms_nm,knee_tau_est_diff_rms_nm_per_sample,knee_tau_cmd_rms_nm,knee_tau_cmd_diff_rms_nm_per_sample,knee_max_abs_tau_est_nm,knee_max_abs_tau_cmd_nm,knee_max_abs_dq_rad_s,knee_ref_acc_rms_rad_s2,knee_ref_jerk_rms_rad_s3,knee_eta_q_rms,knee_eta_dq_rms,knee_eta_u_rms_nm,coord_rmse_rad,coord_max_abs_rad,condition_key
P1,pd,,,,,,,r01,ok,0,config/h1_real_p1_lite_hip_knee_pd.yaml,data/20260623_165407/h1_real_p1_lite_hip_knee_pd_log.csv,7.998739792000379,7834,4898,4898,4898,nan,0.03415053098355303,0.1994302077196641,0.05661461157613068,3.7369012317214154,0.4100451065055062,0.0,0.0,6.85546875,0.0,1.3134316205978394,4.167147053073357,252.28210442479568,0.3231806023686177,0.7216084080800415,0.0,0.02694157729701194,0.20440516737756184,0.053467778414518996,2.687492136076314,0.6494665381966437,0.0,0.0,6.65625,0.0,1.3971288204193115,5.208933816341702,315.3526305309971,0.5304452733140776,0.9020105101000512,0.0,0.03091351408134206,0.052910448073264504,P1:pd
P1,eid,,,,,,,r01,ok,0,config/h1_real_p1_lite_hip_knee_eid.yaml,data/20260623_165421/h1_real_p1_lite_hip_knee_eid_log.csv,7.998906353000166,7798,4876,4876,4876,nan,0.012426791028321163,0.16717221236390298,0.02800332714629361,3.916826617774595,0.5359978207553876,3.929250885213207,0.1854936822725127,8.671875,8.501599311828613,1.5735026597976685,4.166678127118364,251.75579496021632,0.0005632158678474029,0.016118110401289788,0.020362261530382078,0.01786134811245672,0.19033427610286602,0.046124048734196677,2.783918943787214,0.7790515847436735,2.793486873478414,0.1369077101528667,9.375,8.033604621887207,1.4541698694229126,5.20834765889796,314.69474370027376,0.0004924283039960543,0.015509402685289646,0.01798039341569238,0.017941851609836877,0.03738160203382179,P1:eid
P1,pd,,,,,,,r02,ok,0,config/h1_real_p1_lite_hip_knee_pd.yaml,data/20260623_165434/h1_real_p1_lite_hip_knee_pd_log.csv,7.999527046000367,7810,4878,4878,4878,nan,0.03413316332161792,0.19870656242644574,0.057586943659154205,3.716533768544003,0.40866345446919383,0.0,0.0,6.9140625,0.0,1.2747608423233032,4.168529936399395,251.9521459143086,0.32325269483981495,0.7215232192985649,0.0,0.027128157595252403,0.20451690877663695,0.0524212972414167,2.6706934481523126,0.6174485483250836,0.0,0.0,6.46875,0.0,1.399726390838623,5.210662420499253,314.94018239288744,0.5303672121082961,0.9019040241232061,0.0,0.03072271383057379,0.04845472544684715,P1:pd
P1,eid,,,,,,,r02,ok,0,config/h1_real_p1_lite_hip_knee_eid.yaml,data/20260623_165447/h1_real_p1_lite_hip_knee_eid_log.csv,7.9990588800001206,7814,4884,4884,4884,nan,0.012592487289381142,0.16723215755254556,0.023969059704170737,3.9293050201266766,0.5535440242548026,3.947459945983738,0.18778111753248736,8.3203125,7.778785705566406,1.5283757448196411,4.170913493273058,251.90518117377914,0.0005608829242385108,0.015548851047431174,0.019790551952607597,0.01789633310394747,0.1951338212674628,0.0476720926714132,2.790347081608581,0.7767715246028517,2.8050506110037507,0.13966886577772222,9.65625,8.490139961242676,1.4576770067214966,5.213641866591317,314.8814764672268,0.0005079846050041166,0.015519744703146734,0.01804424460246524,0.018507567408824713,0.03415318309368931,P1:eid
P1,pd,,,,,,,r03,ok,0,config/h1_real_p1_lite_hip_knee_pd.yaml,data/20260623_165501/h1_real_p1_lite_hip_knee_pd_log.csv,7.9988389930003905,7802,4878,4878,4878,nan,0.033982808416338474,0.19902372591454623,0.05789380469902289,3.6836046103167783,0.4043871125823064,0.0,0.0,7.03125,0.0,1.2834112644195557,4.167397991256823,252.0997592497945,0.32335345051032044,0.7214238547805413,0.0,0.027229783403791404,0.20527297102146477,0.05263616106277458,2.6902125245269697,0.6536161327883686,0.0,0.0,7.03125,0.0,1.402417540550232,5.209247489071023,315.1246990622455,0.5302565808141846,0.9017798184756765,0.0,0.030572990357228835,0.047795446290971766,P1:pd
P1,eid,,,,,,,r03,ok,0,config/h1_real_p1_lite_hip_knee_eid.yaml,data/20260623_165514/h1_real_p1_lite_hip_knee_eid_log.csv,7.999178377000135,7824,4892,4892,4892,nan,0.013049769342451662,0.15403518582239584,0.02286566105782431,3.939898569206551,0.5183224179833777,3.9684605268553184,0.1870330308073018,7.91015625,7.642214775085449,1.4881478548049927,4.167543132530567,251.72218934337283,0.0005046469101309036,0.012363677237396599,0.015869143159599225,0.017760332100911443,0.1816927759686153,0.04894396995822686,2.7674702941737785,0.7850444662780206,2.770151402588445,0.13812244418292588,9.65625,8.226622581481934,1.4636116027832031,5.209428915663212,314.652736679218,0.0004944803384635087,0.015097770255879885,0.017533596636204164,0.018006515224199382,0.034696275074796334,P1:eid
P1,pd,,,,,,,r04,ok,0,config/h1_real_p1_lite_hip_knee_pd.yaml,data/20260623_165528/h1_real_p1_lite_hip_knee_pd_log.csv,7.998574050999196,7808,4884,4884,4884,nan,0.034321865212395795,0.19938959905931997,0.06395732889236608,3.695147253617027,0.4051239754352519,0.0,0.0,6.6796875,0.0,1.271491289138794,4.167551234644414,251.91850336477992,0.32334359442676525,0.7217029148865912,0.0,0.027459747417782947,0.20624980975030258,0.05834918102296677,2.7029600038763584,0.6338953094881111,0.0,0.0,6.84375,0.0,1.4124174118041992,5.20943904330552,314.8981292059786,0.5302213066932912,0.9021286436082393,0.0,0.030609716577659044,0.049349926444030245,P1:pd
P1,eid,,,,,,,r04,ok,0,config/h1_real_p1_lite_hip_knee_eid.yaml,data/20260623_165541/h1_real_p1_lite_hip_knee_eid_log.csv,7.998681928000224,7812,4884,4884,4884,nan,0.012986238190809159,0.1601815771050282,0.026982851935924757,3.923401525214922,0.5417221563917082,3.9601606379486847,0.18644771440017113,8.37890625,7.806795597076416,1.5295507907867432,4.166911531395113,251.7577760019609,0.0007829376777728616,0.013232657447040913,0.018537244314567047,0.017707553007719163,0.20023726961063026,0.05532004794971268,2.7970012145007943,0.7505470915298059,2.82922092974836,0.1456201687071652,9.28125,8.264542579650879,1.635425329208374,5.208639414243887,314.6972200024538,0.000867494656822585,0.015688413652991846,0.02016488825398069,0.018098358972241692,0.03782544702654511,P1:eid
P1,pd,,,,,,,r05,ok,0,config/h1_real_p1_lite_hip_knee_pd.yaml,data/20260623_165554/h1_real_p1_lite_hip_knee_pd_log.csv,7.999237904999973,7800,4874,4874,4874,nan,0.03455461869651159,0.20281749873195648,0.059698764153715445,3.716912892775864,0.4052144592430904,0.0,0.0,7.08984375,0.0,1.2777342796325684,4.169090536388822,251.93892763195697,0.32320788462607536,0.721494312122473,0.0,0.027829789412304656,0.20886118654731434,0.06185668217710899,2.7345745757813678,0.59678158039202,0.0,0.0,6.84375,0.0,1.4145866632461548,5.211363170486026,314.9236595399478,0.5304285524419616,0.9018678901530909,0.0,0.030290468202499445,0.053458510452251695,P1:pd
P1,eid,,,,,,,r05,ok,0,config/h1_real_p1_lite_hip_knee_eid.yaml,data/20260623_165608/h1_real_p1_lite_hip_knee_eid_log.csv,7.999590551000438,7808,4882,4882,4882,nan,0.012377550281981132,0.15774993895779324,0.03155673165271039,3.8915600384303777,0.5352438261289556,3.9142626748604146,0.18415036381785152,8.0859375,8.042840957641602,1.5452642440795898,4.166885677116227,252.13360031552043,0.0006738774739323643,0.013813352176218197,0.018637229254098983,0.017909683873029308,0.18909481518136181,0.04626887527038159,2.7977587616448103,0.7430300168344535,2.820578804027808,0.1407089540145151,8.90625,8.03942584991455,1.4640889167785645,5.208607096395284,315.1670003944033,0.0006846942772057464,0.015696517560224613,0.019021981062598965,0.017997528519564602,0.035406839802901935,P1:eid
P2-H,pd,,,,,hip,manual_push,r01,ok,0,config/h1_real_p2_anti_hip_knee_pd.yaml,data/20260623_165626/h1_real_p2_anti_hip_knee_pd_log.csv,9.998354638999444,9750,6818,6818,6818,nan,0.023531766748894147,0.13555989113082997,0.05030716007468827,2.3786172461365163,0.37964997707278164,0.0,0.0,4.921875,0.0,1.183621883392334,4.387908336136815,264.39311148817535,0.3335312901583631,0.7910909714235667,0.0,0.024569244361678195,0.1834069796058797,0.047938733722256655,2.325653405450533,0.5996072692736113,0.0,0.0,5.71875,0.0,1.4609061479568481,5.484885420706402,330.49138938943446,0.5302632613467526,0.9888637141846174,0.0,0.04691073744801225,0.09760348554021325,P2-H:pd
P2-H,eid,,,,,hip,manual_push,r01,ok,0,config/h1_real_p2_anti_hip_knee_eid.yaml,data/20260623_165642/h1_real_p2_anti_hip_knee_eid_log.csv,9.99911820000034,9754,6824,6824,6824,nan,0.00786149429860298,0.10630152167486175,0.01800366371768991,2.769189146912286,0.5239113181315775,2.8139912825474394,0.18532105874041532,7.79296875,6.733251571655273,1.2183171510696411,4.387193863676024,264.5470583129121,0.0006448176022269114,0.0057681480580435394,0.010673139375786124,0.016780943156201024,0.21740758253507897,0.037580061508118434,2.5709466234998173,0.7483869802645897,2.6068825652641148,0.14593243300793268,7.21875,6.05360746383667,1.6652276515960693,5.483992330130888,330.6838229205438,0.0007964484592518825,0.015426125601384974,0.019951309891909387,0.023812467996550252,0.04968439624441334,P2-H:eid
P2-H,pd,,,,,hip,manual_push,r02,ok,0,config/h1_real_p2_anti_hip_knee_pd.yaml,data/20260623_165657/h1_real_p2_anti_hip_knee_pd_log.csv,9.999668775000828,9748,6818,6818,6818,nan,0.02363784328305621,0.1354996260347509,0.050356586562855465,2.3869506177042514,0.3740886305540164,0.0,0.0,4.921875,0.0,1.1992394924163818,4.3887871341295925,264.306306583833,0.33348055448316183,0.7910135905604491,0.0,0.024652860913546182,0.18303350310950917,0.05128024918487195,2.3139226633970416,0.5969087297360655,0.0,0.0,5.25,0.0,1.4469151496887207,5.48598391820775,330.38288326027964,0.5301944167536246,0.9887669881028347,0.0,0.04710601155645347,0.10163683574772742,P2-H:pd
P2-H,eid,,,,,hip,manual_push,r02,ok,0,config/h1_real_p2_anti_hip_knee_eid.yaml,data/20260623_165712/h1_real_p2_anti_hip_knee_eid_log.csv,9.998766315000466,9768,6838,6838,6838,nan,0.008189301700276277,0.11417479440245971,0.01826368564360692,2.7800908496810006,0.5156026750454843,2.8261115106228116,0.18485452467215474,7.265625,6.802303791046143,1.292462944984436,4.388451522164548,264.44647326089097,0.0006040207922395857,0.0064729147444307494,0.010924554140029638,0.017038117637419886,0.2297243846251973,0.0439526288655504,2.6168842664552274,0.7479073854630033,2.638479250723657,0.14570827868404215,8.8125,7.533877372741699,1.7577310800552368,5.485564403207335,330.55809160428873,0.0007566861501606228,0.015540087855444785,0.020082441589685328,0.024293290385955697,0.05913525465054503,P2-H:eid
P2-H,pd,,,,,hip,manual_push,r03,ok,0,config/h1_real_p2_anti_hip_knee_pd.yaml,data/20260623_165728/h1_real_p2_anti_hip_knee_pd_log.csv,9.998528940999677,9774,6848,6848,6848,nan,0.02354353839498258,0.13491430905119667,0.048510586282836,2.387784128706375,0.36322448119534384,0.0,0.0,5.09765625,0.0,1.1940016746520996,4.3866142944751525,264.50309616399807,0.3333929197350656,0.791194310856777,0.0,0.024451300095648748,0.1824285784870599,0.04874213462757904,2.3078595087839746,0.6152858969991204,0.0,0.0,4.875,0.0,1.441065788269043,5.483267868622177,330.62887023605083,0.5300851264480207,0.9889928884752035,0.0,0.046785297937247186,0.09620494839970384,P2-H:pd
