batch_time,method,repeat,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T00:59:11,pd,r02,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T00:59:11,2026-06-23T00:59:19,0,ok,data/20260623_005911/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r02,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T00:59:24,2026-06-23T00:59:32,0,ok,data/20260623_005924/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r03,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T00:59:37,2026-06-23T00:59:46,0,ok,data/20260623_005937/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r03,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T00:59:51,2026-06-23T00:59:59,0,ok,data/20260623_005951/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r04,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r04 --disturbance-target none --disturbance-method none,2026-06-23T01:00:04,2026-06-23T01:00:13,0,ok,data/20260623_010004/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r04,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r04 --disturbance-target none --disturbance-method none,2026-06-23T01:00:18,2026-06-23T01:00:26,0,ok,data/20260623_010018/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r05,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r05 --disturbance-target none --disturbance-method none,2026-06-23T01:00:31,2026-06-23T01:00:39,0,ok,data/20260623_010031/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r05,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r05 --disturbance-target none --disturbance-method none,2026-06-23T01:00:44,2026-06-23T01:00:53,0,ok,data/20260623_010044/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r06,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r06 --disturbance-target none --disturbance-method none,2026-06-23T01:00:58,2026-06-23T01:01:06,0,ok,data/20260623_010058/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r06,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r06 --disturbance-target none --disturbance-method none,2026-06-23T01:01:11,2026-06-23T01:01:20,-6,accepted_after_complete_abort,data/20260623_010111/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r07,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r07 --disturbance-target none --disturbance-method none,2026-06-23T01:01:25,2026-06-23T01:01:33,-6,accepted_after_complete_abort,data/20260623_010125/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r07,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r07 --disturbance-target none --disturbance-method none,2026-06-23T01:01:38,2026-06-23T01:01:46,0,ok,data/20260623_010138/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r08,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r08 --disturbance-target none --disturbance-method none,2026-06-23T01:01:52,2026-06-23T01:02:00,0,ok,data/20260623_010152/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r08,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r08 --disturbance-target none --disturbance-method none,2026-06-23T01:02:05,2026-06-23T01:02:13,0,ok,data/20260623_010205/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r09,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r09 --disturbance-target none --disturbance-method none,2026-06-23T01:02:18,2026-06-23T01:02:27,0,ok,data/20260623_010218/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r09,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r09 --disturbance-target none --disturbance-method none,2026-06-23T01:02:32,2026-06-23T01:02:40,0,ok,data/20260623_010232/h1_real_p1_lite_hip_knee_eid_log.csv
2026-06-23T00:59:11,pd,r10,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r10 --disturbance-target none --disturbance-method none,2026-06-23T01:02:45,2026-06-23T01:02:53,0,ok,data/20260623_010245/h1_real_p1_lite_hip_knee_pd_log.csv
2026-06-23T00:59:11,eid,r10,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r10 --disturbance-target none --disturbance-method none,2026-06-23T01:02:58,2026-06-23T01:03:07,0,ok,data/20260623_010258/h1_real_p1_lite_hip_knee_eid_log.csv
