batch_time,target,disturbance_method,method,repeat,condition,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T01:21:24,hip,manual_push,pd,r01,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r01 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:21:24,2026-06-23T01:21:35,0,ok,data/20260623_012124/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T01:21:24,hip,manual_push,eid,r01,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r01 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:21:40,2026-06-23T01:21:50,0,ok,data/20260623_012140/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T01:21:24,hip,manual_push,pd,r02,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r02 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:21:55,2026-06-23T01:22:06,-6,accepted_after_complete_abort,data/20260623_012155/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T01:21:24,hip,manual_push,eid,r02,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r02 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:22:11,2026-06-23T01:22:21,0,ok,data/20260623_012211/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T01:21:24,hip,manual_push,pd,r03,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r03 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:22:26,2026-06-23T01:22:36,0,ok,data/20260623_012226/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T01:21:24,hip,manual_push,eid,r03,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r03 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:22:42,2026-06-23T01:22:52,0,ok,data/20260623_012242/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T01:21:24,hip,manual_push,pd,r04,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r04 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:22:57,2026-06-23T01:23:07,0,ok,data/20260623_012257/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T01:21:24,hip,manual_push,eid,r04,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r04 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:23:12,2026-06-23T01:23:23,0,ok,data/20260623_012312/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T01:21:24,hip,manual_push,pd,r05,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r05 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:23:28,2026-06-23T01:23:38,0,ok,data/20260623_012328/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T01:21:24,hip,manual_push,eid,r05,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r05 --disturbance-target hip --disturbance-method manual_push,2026-06-23T01:23:43,2026-06-23T01:23:54,0,ok,data/20260623_012343/h1_real_p2_anti_hip_knee_eid_log.csv
