batch_time,target,disturbance_method,disturbance_joints,disturbance_torques,disturbance_start_s,disturbance_plateau_start_s,disturbance_plateau_end_s,disturbance_end_s,method,repeat,condition,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,pd,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2D_PD_anti_phase_hip_knee_software_disturbance --repeat r01 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:13:36,2026-06-23T19:13:46,0,ok,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,eid,r01,P2D_EID_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2D_EID_anti_phase_hip_knee_software_disturbance --repeat r01 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:13:51,2026-06-23T19:14:02,0,ok,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,pd,r02,P2D_PD_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2D_PD_anti_phase_hip_knee_software_disturbance --repeat r02 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:14:07,2026-06-23T19:14:17,0,ok,data/20260623_191407/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2D_EID_anti_phase_hip_knee_software_disturbance --repeat r02 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:14:22,2026-06-23T19:14:32,0,ok,data/20260623_191422/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,pd,r03,P2D_PD_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2D_PD_anti_phase_hip_knee_software_disturbance --repeat r03 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:14:38,2026-06-23T19:14:48,0,ok,data/20260623_191438/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,eid,r03,P2D_EID_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2D_EID_anti_phase_hip_knee_software_disturbance --repeat r03 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:14:53,2026-06-23T19:15:00,0,ok,
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,pd,r04,P2D_PD_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2D_PD_anti_phase_hip_knee_software_disturbance --repeat r04 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:15:05,2026-06-23T19:15:15,0,ok,data/20260623_191505/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,eid,r04,P2D_EID_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2D_EID_anti_phase_hip_knee_software_disturbance --repeat r04 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:15:20,2026-06-23T19:15:31,0,ok,data/20260623_191520/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,pd,r05,P2D_PD_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2D_PD_anti_phase_hip_knee_software_disturbance --repeat r05 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:15:36,2026-06-23T19:15:46,0,ok,data/20260623_191536/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T19:13:36,hip_knee,software_load_torque_pulse,"1,2","6,-4",4.0,4.2,5.2,5.4,eid,r05,P2D_EID_anti_phase_hip_knee_software_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,"sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2D_EID_anti_phase_hip_knee_software_disturbance --repeat r05 --disturbance-target hip_knee --disturbance-method software_load_torque_pulse --software-disturbance-joints 1,2 --software-disturbance-torques 6,-4 --software-disturbance-start 4 --software-disturbance-plateau-start 4.2 --software-disturbance-plateau-end 5.2 --software-disturbance-end 5.4",2026-06-23T19:15:51,2026-06-23T19:16:02,0,ok,data/20260623_191551/h1_real_p2_anti_hip_knee_eid_log.csv
