batch_time,scan,group,ko_scale,ku_scale,target,disturbance_method,repeat,condition,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T17:00:04,ko,o0,0.0,1.0,none,none,r01,P4_EID_Ko_o0_anti_phase_no_disturbance,config/h1_real_p4_ko_o0_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o0_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o0_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:00:04,2026-06-23T17:00:12,0,ok,data/20260623_170004/h1_real_p4_ko_o0_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o0,0.0,1.0,none,none,r02,P4_EID_Ko_o0_anti_phase_no_disturbance,config/h1_real_p4_ko_o0_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o0_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o0_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:00:17,2026-06-23T17:00:26,0,ok,data/20260623_170017/h1_real_p4_ko_o0_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o0,0.0,1.0,none,none,r03,P4_EID_Ko_o0_anti_phase_no_disturbance,config/h1_real_p4_ko_o0_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o0_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o0_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:00:31,2026-06-23T17:00:39,0,ok,data/20260623_170031/h1_real_p4_ko_o0_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o1,0.25,1.0,none,none,r01,P4_EID_Ko_o1_anti_phase_no_disturbance,config/h1_real_p4_ko_o1_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o1_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o1_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:00:44,2026-06-23T17:00:53,0,ok,data/20260623_170044/h1_real_p4_ko_o1_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o1,0.25,1.0,none,none,r02,P4_EID_Ko_o1_anti_phase_no_disturbance,config/h1_real_p4_ko_o1_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o1_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o1_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:00:58,2026-06-23T17:01:06,0,ok,data/20260623_170058/h1_real_p4_ko_o1_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o1,0.25,1.0,none,none,r03,P4_EID_Ko_o1_anti_phase_no_disturbance,config/h1_real_p4_ko_o1_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o1_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o1_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:01:11,2026-06-23T17:01:19,0,ok,data/20260623_170111/h1_real_p4_ko_o1_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o2,0.5,1.0,none,none,r01,P4_EID_Ko_o2_anti_phase_no_disturbance,config/h1_real_p4_ko_o2_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o2_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o2_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:01:24,2026-06-23T17:01:33,0,ok,data/20260623_170124/h1_real_p4_ko_o2_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o2,0.5,1.0,none,none,r02,P4_EID_Ko_o2_anti_phase_no_disturbance,config/h1_real_p4_ko_o2_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o2_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o2_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:01:38,2026-06-23T17:01:46,0,ok,data/20260623_170138/h1_real_p4_ko_o2_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o2,0.5,1.0,none,none,r03,P4_EID_Ko_o2_anti_phase_no_disturbance,config/h1_real_p4_ko_o2_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o2_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o2_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:01:51,2026-06-23T17:02:00,0,ok,data/20260623_170151/h1_real_p4_ko_o2_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o3,0.75,1.0,none,none,r01,P4_EID_Ko_o3_anti_phase_no_disturbance,config/h1_real_p4_ko_o3_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o3_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o3_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:02:05,2026-06-23T17:02:13,0,ok,data/20260623_170205/h1_real_p4_ko_o3_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o3,0.75,1.0,none,none,r02,P4_EID_Ko_o3_anti_phase_no_disturbance,config/h1_real_p4_ko_o3_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o3_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o3_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:02:18,2026-06-23T17:02:26,0,ok,data/20260623_170218/h1_real_p4_ko_o3_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o3,0.75,1.0,none,none,r03,P4_EID_Ko_o3_anti_phase_no_disturbance,config/h1_real_p4_ko_o3_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o3_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o3_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:02:31,2026-06-23T17:02:40,0,ok,data/20260623_170231/h1_real_p4_ko_o3_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o4,1.0,1.0,none,none,r01,P4_EID_Ko_o4_anti_phase_no_disturbance,config/h1_real_p4_ko_o4_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o4_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o4_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:02:45,2026-06-23T17:02:53,0,ok,data/20260623_170245/h1_real_p4_ko_o4_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o4,1.0,1.0,none,none,r02,P4_EID_Ko_o4_anti_phase_no_disturbance,config/h1_real_p4_ko_o4_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o4_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o4_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:02:58,2026-06-23T17:03:07,0,ok,data/20260623_170258/h1_real_p4_ko_o4_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o4,1.0,1.0,none,none,r03,P4_EID_Ko_o4_anti_phase_no_disturbance,config/h1_real_p4_ko_o4_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o4_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o4_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:03:12,2026-06-23T17:03:20,0,ok,data/20260623_170312/h1_real_p4_ko_o4_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o5,1.25,1.0,none,none,r01,P4_EID_Ko_o5_anti_phase_no_disturbance,config/h1_real_p4_ko_o5_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o5_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o5_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:03:25,2026-06-23T17:03:33,0,ok,data/20260623_170325/h1_real_p4_ko_o5_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o5,1.25,1.0,none,none,r02,P4_EID_Ko_o5_anti_phase_no_disturbance,config/h1_real_p4_ko_o5_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o5_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o5_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:03:38,2026-06-23T17:03:47,0,ok,data/20260623_170338/h1_real_p4_ko_o5_hip_knee_eid_log.csv
2026-06-23T17:00:04,ko,o5,1.25,1.0,none,none,r03,P4_EID_Ko_o5_anti_phase_no_disturbance,config/h1_real_p4_ko_o5_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ko_o5_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ko_o5_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:03:52,2026-06-23T17:04:00,0,ok,data/20260623_170352/h1_real_p4_ko_o5_hip_knee_eid_log.csv
