batch_time,scan,group,ko_scale,ku_scale,target,disturbance_method,repeat,condition,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T17:06:25,ku,u1,1.0,0.5,none,none,r01,P4_EID_Ku_u1_anti_phase_no_disturbance,config/h1_real_p4_ku_u1_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u1_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u1_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:06:25,2026-06-23T17:06:34,0,ok,data/20260623_170625/h1_real_p4_ku_u1_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u1,1.0,0.5,none,none,r02,P4_EID_Ku_u1_anti_phase_no_disturbance,config/h1_real_p4_ku_u1_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u1_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u1_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:06:39,2026-06-23T17:06:47,0,ok,data/20260623_170639/h1_real_p4_ku_u1_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u1,1.0,0.5,none,none,r03,P4_EID_Ku_u1_anti_phase_no_disturbance,config/h1_real_p4_ku_u1_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u1_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u1_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:06:52,2026-06-23T17:07:01,0,ok,data/20260623_170652/h1_real_p4_ku_u1_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u2,1.0,0.75,none,none,r01,P4_EID_Ku_u2_anti_phase_no_disturbance,config/h1_real_p4_ku_u2_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u2_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u2_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:07:06,2026-06-23T17:07:14,0,ok,data/20260623_170706/h1_real_p4_ku_u2_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u2,1.0,0.75,none,none,r02,P4_EID_Ku_u2_anti_phase_no_disturbance,config/h1_real_p4_ku_u2_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u2_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u2_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:07:19,2026-06-23T17:07:27,0,ok,data/20260623_170719/h1_real_p4_ku_u2_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u2,1.0,0.75,none,none,r03,P4_EID_Ku_u2_anti_phase_no_disturbance,config/h1_real_p4_ku_u2_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u2_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u2_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:07:32,2026-06-23T17:07:41,0,ok,data/20260623_170733/h1_real_p4_ku_u2_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u3,1.0,1.0,none,none,r01,P4_EID_Ku_u3_anti_phase_no_disturbance,config/h1_real_p4_ku_u3_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u3_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u3_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:07:46,2026-06-23T17:07:54,0,ok,data/20260623_170746/h1_real_p4_ku_u3_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u3,1.0,1.0,none,none,r02,P4_EID_Ku_u3_anti_phase_no_disturbance,config/h1_real_p4_ku_u3_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u3_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u3_anti_phase_no_disturbance --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T17:07:59,2026-06-23T17:08:08,0,ok,data/20260623_170759/h1_real_p4_ku_u3_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u3,1.0,1.0,none,none,r03,P4_EID_Ku_u3_anti_phase_no_disturbance,config/h1_real_p4_ku_u3_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u3_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u3_anti_phase_no_disturbance --repeat r03 --disturbance-target none --disturbance-method none,2026-06-23T17:08:13,2026-06-23T17:08:21,0,ok,data/20260623_170813/h1_real_p4_ku_u3_hip_knee_eid_log.csv
2026-06-23T17:06:25,ku,u4,1.0,1.25,none,none,r01,P4_EID_Ku_u4_anti_phase_no_disturbance,config/h1_real_p4_ku_u4_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p4_ku_u4_hip_knee_eid.yaml --duration 8 --condition P4_EID_Ku_u4_anti_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T17:08:26,2026-06-23T17:08:35,-6,accepted_after_complete_abort,data/20260623_170826/h1_real_p4_ku_u4_hip_knee_eid_log.csv
