experiment_id,condition_id,repeat_id,disturbance_target,disturbance_method,config_path,log_path,cycle,t,dt,lowstate_age,joint_id,q,dq,tau_est,q_cmd,dq_cmd,kp_cmd,kd_cmd,tau_cmd,flags,debug_0,debug_1,debug_2,debug_3,debug_4,debug_5,debug_6,debug_7,debug_8,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,tau_dist,disturbance_scale
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,0,0,0.002,0,1,-0.55000000000000004,0,0,-0.55000001192092896,0,120,3,0,0,-0.55000000000000004,0,-0.55000000000000004,0,0,0,120,3,0,-0.55000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,0,0,0.002,0,2,0.55000000000000004,0,0,0.55000001192092896,0,70,4,0,0,0.55000000000000004,0,0.55000000000000004,0,0,0,70,4,0,0.55000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,1,0.002,0.002,0,1,-0.54997681096454232,0.011594517728885159,-1.4305114692803045e-06,-0.55000001192092896,-4.2378964280942455e-05,120,3,0,0,-0.55000002825264371,-4.2378965535122869e-05,-0.54997681096454232,0.011594517728885159,-2.3217288101395894e-05,-0.011636896694420282,120,3,0,-0.55000002825264371,-4.2378965535122869e-05,-2.3217288101395894e-05,-0.011636896694420282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,1,0.002,0.002,0,2,0.54999392923131285,-0.0030353843435985371,8.3446502374684428e-07,0.54999995231628418,-3.3903172152349725e-05,70,4,0,0,0.54999997739788498,-3.3903172523082887e-05,0.54999392923131285,-0.0030353843435985371,6.0481665721257016e-06,0.0030014811710754544,70,4,0,0.54999997739788498,-3.3903172523082887e-05,6.0481665721257016e-06,0.0030014811710754544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,2,0.0040000000000000001,0.002,0,1,-0.54993063041864287,0.023090272949748886,-0.037694804845894811,-0.55000019073486328,-0.0001499633799539879,120,3,0,0,-0.55000021298616442,-0.00014996338440141302,-0.54993063041864287,0.023090272949748886,-6.9582567521542238e-05,-0.023240236334150299,120,3,0,-0.55000021298616442,-0.00014996338440141302,-6.9582567521542238e-05,-0.023240236334150299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,2,0.0040000000000000001,0.002,0,2,0.54998203538956991,-0.0059469208714642893,0.012427540633777809,0.54999983310699463,-0.00011997071123914793,70,4,0,0,0.54999982961106808,-0.00011997070777903122,0.54998203538956991,-0.0059469208714642893,1.7794221498168561e-05,0.0058269501636852581,70,4,0,0.54999982961106808,-0.00011997070777903122,1.7794221498168561e-05,0.0058269501636852581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,3,0.0060000000000000001,0.002,0,1,-0.54986166751841659,0.03448145011311974,-0.078067946935557492,-0.55000066757202148,-0.00028993788873776793,120,3,0,0,-0.55000064969956852,-0.00028993788403326986,-0.54986166751841659,0.03448145011311974,-0.0001389821811519365,-0.034771387997153007,120,3,0,-0.55000064969956852,-0.00028993788403326986,-0.0001389821811519365,-0.034771387997153007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,3,0.0060000000000000001,0.002,0,2,0.54996455981380332,-0.0087377878832977929,0.024553640860630742,0.54999947547912598,-0.00023195031099021435,70,4,0,0,0.54999948024034417,-0.00023195030762651812,0.54996455981380332,-0.0087377878832977929,3.4920426540852034e-05,0.008505837575671275,70,4,0,0.54999948024034417,-0.00023195030762651812,3.4920426540852034e-05,0.008505837575671275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,4,0.0080000000000000002,0.002,0,1,-0.54977014251145939,0.045762503478620091,-0.12099417043816035,-0.55000138282775879,-0.00044004383380524814,120,3,0,0,-0.5500013794919989,-0.00044004383122638388,-0.54977014251145939,0.045762503478620091,-0.00023123698053950648,-0.046202547309846471,120,3,0,-0.5500013794919989,-0.00044004383122638388,-0.00023123698053950648,-0.046202547309846471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,analysis_artifacts\mpc_3ref_mujoco_compare_smoke\configs\E1_same_phase__soft_preview_mpc_3ref.yaml,data\20260705_193713\h1_mock_log.csv,4,0.0080000000000000002,0.002,0,2,0.54994173893157117,-0.011410441116095354,0.036467446861816133,0.54999887943267822,-0.0003520350728649646,70,4,0,0,0.54999889640639898,-0.00035203506543296726,0.54994173893157117,-0.011410441116095354,5.7157474827818078e-05,0.011058406050662387,70,4,0,0.54999889640639898,-0.00035203506543296726,5.7157474827818078e-05,0.011058406050662387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
