cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
0,0,1,-0.523079991341,0,0,120,5,1.03912353389e-06,0,1.03912353389e-06,0,-0.52308,0,-0.52308,0,0,0,120,5,0,-0.52308,-0.00999015786695,0,-0.00999015786695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,2,0.778850018978,0,0,120,5,2.2773742625e-06,0,2.2773742625e-06,0,0.77885,0,0.77885,0,0,0,120,5,0,0.77885,0.0124876860709,0,0.0124876860709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5,0.01,1,-0.523079991341,-5.48642276499e-07,0,120,5,-1.43755416781e-06,0,-1.43755416781e-06,0,-0.52308000236,-5.48642301782e-07,-0.523080000207,-4.83484090772e-08,-2.15381534829e-09,-5.00293892705e-07,120,5,0,-0.523150970081,-0.00231771662513,-7.096987489e-05,-0.00231766827672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5,0.01,2,0.778850018978,6.85802262979e-07,0,120,5,4.68340410436e-06,0,4.68340410436e-06,0,0.778850002951,6.85802258695e-07,0.778850000935,1.82145032425e-07,2.01504346542e-09,5.0365722627e-07,120,5,0,0.778938712522,0.00289714316845,8.87115863786e-05,0.00289696102342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10,0.02,1,-0.523079991341,4.1920893068e-07,0,120,5,3.80521225004e-06,0,3.80521225004e-06,0,-0.523080005474,4.19208928443e-07,-0.52308000119,-1.05453201343e-07,-4.28432755939e-09,5.24662129786e-07,120,5,0,-0.523121239372,0.00727283492714,-4.12381818576e-05,0.00727294038034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10,0.02,2,0.778850018978,-5.24010715708e-07,0,120,5,-2.63427411185e-06,0,-2.63427411185e-06,0,0.778850006843,-5.24010687943e-07,0.778850004159,3.5849211637e-07,2.68322297714e-09,-8.82502804313e-07,120,5,0,0.778901549168,-0.00909103545962,5.15450086489e-05,-0.00909139395173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,0.03,1,-0.523079991341,2.98384429698e-06,0,120,5,1.47470660228e-05,0,1.47470660228e-05,0,-0.523079987711,2.98384436745e-06,-0.523080000503,2.54320175369e-07,1.27920151138e-08,2.72952419208e-06,120,5,0,-0.523038760628,0.00727283492714,4.12398743571e-05,0.00727258060697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,0.03,2,0.778849959373,-3.7298020743e-06,0,120,5,-2.24110798194e-05,0,-2.24110798194e-05,0,0.778849984638,-3.72980209536e-06,0.778850004457,-3.29584462675e-07,-1.98183908173e-08,-3.40021763268e-06,120,5,0,0.778798450832,-0.00909103545962,-5.15536248394e-05,-0.00909070587515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,0.04,1,-0.523079991341,6.42173858978e-07,0,120,5,-4.88505799172e-07,0,-4.88505799172e-07,0,-0.523079962486,6.42173859787e-07,-0.523079994162,8.07592533075e-07,3.16764596775e-08,-1.65418673288e-07,120,5,0,-0.523009029919,-0.00231771662513,7.0964243687e-05,-0.00231852421767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,0.04,2,0.778849959373,-8.0271661318e-07,0,120,5,-3.7617017814e-07,0,-3.7617017814e-07,0,0.778849953107,-8.02716600763e-07,0.778849992885,-1.53175898303e-06,-3.97777728534e-08,7.29042382263e-07,120,5,0,0.778761287478,0.00289714316845,-8.87054068388e-05,0.00289867492743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
