joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
0,RightHipRoll,50,,0.008443,0.014381,0.2197,0.1438,,0,
1,RightHipPitch,50,,0.035969,0.065861,10.5917,5.5470,,0,
2,RightKnee,50,,0.025023,0.037710,3.9603,1.8141,,0,
3,LeftHipRoll,50,,0.000532,0.000996,0.0145,0.0100,,0,
4,LeftHipPitch,50,,0.304968,0.311810,0.1656,0.1181,,0,
5,LeftKnee,50,,0.749368,0.750000,0.0346,0.0188,,0,
6,WaistYaw,50,,0.004117,0.007607,0.1070,0.0761,,0,
7,LeftHipYaw,50,,0.001036,0.002059,0.0297,0.0206,,0,
8,RightHipYaw,50,,0.003785,0.005692,0.1001,0.0574,,0,
10,LeftAnkle,50,,0.000125,0.000237,0.0033,0.0024,,0,
11,RightAnkle,50,,0.002160,0.004176,0.0555,0.0418,,0,
12,RightShoulderPitch,50,,0.000486,0.000987,0.0148,0.0099,,0,
13,RightShoulderRoll,50,,0.038952,0.040000,0.0266,0.0217,,0,
14,RightShoulderYaw,50,,0.000502,0.000805,0.0112,0.0080,,0,
15,RightElbow,50,,0.299058,0.300000,0.0299,0.0191,,0,
16,LeftShoulderPitch,50,,0.000406,0.000810,0.0125,0.0081,,0,
17,LeftShoulderRoll,50,,0.038775,0.040000,0.0319,0.0258,,0,
18,LeftShoulderYaw,50,,0.000242,0.000315,0.0073,0.0036,,0,
19,LeftElbow,50,,0.299256,0.300000,0.0235,0.0150,,0,
