time_s,cycle,joint_id,q_ref_raw,q_ref,q,q_error,dq_ref_raw,dq_ref,dq,dq_error,tau_cmd,u_raw,tau_est,lowstate_age,dt,flags
0.0,0,2,0.2,0.2,0.2,0.0,1.69283e-16,0.0,0.0,0.0,-0.12,-12.0,0.0,0.0,0.002,0
0.002,1,2,0.200002,0.2,0.199988,1.2000000000012001e-05,0.00329269,4.12605e-09,-0.00588151,0.00588151412605,0.0,0.668893,-0.12,0.0,0.002,0
0.004,2,2,0.200017,0.2,0.199967,3.300000000000525e-05,0.0127924,6.42889e-08,-0.0106652,0.0106652642889,0.12,0.742653,0.00470521,0.0,0.002,0
0.006,3,2,0.200057,0.2,0.199938,6.20000000000065e-05,0.0279343,3.16745e-07,-0.0143675,0.014367816745,0.24,0.800519,0.128532,0.0,0.002,0
0.008,4,2,0.200132,0.2,0.199904,9.600000000001274e-05,0.0481568,9.73615e-07,-0.0170043,0.017005273615,0.36,0.842104,0.251494,0.0,0.002,0
0.01,5,2,0.200253,0.2,0.199867,0.000133000000000022,0.0729015,2.31019e-06,-0.0185916,0.01859391019,0.48,0.867278,0.373603,0.0,0.002,0
0.012,6,2,0.200427,0.2,0.199829,0.00017100000000000448,0.101614,4.6524e-06,-0.0191452,0.0191498524,0.6,0.876135,0.494873,0.0,0.002,0
0.014,7,2,0.200662,0.2,0.199791,0.00020900000000001473,0.133742,8.36434e-06,-0.0186806,0.01868896434,0.72,0.868939,0.615316,0.0,0.002,0
0.016,8,2,0.200964,0.2,0.199757,0.00024300000000002098,0.168738,1.38361e-05,-0.0172134,0.0172272361,0.84,0.846065,0.734945,0.0,0.002,0
0.018,9,2,0.201338,0.2,0.199727,0.0002730000000000232,0.206056,2.14713e-05,-0.0147587,0.014780171299999999,0.807941,0.807941,0.853771,0.0,0.002,0
0.02,10,2,0.201789,0.2,0.199702,0.00029800000000002047,0.245157,3.16757e-05,-0.0126095,0.0126411757,0.77434,0.77434,0.819748,0.0,0.002,0
0.022,11,2,0.202319,0.2,0.199681,0.0003190000000000137,0.2855,4.48445e-05,-0.0107744,0.0108192445,0.745876,0.745876,0.784428,0.0,0.002,0
