t_s,joint_id,q_rad,dq_rad_s,tau_est_nm,lowstate_age_s
3123.568568,2,0.194615,0.000513,-0.5625,8.3e-05
3123.66871,2,0.194615,0.000325,-0.28125,0.000335
3123.768974,2,0.194615,0.000255,-0.65625,0.000507
3123.869192,2,0.194599,-0.000274,-0.1875,0.00071
3123.969465,2,0.194615,2e-05,0.75,0.000661
3124.069694,2,0.194599,-1.3e-05,0.375,0.000976
3124.169919,2,0.194599,9.8e-05,-0.1875,0.001249
3124.270263,2,0.194599,-0.000357,-0.375,0.001606
3124.370459,2,0.194615,2.3e-05,-0.1875,0.001946
3124.47064,2,0.194615,0.000294,-0.09375,4.8e-05
3124.570775,2,0.194615,-0.000261,-0.1875,0.000239
3124.670923,2,0.194615,0.000251,-0.9375,0.000165
3124.771029,2,0.194615,0.000175,0.09375,0.000625
3124.871123,2,0.194615,-8e-06,0.09375,0.000616
3124.971353,2,0.194615,0.000314,-0.1875,0.000804
3125.071583,2,0.194615,0.000321,-0.46875,0.000854
3125.1718,2,0.194583,-0.00088,-0.46875,0.00106
3125.272063,2,0.194615,0.000295,-0.28125,0.001331
3125.37237,2,0.194615,0.000245,0.0,0.001696
3125.472533,2,0.194615,0.000173,-0.375,0.000108
3125.572702,2,0.194599,0.000205,0.1875,0.001943
3125.672956,2,0.194599,-0.000309,-0.1875,6.7e-05
3125.773264,2,0.194615,0.000293,-0.28125,0.000496
3125.873593,2,0.194615,2.7e-05,-0.1875,0.000769
3125.973853,2,0.194599,-0.000217,0.09375,0.001118
3126.074022,2,0.194615,0.000297,-0.46875,0.001511
3126.174385,2,0.194615,0.000219,-0.375,0.0016
3126.274562,2,0.194615,0.000269,0.0,0.001767
3126.374786,2,0.194615,0.000407,-0.09375,1.3e-05
3126.475138,2,0.194615,-0.0,-0.1875,0.000281
3126.575384,2,0.194615,0.000346,-0.375,0.000418
3126.675571,2,0.194615,0.000309,-0.46875,0.000849
3126.775762,2,0.194615,0.000271,0.0,0.000939
3126.876009,2,0.194615,0.000164,0.5625,0.001031
3126.976289,2,0.194615,0.000165,-0.09375,0.001508
3127.076481,2,0.194615,0.000285,-0.28125,0.001796
3127.176727,2,0.194599,0.000314,-0.28125,0.001781
3127.276912,2,0.194615,-7.8e-05,0.0,0.000293
3127.37707,2,0.194615,0.000251,-0.28125,0.000223
3127.477304,2,0.194615,-6.8e-05,-0.09375,0.000448
3127.577443,2,0.194599,-0.000243,-0.375,0.002872
3127.677552,2,0.194615,8.2e-05,0.28125,0.001035
3127.777729,2,0.194615,0.000337,-0.28125,0.001269
3127.877912,2,0.194615,0.000119,-0.28125,0.001182
3127.978061,2,0.194615,-3e-05,-0.1875,0.001494
3128.078176,2,0.194599,2.1e-05,-0.09375,0.001629
3128.178398,2,0.194615,5e-05,0.46875,0.001869
3128.278554,2,0.194599,-0.000193,-0.09375,0.001994
3128.378764,2,0.194615,0.000242,0.1875,5e-05
3128.478921,2,0.194615,0.000503,-0.46875,9.1e-05
3128.57912,2,0.194615,0.000171,-0.09375,0.000301
3128.679371,2,0.194583,-0.000387,-0.375,0.0006
3128.779492,2,0.194599,-0.00026,-0.1875,0.000975
3128.87966,2,0.194615,0.0,0.0,0.00116
3128.979829,2,0.194599,-6.1e-05,0.375,0.001279
3129.079982,2,0.194615,0.00024,0.46875,0.001217
3129.180294,2,0.194599,-0.000241,-0.28125,0.001451
3129.280469,2,0.194599,-0.000369,0.0,0.001712
3129.380668,2,0.194599,-3.9e-05,0.09375,0.001723
3129.480911,2,0.194615,0.000318,0.28125,9.1e-05
3129.581264,2,0.194615,-2.5e-05,0.0,0.000582
3129.681487,2,0.194599,-0.000303,-0.375,0.000551
3129.781773,2,0.194615,0.000235,-0.65625,0.000746
3129.882001,2,0.194615,0.000204,-0.46875,0.001089
3129.982359,2,0.194599,-0.000304,0.65625,0.001528
3130.082578,2,0.194599,-0.000193,-0.65625,0.001763
3130.182907,2,0.194599,-0.000352,-0.375,0.00025
3130.283258,2,0.194599,1e-06,0.0,0.000615
3130.383526,2,0.194615,0.000202,0.375,0.000484
3130.483756,2,0.194615,0.000183,-0.1875,0.000864
3130.584093,2,0.194599,-0.000278,0.46875,0.001414
3130.684434,2,0.194599,-6.4e-05,-0.5625,0.001577
3130.784759,2,0.194615,0.000298,0.1875,0.001618
3130.885088,2,0.194599,-0.000362,0.28125,0.000326
3130.985454,2,0.194615,0.00026,0.09375,0.00042
3131.085774,2,0.194615,-5.4e-05,1.125,0.000709
3131.186136,2,0.194599,-0.000202,0.09375,0.001042
3131.286497,2,0.194599,-0.000161,-0.28125,0.001537
3131.386721,2,0.194599,-0.000238,0.1875,0.001756
3131.486938,2,0.194615,3.4e-05,-0.09375,0.000209
3131.587275,2,0.194615,0.00022,0.09375,0.000256
3131.687641,2,0.194599,-0.000289,0.375,0.000574
3131.787871,2,0.194599,-0.000361,-0.28125,0.000732
3131.888251,2,0.194599,-0.000349,-0.375,0.001457
3131.988608,2,0.194599,-0.000324,-0.1875,0.001444
3132.088863,2,0.194599,-0.000269,0.0,1e-05
3132.189112,2,0.194599,-2.9e-05,-0.1875,0.000638
3132.289268,2,0.194615,4.8e-05,0.0,0.000615
3132.389387,2,0.194599,-6.3e-05,-0.09375,0.0008
3132.489506,2,0.194615,0.00015,-0.1875,0.000814
3132.589697,2,0.194615,0.000347,-0.1875,0.001031
3132.689821,2,0.194615,0.000267,-0.375,0.001045
3132.789993,2,0.194599,-0.000271,-0.1875,0.001516
3132.890167,2,0.194631,0.000211,-0.46875,0.001317
3132.990383,2,0.194599,-2.4e-05,0.09375,0.001443
3133.090628,2,0.194599,-0.000218,-0.28125,0.001842
3133.190958,2,0.194615,-8.9e-05,-0.09375,0.002076
3133.291266,2,0.194599,-0.000255,0.0,0.000363
3133.391658,2,0.194599,5.4e-05,-0.09375,0.00068
3133.491903,2,0.194615,-3.5e-05,-0.1875,0.001045
3133.59231,2,0.194599,-0.000334,0.65625,0.001225
3133.69253,2,0.194599,5.7e-05,-0.28125,0.001532
3133.792735,2,0.194615,0.000314,-0.375,7.4e-05
3133.892865,2,0.194615,0.00015,0.09375,0.000112
3133.993112,2,0.194615,0.00029,-0.375,0.000174
3134.093402,2,0.194615,0.000268,0.09375,0.000294
3134.193597,2,0.194599,-0.000283,0.0,0.000612
3134.293857,2,0.194599,-0.000218,0.46875,0.000769
3134.394291,2,0.194615,0.000133,0.46875,0.001372
3134.49445,2,0.194615,0.000218,0.28125,0.00156
3134.594636,2,0.194615,0.000202,0.1875,0.001652
3134.695014,2,0.194599,-1.5e-05,1.3125,0.000178
3134.79542,2,0.194599,-0.000316,0.0,0.000545
3134.89569,2,0.194615,0.000216,-0.1875,0.000867
3134.995971,2,0.194615,0.000242,-0.09375,0.001157
3135.096276,2,0.194599,-0.000221,1.03125,0.001485
3135.196559,2,0.194599,-0.00017,0.46875,0.001369
3135.29682,2,0.194615,0.000244,-0.1875,0.001791
3135.397136,2,0.194599,-0.000302,-0.1875,0.000207
3135.497346,2,0.194615,0.000231,1.125,0.000403
3135.597654,2,0.194615,0.000341,-0.09375,0.000584
3135.697914,2,0.194615,0.000246,-0.09375,0.00096
3135.798252,2,0.194599,-0.000312,-0.28125,0.00137
3135.89852,2,0.194615,-3.2e-05,0.0,0.001509
3135.998769,2,0.194599,-0.000378,0.75,0.001305
3136.099045,2,0.194615,0.000265,-0.375,0.001859
3136.199268,2,0.194599,-0.000211,-0.09375,0.000436
3136.299397,2,0.194615,0.000259,-0.375,0.000764
3136.399587,2,0.194615,0.000294,-0.5625,0.001
3136.499733,2,0.194615,1e-05,-0.5625,0.000965
3136.599949,2,0.194615,-6.5e-05,0.28125,0.001239
3136.7002,2,0.194615,0.000241,0.28125,0.001415
3136.800365,2,0.194599,1.4e-05,-0.46875,0.001682
3136.900481,2,0.194599,-0.000425,0.375,0.001584
3137.000629,2,0.194599,-0.000278,-0.28125,0.001925
3137.10079,2,0.194615,0.000239,-0.28125,8.2e-05
3137.200994,2,0.194615,0.000257,-0.9375,5.8e-05
3137.301176,2,0.194599,4.2e-05,-0.5625,0.000229
3137.401443,2,0.194599,4.4e-05,0.0,0.000411
3137.501613,2,0.194615,-2.6e-05,0.28125,0.000541
3137.601826,2,0.194599,-0.000288,-0.1875,0.000752
3137.702256,2,0.194599,-0.000287,-0.1875,0.001165
3137.80247,2,0.194615,-1.7e-05,-0.28125,0.001526
3137.902635,2,0.194615,0.000233,0.0,0.001942
3138.002849,2,0.194615,5.9e-05,-0.5625,0.00191
3138.103169,2,0.194615,0.000344,-0.375,0.002334
3138.203468,2,0.194615,3.1e-05,-0.09375,0.000665
3138.303739,2,0.194631,0.000499,0.0,0.000881
3138.404045,2,0.194615,-0.000315,-0.1875,0.001038
3138.504351,2,0.194615,0.000227,-0.09375,0.001238
3138.604578,2,0.194615,0.000237,0.5625,0.001633
3138.704962,2,0.194631,0.000794,0.1875,0.000241
3138.805332,2,0.194615,-0.000108,-0.5625,0.000355
3138.905518,2,0.194599,-0.000254,0.0,0.000564
3139.005843,2,0.194615,-4.7e-05,0.09375,0.000927
3139.106186,2,0.194615,3.5e-05,0.1875,0.001023
3139.206529,2,0.194599,-0.000199,-0.09375,0.001588
3139.306804,2,0.194599,-0.000262,-0.375,0.001724
3139.407076,2,0.194615,0.000338,0.09375,0.00182
3139.50738,2,0.194615,-0.000254,0.1875,0.000407
3139.607586,2,0.194631,0.000519,-0.28125,0.000574
3139.70794,2,0.194599,-0.000283,-0.5625,0.000911
3139.808305,2,0.194615,0.000253,-0.75,0.001349
3139.908494,2,0.194599,-0.000161,-0.1875,0.001542
3140.008668,2,0.194599,-0.000318,0.1875,0.001726
3140.108872,2,0.194599,-0.000331,-0.1875,0.001923
3140.209057,2,0.194599,-0.00033,-0.5625,0.000376
3140.309199,2,0.194615,0.000327,-0.375,0.000429
3140.409346,2,0.194599,-0.000302,-0.28125,0.000525
3140.509619,2,0.194615,0.000298,0.46875,0.000598
3140.610313,2,0.194599,-0.000312,0.375,0.001507
3140.710487,2,0.194615,4.8e-05,-0.5625,0.00182
3140.810693,2,0.194599,1.9e-05,0.09375,0.002092
3140.910868,2,0.194615,0.000278,-0.09375,0.000325
3141.011065,2,0.194615,-0.000311,0.09375,0.000132
3141.111254,2,0.194599,-0.000214,-0.375,0.000586
3141.211476,2,0.194615,0.000199,-0.375,0.000565
3141.311697,2,0.194599,1e-05,-0.09375,0.000726
3141.411896,2,0.194599,-0.000278,-0.375,0.001051
3141.512157,2,0.194599,-0.000313,0.0,0.001309
3141.612485,2,0.194615,2e-05,0.0,0.001333
3141.712712,2,0.194599,-0.000255,-0.46875,0.001877
3141.812928,2,0.194615,0.000196,-0.46875,0.001877
3141.913117,2,0.194615,0.000288,-0.09375,0.000317
3142.013268,2,0.194615,0.000266,0.09375,0.000253
3142.113493,2,0.194615,0.000233,-0.375,0.00048
3142.213756,2,0.194599,-0.000109,0.84375,0.000437
3142.314173,2,0.194631,0.000812,-0.09375,0.001339
3142.414493,2,0.194599,-3.6e-05,0.0,0.00154
3142.514809,2,0.194615,0.000284,-0.28125,0.001687
3142.615032,2,0.194615,0.000272,-0.1875,5.5e-05
3142.715286,2,0.194599,-0.000249,0.09375,0.000255
3142.815562,2,0.194599,6.7e-05,0.1875,0.000383
3142.915851,2,0.194615,0.000264,-0.75,0.001096
3143.016134,2,0.194615,0.000266,-0.1875,0.001074
3143.116347,2,0.194615,0.000115,0.0,0.001164
3143.216648,2,0.194599,-0.000287,0.28125,0.001624
3143.317007,2,0.194615,0.000316,0.75,0.00171
3143.417288,2,0.194583,-0.000758,0.0,0.000126
3143.517656,2,0.194599,-0.000202,0.46875,0.000502
3143.618025,2,0.194599,-0.000114,-0.46875,0.000847
3143.718356,2,0.194615,0.000271,-0.1875,0.001326
3143.818647,2,0.194599,-0.000363,0.0,0.001569
3143.918803,2,0.194599,-0.000102,-0.28125,0.00016
3144.019034,2,0.194615,0.000308,-0.1875,8.7e-05
3144.119343,2,0.194615,0.000192,0.0,2.2e-05
3144.219534,2,0.194599,-0.00027,0.0,0.000673
3144.319655,2,0.194615,0.00012,-0.09375,0.000859
3144.419849,2,0.194599,-0.000245,-0.09375,0.000944
3144.51998,2,0.194711,0.003044,-0.09375,0.001087
3144.620246,2,0.196501,0.009534,-0.75,0.001344
3144.720409,2,0.199601,0.041392,-0.75,0.001593
3144.820527,2,0.210259,0.193101,-2.0625,0.001712
3144.920683,2,0.22929,0.189345,-2.4375,0.001716
3145.020788,2,0.255016,0.255146,-3.28125,0.000134
3145.12091,2,0.281541,0.288761,-3.1875,0.002048
3145.221213,2,0.31532,0.347161,-3.9375,0.000177
3145.321465,2,0.345329,0.259924,-3.0,0.000423
3145.421838,2,0.35784,0.025697,-0.375,0.000685
3145.522283,2,0.357649,-0.008508,0.9375,0.001097
3145.62256,2,0.355699,-0.031029,0.75,0.001273
3145.722797,2,0.356083,-0.000492,0.0,0.00175
3145.823135,2,0.356386,0.008066,-0.28125,4.4e-05
3145.923293,2,0.369441,0.237654,-2.4375,0.000562
3146.023572,2,0.398507,0.342465,-3.65625,0.00048
3146.123935,2,0.43831,0.412359,-5.15625,0.000684
3146.224214,2,0.477731,0.374145,-3.75,0.001168
3146.32452,2,0.495212,0.062003,-1.125,0.001194
3146.42474,2,0.49454,-0.014141,-0.09375,0.00146
3146.524931,2,0.488724,-0.117562,1.6875,1.9e-05
3146.625071,2,0.468686,-0.257629,2.8125,0.000234
3146.725163,2,0.436872,-0.368802,4.3125,0.000549
3146.825287,2,0.396062,-0.406353,5.4375,0.000726
3146.925407,2,0.352647,-0.449301,5.4375,0.000873
3147.025537,2,0.312141,-0.388618,4.125,0.000634
3147.125734,2,0.27467,-0.354388,4.21875,0.000884
3147.225899,2,0.245125,-0.277245,2.625,0.001072
3147.326004,2,0.227516,-0.100368,1.21875,0.001384
3147.426152,2,0.220885,0.000248,0.375,0.001331
3147.526279,2,0.221332,0.000986,0.0,0.001581
3147.626383,2,0.224768,0.039512,-0.9375,0.001753
3147.72656,2,0.241689,0.254408,-2.8125,0.001747
3147.826738,2,0.273008,0.330001,-3.9375,1.5e-05
3147.926868,2,0.311757,0.404302,-5.0625,0.000216
3148.027168,2,0.354341,0.451393,-5.25,0.00018
3148.127452,2,0.396062,0.421158,-4.3125,0.000452
3148.227676,2,0.438055,0.423692,-4.78125,0.000761
3148.327936,2,0.479376,0.40291,-5.25,0.001136
3148.42818,2,0.517454,0.343579,-4.875,0.001368
3148.528381,2,0.541471,0.149757,-1.875,0.001568
3148.628496,2,0.54684,0.008557,0.0,0.001696
3148.728654,2,0.546824,-0.000664,-1.125,0.001906
3148.828844,2,0.54497,-0.029568,0.5625,0.00019
3148.928985,2,0.53257,-0.166872,2.25,0.000248
3149.02917,2,0.506205,-0.318836,3.75,0.00033
3149.129357,2,0.468782,-0.395294,4.3125,0.000308
3149.229511,2,0.428308,-0.410124,4.40625,0.000719
3149.329726,2,0.38729,-0.426863,4.875,0.000668
3149.43003,2,0.345089,-0.429384,5.25,0.001062
3149.530334,2,0.306532,-0.337126,3.46875,0.001269
3149.630711,2,0.285791,-0.142274,2.15625,0.001785
3149.730938,2,0.283634,0.000963,0.28125,0.001972
3149.831185,2,0.283794,0.001838,-0.28125,2e-05
3149.931492,2,0.283842,-0.000256,0.0,0.000386
3150.03181,2,0.283858,0.000367,0.0,0.000529
3150.132107,2,0.283778,-0.000305,-0.375,0.001031
3150.232435,2,0.283778,-0.000105,0.09375,0.001303
3150.332743,2,0.283778,-7.7e-05,0.28125,0.001628
3150.433094,2,0.283762,-0.000774,0.9375,0.001998
3150.53335,2,0.283778,-0.000286,0.09375,0.002094
3150.633828,2,0.283778,-0.000128,-0.46875,0.000495
3150.734206,2,0.283794,-5e-06,0.46875,0.000996
3150.83444,2,0.283794,-4.8e-05,0.0,0.001421
3150.934855,2,0.283794,-6.7e-05,-0.5625,0.001846
