Listening to rt/lowstate on interface eth0, domain 0
Target joint: 2 (from controller.target_joint)
t_s,joint_id,q_rad,dq_rad_s,tau_est_nm,lowstate_age_s
3249.748145,2,0.283810,-0.000321,0.000000,0.000646
3249.848392,2,0.283794,-0.000660,-0.562500,0.000752
3249.948617,2,0.283810,-0.000147,0.000000,0.000872
3250.048865,2,0.283810,-0.000031,-0.093750,0.001331
3250.148993,2,0.283810,0.000088,-0.187500,0.001349
3250.249305,2,0.283794,-0.000618,0.281250,0.001435
3250.349428,2,0.283826,0.000475,0.000000,0.001777
3250.449570,2,0.283794,-0.000517,0.000000,0.001719
3250.549797,2,0.283794,-0.000539,-0.187500,0.000011
3250.650068,2,0.283794,-0.000460,0.093750,0.000404
3250.750340,2,0.283810,0.000117,0.093750,0.000715
3250.850458,2,0.283826,0.000262,-0.093750,0.000746
3250.950599,2,0.283810,0.000281,-0.281250,0.001101
3251.050737,2,0.283794,-0.000466,0.187500,0.000880
3251.150877,2,0.283810,0.000083,0.375000,0.001069
3251.251109,2,0.283810,0.000496,-0.562500,0.001563
3251.351288,2,0.283794,-0.000340,0.187500,0.001567
3251.451627,2,0.283826,0.000506,0.000000,0.001834
3251.551987,2,0.283794,-0.000561,0.000000,0.000048
3251.652280,2,0.283810,0.000058,-0.281250,0.000210
3251.752595,2,0.283826,0.000497,-0.281250,0.000460
3251.852940,2,0.283810,-0.000231,0.187500,0.001036
3251.953307,2,0.283826,0.000540,0.000000,0.001361
3252.053479,2,0.283810,-0.000040,0.187500,0.001428
3252.153775,2,0.283810,-0.000078,0.468750,0.001698
3252.254061,2,0.283794,-0.000385,0.187500,0.001971
3252.354278,2,0.283794,-0.000199,-0.093750,0.000423
3252.454482,2,0.283794,-0.000445,0.000000,0.000495
3252.554716,2,0.283826,0.000588,0.000000,0.000559
3252.655083,2,0.283810,0.000069,0.281250,0.001194
3252.755384,2,0.283810,0.000380,-0.093750,0.001415
3252.855587,2,0.283810,-0.000104,0.187500,0.001516
3252.955803,2,0.283826,0.000389,0.281250,0.001914
3253.056022,2,0.283826,0.000541,0.000000,0.000222
3253.156303,2,0.283810,-0.000050,0.375000,0.000534
3253.256492,2,0.283810,-0.000035,0.000000,0.000694
3253.356806,2,0.283810,-0.000092,0.468750,0.000996
3253.457150,2,0.283794,-0.000438,-0.093750,0.001285
3253.557501,2,0.283810,-0.000055,0.281250,0.001678
3253.657684,2,0.283810,0.000085,0.468750,0.001565
3253.757884,2,0.283794,-0.000405,0.000000,0.000251
3253.858138,2,0.283826,0.000108,0.375000,0.000409
3253.958339,2,0.283794,-0.000355,0.000000,0.000725
