cycle,t,dt,lowstate_age,joint_id,q,dq,tau_est,q_cmd,dq_cmd,kp_cmd,kd_cmd,tau_cmd,flags,debug_0,debug_1,debug_2,debug_3,debug_4,debug_5,debug_6,debug_7,debug_8,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31
0,14263.4,1.88998e-07,0.00050843,2,0.324972,0.000510331,-0.09375,0.324972,0,0,0.8,-0.12,4,0.324972,0.000509681,0.324972,0.000510331,-4.50778e-12,-6.50007e-07,-12,-9.75039e-06,-0.12,0.324972,0.000510331,0,0,0.324753,-0.109455,0.324972,0.324972,0.000416003,0.000510331,0.149691,-0.0399398,-0.175281,-0.0404501,-5.11367,-0.12,-12,0.2,2.28348e-05,0,0,0,0
1,14263.4,0.00202633,0.000589155,2,0.324956,4.36425e-05,0,0.324956,0,0,0.8,0,4,0.324972,0.000414748,0.324956,4.36425e-05,1.59063e-05,0.000371105,1.06744,0.153233,0,0,0,0.324952,-0.00971702,6.18113e-07,-0.000154528,0.324952,0.324971,0.000321223,-0.00971702,0.340563,0.00401286,0.0156112,0.0137299,-4.56617,0,1.22067,0.200003,0.00348599,0,0,0,0
2,14263.4,0.00202147,0.00056491,2,0.324972,0.000236606,0.09375,0.324972,0,0,0.8,0.12,4,0.324971,0.000320215,0.324972,0.000236606,-3.86363e-07,8.36096e-05,0.962076,0.272903,0.12,4.28774e-07,0.00122008,0.324915,-0.0188494,-7.22601e-07,0.00018065,0.324915,0.324971,0.000226984,-0.0176293,0.339024,0.00356317,0.0141091,0.0211924,-4.02809,0.12,1.23498,0.200019,0.013264,0,0,0,0
3,14263.4,0.00201948,0.000613096,2,0.324956,-2.17186e-06,-0.375,0.324956,0,0,0.8,0.24,4,0.324971,0.000226079,0.324956,-2.17186e-06,1.51384e-05,0.000228251,0.69693,0.352518,0.24,7.30238e-06,0.00284328,0.324864,-0.0256854,1.69591e-06,-0.000423978,0.324871,0.32497,0.00013336,-0.0228422,0.335151,0.00257528,0.0102798,0.0254175,-3.50123,0.24,1.04945,0.20006,0.028761,0,0,0,0
4,14263.4,0.0020198,0.000505072,2,0.32494,-0.000524343,0.28125,0.32494,0,0,0.8,0.36,4,0.32497,0.000132443,0.32494,-0.000524343,3.04437e-05,0.000656786,0.445458,0.394911,0.36,1.42473e-05,0.00427664,0.324811,-0.0298446,4.41525e-06,-0.00110381,0.324825,0.324969,4.05193e-05,-0.025568,0.331477,0.00163399,0.00665137,0.027202,-2.9848,0.36,0.840369,0.200139,0.049414,0,0,0,0
5,14263.4,0.00202396,0.000660517,2,0.324956,7.2434e-06,0.09375,0.324956,0,0,0.8,0.48,4,0.324969,3.94347e-05,0.324956,7.2434e-06,1.36106e-05,3.21913e-05,0.224837,0.406681,0.48,2.14032e-05,0.00526878,0.324762,-0.0315376,7.86381e-06,-0.00196595,0.324784,0.324968,-5.13573e-05,-0.0262688,0.328253,0.000797312,0.00346963,0.0270661,-2.47694,0.48,0.631518,0.200264,0.0747015,0,0,0,0
6,14263.4,0.00201961,0.000705473,2,0.324956,-4.52963e-05,0.46875,0.324956,0,0,0.8,0.36,4,0.324968,-5.22323e-05,0.324956,-4.52963e-05,1.25669e-05,-6.93595e-06,-0.0405644,0.39273,0.36,3.21869e-05,0.0059189,0.324721,-0.0312227,1.41872e-05,-0.00354679,0.324754,0.324967,-0.000141521,-0.0253038,0.324376,-0.000188966,-0.000377806,0.0251148,-2.98468,0.36,0.352165,0.200444,0.10394,0,0,0,0
7,14263.4,0.0020125,0.000776053,2,0.324956,-6.83164e-05,0.1875,0.324956,0,0,0.8,0.24,4,0.324967,-0.000142062,0.324956,-6.83164e-05,1.13443e-05,-7.37458e-05,-0.238124,0.390469,0.24,4.13611e-05,0.00611676,0.324691,-0.0312732,2.00408e-05,-0.00501019,0.324732,0.324966,-0.000229456,-0.0251564,0.321489,-0.000944728,-0.00324355,0.0242117,-3.48914,0.24,0.152345,0.200685,0.136491,0,0,0,0
8,14263.4,0.00201478,0.00279104,2,0.324956,-6.83164e-05,0.1875,0.324956,0,0,0.8,0.12,4,0.324966,-0.000230104,0.324956,-6.83164e-05,9.94065e-06,-0.000161787,-0.387648,0.401834,0.12,4.85963e-05,0.00619439,0.324668,-0.0321347,2.47623e-05,-0.00619058,0.324717,0.324964,-0.000315191,-0.0259403,0.319303,-0.00153678,-0.00541334,0.0244035,-3.98978,0.12,0.0141861,0.200996,0.17195,0,0,0,0
9,14263.4,0.00200822,0.00479898,2,0.324956,-6.83164e-05,0.1875,0.324956,0,0,0.8,0,4,0.324964,-0.000315521,0.324956,-6.83164e-05,8.36781e-06,-0.000247205,-0.508931,0.426065,0,5.41731e-05,0.0063312,0.324649,-0.0339199,2.82996e-05,-0.0070749,0.324703,0.324962,-0.000397901,-0.0275887,0.31753,-0.00203102,-0.00717279,0.0255577,-4.48683,0,-0.0828664,0.201379,0.209577,0,0,0,0
10,14263.4,0.00200814,0.00680721,2,0.324956,-6.83164e-05,0.1875,0.324956,0,0,0.8,-0.12,4,0.324962,-0.000398233,0.324956,-6.83164e-05,6.62583e-06,-0.000329917,-0.619672,0.46117,-0.12,5.86698e-05,0.00660564,0.32463,-0.0365623,3.09336e-05,-0.0077334,0.324689,0.32496,-0.000477508,-0.0299567,0.315911,-0.00248701,-0.00877764,0.0274697,-4.98083,-0.12,-0.158501,0.201839,0.248955,0,0,0,0
11,14263.4,0.00200376,0.0088134,2,0.324956,-6.83164e-05,0.1875,0.324956,0,0,0.8,-0.229403,4,0.32496,-0.000477646,0.324956,-6.83164e-05,4.72543e-06,-0.00040933,-0.734213,0.50481,-0.229403,6.2725e-05,0.00703887,0.324609,-0.0399184,3.30618e-05,-0.00826544,0.324671,0.324958,-0.000553451,-0.0328795,0.314236,-0.00295252,-0.0104355,0.029927,-5.42794,-0.229403,-0.229403,0.202378,0.289439,0,0,0,0
12,14263.4,0.00200724,0.00077084,2,0.324988,0.00108983,0.09375,0.324988,0,0,0.8,-0.309328,4,0.324958,-0.000553721,0.324988,0.00108983,-2.93125e-05,-0.00164355,-0.862726,0.553398,-0.309328,6.68916e-05,0.00762083,0.324584,-0.0437354,3.50661e-05,-0.00876652,0.324651,0.324956,-0.000625711,-0.0361145,0.312357,-0.00346179,-0.0122941,0.0326527,-5.74981,-0.309328,-0.309328,0.203001,0.33066,0,0,0,0
13,14263.4,0.00205788,0.00076418,2,0.324972,0.00100231,-0.375,0.324972,0,0,0.8,-0.429328,4,0.324956,-0.000627735,0.324972,0.00100231,-1.56051e-05,-0.00163005,-1.10066,0.599,-0.429328,7.55445e-05,0.00846096,0.324556,-0.0476142,3.97174e-05,-0.00992934,0.324631,0.324954,-0.000695511,-0.0391532,0.308879,-0.00433782,-0.0157521,0.0348154,-6.24091,-0.429328,-0.501658,0.203726,0.373043,0,0,0,0
14,14263.4,0.00204947,0.000840005,2,0.324956,0.000790103,0.1875,0.324956,0,0,0.8,-0.549328,4,0.324954,-0.000697122,0.324956,0.000790103,-2.00509e-06,-0.00148722,-1.25789,0.647772,-0.549328,8.03347e-05,0.00924992,0.324528,-0.051635,4.18618e-05,-0.0104655,0.324608,0.324951,-0.000760462,-0.0423851,0.30658,-0.00493721,-0.0180283,0.0374479,-6.73114,-0.549328,-0.610121,0.204534,0.414796,0,0,0,0
15,14263.4,0.00200923,0.000864079,2,0.324956,0.000426817,-0.1875,0.324956,0,0,0.8,-0.669328,4,0.324951,-0.000760744,0.324956,0.000426817,-4.49567e-06,-0.00118756,-1.38345,0.700089,-0.669328,8.35962e-05,0.0100219,0.324497,-0.0558474,4.30099e-05,-0.0107525,0.32458,0.324949,-0.000819571,-0.0458255,0.304744,-0.00542405,-0.0198366,0.0404015,-7.22041,-0.669328,-0.683358,0.205408,0.454764,0,0,0,0
16,14263.4,0.00201643,0.000858061,2,0.32494,-0.000221108,0.28125,0.32494,0,0,0.8,-0.789328,4,0.324949,-0.000820038,0.32494,-0.000221108,8.85481e-06,-0.00059893,-1.5462,0.75582,-0.789328,8.87393e-05,0.0107925,0.32446,-0.0602663,4.54142e-05,-0.0113536,0.324548,0.324946,-0.000874255,-0.0494739,0.302364,-0.00603194,-0.0221847,0.0434419,-7.70874,-0.789328,-0.790378,0.206364,0.493373,0,0,0,0
17,14263.4,0.00201725,0.000845182,2,0.324924,-0.00105031,-0.1875,0.324924,0,0,0.8,-0.881186,4,0.324946,-0.000874703,0.324924,-0.00105031,2.20895e-05,0.000175611,-1.69635,0.815164,-0.881186,9.32882e-05,0.0115528,0.324419,-0.0648913,4.74361e-05,-0.011859,0.324512,0.324943,-0.000924323,-0.0533385,0.300168,-0.00659274,-0.0243442,0.0467458,-8.07784,-0.881186,-0.881186,0.207397,0.529957,0,0,0,0
18,14263.4,0.00202,0.00073975,2,0.324924,-0.00148368,-0.75,0.324924,0,0,0.8,-0.977681,4,0.324943,-0.0009248,0.324924,-0.00148368,1.92404e-05,0.000558882,-1.85221,0.874532,-0.977681,9.81278e-05,0.0123124,0.324373,-0.0694942,4.96526e-05,-0.0124131,0.324471,0.32494,-0.000969936,-0.0571817,0.297888,-0.00716821,-0.0265828,0.0500135,-8.46643,-0.977681,-0.977681,0.208503,0.564021,0,0,0,0
19,14263.4,0.00201,0.0009514,2,0.324876,-0.00412897,-0.65625,0.324876,0,0,0.8,-1.09768,4,0.32494,-0.000970141,0.324876,-0.00412897,6.42326e-05,0.00315883,-2.06509,0.933645,-1.09768,0.000105655,0.0131185,0.324323,-0.0741146,5.35989e-05,-0.0133997,0.324428,0.324937,-0.00101105,-0.0609961,0.294776,-0.00793111,-0.0296526,0.053065,-8.95388,-1.09768,-1.13144,0.209668,0.594838,0,0,0,0
20,14263.4,0.00201053,0.000924175,2,0.32486,-0.00540827,-0.75,0.32486,0,0,0.8,-1.17009,4,0.324937,-0.00101126,0.32486,-0.00540827,7.72182e-05,0.00439701,-2.16971,0.999622,-1.17009,0.00010875,0.0136676,0.324271,-0.0789039,5.49326e-05,-0.0137331,0.324379,0.324934,-0.0010483,-0.0652363,0.293245,-0.00832488,-0.0311347,0.0569114,-9.23945,-1.17009,-1.17009,0.210892,0.622089,0,0,0,0
21,14263.4,0.00200668,0.000922024,2,0.324828,-0.00667382,-0.9375,0.324828,0,0,0.8,-1.2684,4,0.324934,-0.00104841,0.324828,-0.00667382,0.000106076,0.0056254,-2.33321,1.06481,-1.2684,0.00011443,0.0143123,0.324212,-0.0837152,5.78614e-05,-0.0144653,0.324326,0.324931,-0.00108208,-0.0694028,0.290853,-0.00891315,-0.033473,0.0604897,-9.63411,-1.2684,-1.2684,0.212164,0.645206,0,0,0,0
