t,q,dq,q_next,dq_next,qacc,r_star_q,r_star_dq,r_star_next_q,r_star_next_dq,x_hat_q,x_hat_dq,x_hat_next_q,x_hat_next_dq,eta_q,eta_dq,eta_filter_next_q,eta_filter_next_dq,x_bar_q,x_bar_dq,x_bar_next_q,x_bar_next_dq,x_tilde_q,x_tilde_dq,r_d_q,r_d_dq,e_q_t,e_dq_t,u_star,u_t,d_in_t,u_plant_raw_t,u_plant_t,observer_qacc,observer_tau_applied
0,0.9,0,0.896450420168067,-1.77478991596639,-887.394957983197,0.9,1.2,0.9024,1.2,0,0,0.896450420168067,-1.77478991596639,0.9,0,0,0,0.9,0,0.896450420168067,-1.77478991596639,0,0,0.0206924358477271,1.1391248609433,-0.879307564152273,1.1391248609433,4.28428081738849,-208.115719182611,0,-208.115719182611,-208.115719182611,-887.394957983197,-208.115719182611
0.002,0.896450420168067,-1.77478991596639,0.893877037854689,-1.28669115668935,244.049379638521,0.9024,1.2,0.9048,1.2,0.896450420168067,-1.77478991596639,0.893877037854689,-1.28669115668935,0,0,0,0,0.896450420168067,-1.77478991596639,0.893877037854689,-1.28669115668935,0,0,0.918823826661985,1.20113703415352,0.0223734064939174,2.97592695011992,4.2906615468794,59.383770790577,0,59.383770790577,59.383770790577,244.049379638521,59.383770790577
0.004,0.893877037854689,-1.28669115668935,0.892145944792247,-0.865546531220949,210.572312734201,0.9048,1.2,0.9072,1.2,0.893877037854689,-1.28669115668935,0.892145944792247,-0.865546531220949,0,0,0,0,0.893877037854689,-1.28669115668935,0.892145944792247,-0.865546531220949,0,0,0.921248176745842,1.20113871992856,0.0273711388911539,2.48782987661791,4.2970229126331,51.8974338908224,0,51.8974338908224,51.8974338908224,210.572312734201,51.8974338908224
0.006,0.892145944792247,-0.865546531220949,0.891140894393851,-0.502525199198027,181.510666011461,0.9072,1.2,0.9096,1.2,0.892145944792247,-0.865546531220949,0.891140894393851,-0.502525199198027,0,0,0,0,0.892145944792247,-0.865546531220949,0.891140894393851,-0.502525199198027,0,0,0.923672452568784,1.20114040056245,0.0315265077765378,2.0666869317834,4.30336487800813,45.3972567940011,0,45.3972567940011,45.3972567940011,181.510666011461,45.3972567940011
0.008,0.891140894393851,-0.502525199198027,0.890760994802772,-0.189949795539155,156.287701829436,0.9096,1.2,0.912,1.2,0.891140894393851,-0.502525199198027,0.890760994802772,-0.189949795539155,0,0,0,0,0.891140894393851,-0.502525199198027,0.890760994802772,-0.189949795539155,0,0,0.926096653990982,1.20114207604553,0.034955759597131,1.70366727524356,4.3096874064748,39.7545084496381,0,39.7545084496381,39.7545084496381,156.287701829436,39.7545084496381
0.01,0.890760994802772,-0.189949795539155,0.890918702612599,0.0788539049135271,134.401850226341,0.912,1.2,0.9144,1.2,0.890760994802772,-0.189949795539155,0.890918702612599,0.0788539049135271,0,0,0,0,0.890760994802772,-0.189949795539155,0.890918702612599,0.0788539049135271,0,0,0.928520780873034,1.20114374636813,0.037759786070262,1.39109354190729,4.31599046161535,34.8572281325993,0,34.8572281325993,34.8572281325993,134.401850226341,34.8572281325993
0.012,0.890918702612599,0.0788539049135271,0.891538078066248,0.309687726824134,115.416910955303,0.9144,1.2,0.9168,1.2,0.890918702612599,0.0788539049135271,0.891538078066248,0.309687726824134,0,0,0,0,0.890918702612599,0.0788539049135271,0.891538078066248,0.309687726824134,0,0,0.930944833075971,1.20114541152064,0.040026130463372,1.12229150660712,4.32227400712421,30.6080410394048,0,30.6080410394048,30.6080410394048,115.416910955303,30.6080410394048
0.014,0.891538078066248,0.309687726824134,0.892553267657994,0.507594795873209,98.9535345245373,0.9168,1.2,0.9192,1.2,0.891538078066248,0.309687726824134,0.892553267657994,0.507594795873209,0,0,0,0,0.891538078066248,0.309687726824134,0.892553267657994,0.507594795873209,0,0,0.933368810461252,1.20114707149347,0.0418307323950047,0.891459344669337,4.32853800680816,26.9222586267493,0,26.9222586267493,26.9222586267493,98.9535345245373,26.9222586267493
0.016,0.892553267657994,0.507594795873209,0.893907184508706,0.676958425355831,84.6818147413114,0.9192,1.2,0.9216,1.2,0.892553267657994,0.507594795873209,0.893907184508706,0.676958425355831,0,0,0,0,0.892553267657994,0.507594795873209,0.893907184508706,0.676958425355831,0,0,0.935792712890768,1.20114872627705,0.0432394452327736,0.693553930403844,4.3347824245866,23.7262265077903,0,23.7262265077903,23.7262265077903,84.6818147413114,23.7262265077903
0.018,0.893907184508706,0.676958425355831,0.895550360748777,0.821588120035517,72.3148473398429,0.9216,1.2,0.924,1.2,0.893907184508706,0.676958425355831,0.895550360748777,0.821588120035517,0,0,0,0,0.893907184508706,0.676958425355831,0.895550360748777,0.821588120035517,0,0,0.938216540226839,1.20115037586186,0.0443093557181334,0.524191950506027,4.34100722449169,20.9558875958232,0,20.9558875958232,20.9558875958232,72.3148473398429,20.9558875958232
0.02,0.895550360748777,0.821588120035517,0.897439949502467,0.944794376844982,61.6031284047325,0.924,1.2,0.9264,1.2,0.895550360748777,0.821588120035517,0.897439949502467,0.944794376844982,0,0,0,0,0.895550360748777,0.821588120035517,0.897439949502467,0.944794376844982,0,0,0.940640292332221,1.20115202023838,0.0450899315834448,0.379563900202867,4.3472123706686,18.5555324153473,0,18.5555324153473,18.5555324153473,61.6031284047325,18.5555324153473
0.022,0.897439949502467,0.944794376844982,0.899538856987709,1.04945374262118,52.3296828881003,0.9264,1.2,0.9288,1.2,0.897439949502467,0.944794376844982,0.899538856987709,1.04945374262118,0,0,0,0,0.897439949502467,0.944794376844982,0.899538856987709,1.04945374262118,0,0,0.943063969070103,1.20115365939716,0.0456240195676361,0.256359282552179,4.3533978273757,16.4767121735246,0,16.4767121735246,16.4767121735246,52.3296828881003,16.4767121735246
0.024,0.899538856987709,1.04945374262118,0.901814987784576,1.13806539843352,44.3058279061706,0.9288,1.2,0.931199999999999,1.2,0.899538856987709,1.04945374262118,0.901814987784576,1.13806539843352,0,0,0,0,0.899538856987709,1.04945374262118,0.901814987784576,1.13806539843352,0,0,0.945487570304105,1.20115529332875,0.0459487133163958,0.151701550707563,4.35956355898479,14.6772933749991,0,14.6772933749991,14.6772933749991,44.3058279061706,14.6772933749991
0.026,0.901814987784576,1.13806539843352,0.90424058853339,1.21280037440684,37.3674879866593,0.931199999999999,1.2,0.933599999999999,1.2,0.901814987784576,1.13806539843352,0.90424058853339,1.21280037440684,0,0,0,0,0.901814987784576,1.13806539843352,0.90424058853339,1.21280037440684,0,0,0.947911095898285,1.20115692202373,0.0460961081137087,0.0630915235902039,4.36570952998127,13.1206355341879,0,13.1206355341879,13.1206355341879,37.3674879866593,13.1206355341879
0.028,0.90424058853339,1.21280037440684,0.906791677243313,1.2755443549615,31.371990277327,0.933599999999999,1.2,0.935999999999999,1.2,0.90424058853339,1.21280037440684,0.906791677243313,1.2755443549615,0,0,0,0,0.90424058853339,1.21280037440684,0.906791677243313,1.2755443549615,0,0,0.950334545717135,1.20115854547272,0.0460939571837454,-0.0116418289341176,4.37183570496435,11.7748759469597,0,11.7748759469597,11.7748759469597,31.371990277327,11.7748759469597
0.03,0.906791677243313,1.2755443549615,0.90944754706179,1.32793490923856,26.1952771385303,0.935999999999999,1.2,0.938399999999999,1.2,0.906791677243313,1.2755443549615,0.90944754706179,1.32793490923856,0,0,0,0,0.906791677243313,1.2755443549615,0.90944754706179,1.32793490923856,0,0,0.952757919625585,1.20116016366639,0.0459662423822725,-0.0743841912951095,4.37794204864729,10.6123075760789,0,10.6123075760789,10.6123075760789,26.1952771385303,10.6123075760789
0.032,0.90944754706179,1.32793490923856,0.912190334807141,1.37139387267536,21.729481718402,0.938399999999999,1.2,0.940799999999999,1.2,0.90944754706179,1.32793490923856,0.912190334807141,1.37139387267536,0,0,0,0,0.90944754706179,1.32793490923856,0.912190334807141,1.37139387267536,0,0,0.955181217489001,1.20116177659539,0.0457336704272114,-0.126773132643164,4.38402852585756,9.60883792349801,0,9.60883792349801,9.60883792349801,21.729481718402,9.60883792349801
0.034,0.912190334807141,1.37139387267536,0.915004645829341,1.40715551110028,17.8808192124608,0.940799999999999,1.2,0.943199999999999,1.2,0.912190334807141,1.37139387267536,0.915004645829341,1.40715551110028,0,0,0,0,0.912190334807141,1.37139387267536,0.915004645829341,1.40715551110028,0,0,0.957604439173188,1.20116338425045,0.045414104366047,-0.170230488424909,4.39009510153709,8.74351834352385,0,8.74351834352385,8.74351834352385,17.8808192124608,8.74351834352385
